Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVIX,10768786,100,3.40,500,3.35,3.39,10760338,8448
MSTU,8616791,800,8.01,800,7.98,7.99,8498158,118633
TSLZ,3888031,12343,2.37,11490,2.36,2.37,3833103,54928
MSTZ,2432264,400,27.03,400,26.99,27.05,2409623,22641
UVXY,2395361,300,20.77,113,20.25,20.64,2360246,35115
NVDQ,2074918,7800,3.20,16148,3.19,3.20,2073167,1751
NVDX,1606168,1028,14.61,1028,14.57,14.61,1582186,23982
ETHU,1352573,9600,7.83,12000,7.80,7.83,1296442,56131
BITX,1281192,2200,50.99,1200,50.84,51.05,1262545,18647
IEFA,1174671,0,0.00,2,69.58,70.31,1174365,306
FBTC,1077106,1900,80.83,2400,80.68,80.61,1074304,2802
VXX,813826,60,45.80,1,44.98,45.70,809210,4616
ITB,731534,8,104.00,1,101.95,103.31,728659,2875
SVIX,574343,100,25.55,485,25.40,25.55,572406,1937
IGV,555077,1,101.73,1381,100.59,100.71,549202,5875
USHY,532633,10,37.20,21,36.72,36.78,531433,1200
GOVT,350118,0,0.00,2,22.45,22.52,349697,421
ARKG,343992,3,24.42,1,23.50,23.60,342728,1264
INDA,325485,100,52.77,100,52.61,52.70,315794,9691
CBOE,270353,100,195.93,0,0.00,196.01,270353,0
TSLT,256608,200,40.02,36,39.93,40.00,246721,9887
BBJP,241428,0,0.00,14,54.05,54.92,236637,4791
TLTW,234263,3,23.60,20,23.38,23.40,233035,1228
USMV,233848,0,0.00,17,88.00,88.72,230884,2964
ARKB,229686,2000,92.38,220,92.30,92.39,228977,709
FLOT,222444,900,50.91,501,50.85,50.87,199856,22588
CALF,198864,0,0.00,0,0.00,43.84,197080,1784
IAGG,174306,666,49.97,0,0.00,47.47,174305,1
SVXY,169884,10,50.31,10,50.00,50.09,169383,501
VIXY,168080,30,45.00,200,44.00,44.81,167289,791
FETH,154006,5000,33.62,5000,33.38,33.96,153799,207
QDTE,152282,10,40.31,110,40.20,40.32,151506,776
NOBL,151020,240,103.45,15,98.73,99.20,150689,331
COWZ,140807,0,0.00,15,55.82,56.16,136514,4293
EFV,140229,0,0.00,0,0.00,52.39,138289,1940
PAVE,137093,0,0.00,1,40.00,40.42,135152,1941
QUAL,134234,0,0.00,40,177.50,178.58,133926,308
EZU,120948,0,0.00,0,0.00,47.14,120594,354
AAAU,120254,10100,25.79,50,25.70,25.92,118484,1770
BBEU,117352,0,0.00,0,0.00,55.45,117352,0
HYD,112995,295,52.22,1,51.68,51.80,112508,487
SPYI,111938,10,51.24,2,50.95,51.01,111320,618
MTUM,105095,0,0.00,2,204.67,207.89,103326,1769
MOAT,102140,32,95.12,10,92.00,92.50,101724,416
IQDG,94847,0,0.00,0,0.00,34.34,94847,0
IDV,91227,0,0.00,0,0.00,27.32,82525,8702
GOVZ,82358,0,0.00,1000,9.90,9.98,82358,0
BUFR,78214,0,0.00,0,0.00,30.52,51514,26700
BTCZ,74090,900,6.06,1320,6.04,6.02,72509,1581
ITA,73514,181,153.38,2,145.50,145.52,73211,303
ECH,67376,0,0.00,0,0.00,25.04,62168,5208
BBAX,66335,0,0.00,0,0.00,48.93,65516,819
JCPB,64145,0,0.00,0,0.00,46.30,54345,9800
FBCG,64060,0,0.00,100,46.30,46.35,64060,0
DFIC,61610,0,0.00,0,0.00,25.81,61210,400
BOXX,55399,40,110.24,405,110.20,110.21,55371,28
HEFA,55139,0,0.00,0,0.00,34.64,55139,0
JMUB,54078,0,0.00,0,0.00,50.30,54078,0
REM,53723,0,0.00,10,20.95,21.00,53722,1
VNM,51464,0,0.00,50,11.53,11.54,50146,1318
DFIS,51450,0,0.00,0,0.00,24.52,51319,131
ESGV,50809,4,107.21,18,91.42,105.36,46400,4409
JMST,50378,0,0.00,0,0.00,50.82,50378,0
BBCA,49977,0,0.00,5,70.00,70.33,49758,219
JBBB,47870,0,0.00,50,48.75,49.16,47463,407
NEAR,47719,100,50.64,100,50.20,50.46,47719,0
VLUE,46792,0,0.00,0,0.00,105.29,45936,856
IYT,46682,200,68.79,1,67.20,67.64,45953,729
EZBC,46650,3600,53.82,3600,53.31,54.64,46262,388
GVI,46519,0,0.00,0,0.00,104.26,45528,991
EFG,45581,0,0.00,0,0.00,97.02,45581,0
IBHF,44074,0,0.00,0,0.00,23.15,44074,0
ITM,43653,0,0.00,0,0.00,46.16,42724,929
XDTE,42571,10,50.29,97,50.00,50.33,42564,7
BTCL,42247,130,48.23,130,47.51,49.80,42210,37
VIXM,42191,79,14.80,2,14.39,14.57,34529,7662
YBTC,41987,0,0.00,54,48.75,48.75,38249,3738
PICK,41031,0,0.00,41,34.75,34.86,40285,746
EFAV,40492,0,0.00,0,0.00,70.64,39620,872
DUSA,38948,0,0.00,0,0.00,42.09,38287,661
VUSB,38615,500,49.63,500,49.58,49.60,38615,0
ICVT,38446,0,0.00,6,84.46,85.10,38396,50
KNG,38426,0,0.00,3,50.00,50.08,37137,1289
WTAI,38408,0,0.00,1,21.99,22.16,37608,800
HYDB,38386,0,0.00,0,0.00,46.96,37568,818
GSEW,35776,0,0.00,0,0.00,77.17,35776,0
GSUS,35535,0,0.00,0,0.00,81.10,25830,9705
GDEC,35181,0,0.00,0,0.00,33.99,35181,0
BBHY,34101,0,0.00,0,0.00,46.38,34101,0
IYZ,34043,0,0.00,0,0.00,26.78,33918,125
HODL,31775,1800,105.04,1800,104.07,105.00,31775,0
LVHI,31129,0,0.00,0,0.00,30.33,26766,4363
OMFL,30806,0,0.00,15,54.14,54.45,30723,83
PJAN,30698,0,0.00,0,0.00,42.17,28595,2103
RDTE,29287,5,41.30,9,41.10,41.22,29286,1
PBUS,28946,0,0.00,0,0.00,59.13,28946,0
ACWV,28901,0,0.00,0,0.00,109.08,28827,74
RDVI,28714,0,0.00,0,0.00,24.16,28713,1
DISV,28289,0,0.00,0,0.00,26.55,28289,0
IBHE,27902,0,0.00,100,23.15,23.15,19702,8200
PDEC,27300,0,0.00,10,38.42,38.48,27300,0
MLN,26664,0,0.00,0,0.00,17.78,26564,100
PTLC,26561,0,0.00,0,0.00,53.67,26561,0
ARKQ,26520,33,85.00,25,78.06,78.55,26520,0
VTEC,26060,0,0.00,33,99.07,99.48,26060,0
IFRA,25269,1,48.98,0,0.00,46.18,24969,300
VSGX,24317,0,0.00,0,0.00,56.75,24005,312
MAMB,24067,0,0.00,0,0.00,22.20,24067,0
ICLO,23926,3130,25.67,100,25.54,25.64,23923,3
FLBL,23378,1000,24.37,55,24.24,24.25,22887,491
EEMV,23342,0,0.00,0,0.00,58.09,22441,901
IBMS,23210,0,0.00,0,0.00,25.36,22766,444
BTCO,23061,2000,92.73,2000,92.10,92.00,23061,0
DIHP,22632,0,0.00,0,0.00,25.22,22205,427
SMB,22501,0,0.00,0,0.00,17.08,22501,0
TMFC,22175,0,0.00,20,60.00,60.41,22174,1
BAMG,21015,0,0.00,0,0.00,34.43,9215,11800
MSSS,20756,0,0.00,0,0.00,27.56,20756,0
CNYA,20561,0,0.00,0,0.00,28.49,20361,200
ARKX,20402,114,21.00,5,19.57,19.69,20384,18
IYLD,20002,0,0.00,0,0.00,19.49,20002,0
BALT,19622,0,0.00,0,0.00,31.42,18122,1500
IWMI,19592,0,0.00,5,48.48,48.76,19592,0
IEO,19583,0,0.00,0,0.00,88.35,19582,1
ISPY,19461,0,0.00,30,43.24,44.50,18753,708
ICSH,19184,1000,50.43,3816,50.42,50.43,16336,2848
SMIN,19008,10,85.90,1,75.57,75.68,19008,0
XSHD,18834,0,0.00,7,14.30,14.42,18834,0
MPRO,18732,0,0.00,0,0.00,28.64,18732,0
IBMR,18619,0,0.00,0,0.00,24.98,18619,0
IBMN,18495,0,0.00,0,0.00,26.59,17595,900
SLVP,18375,0,0.00,3,11.11,11.44,17104,1271
JPIB,17900,0,0.00,0,0.00,47.56,17539,361
IBMO,17786,0,0.00,0,0.00,25.45,17786,0
IGEB,17546,0,0.00,0,0.00,44.43,17546,0
ICOW,17527,0,0.00,0,0.00,29.07,17321,206
NANC,17452,0,0.00,1,38.74,38.79,17452,0
HYMU,16874,1388,22.90,5,22.52,22.70,16874,0
IGRO,16666,0,0.00,0,0.00,67.76,16666,0
IBMP,16332,0,0.00,0,0.00,25.14,16332,0
JANJ,15802,0,0.00,0,0.00,25.02,15802,0
FRNW,15629,0,0.00,0,0.00,13.56,15629,0
BUFD,15400,0,0.00,0,0.00,25.55,15400,0
BTCW,15329,1800,98.54,1800,97.41,99.54,14764,565
JANQ,15257,0,0.00,0,0.00,24.93,13030,2227
FJUL,15106,0,0.00,0,0.00,49.04,15106,0
BTCI,15034,460,64.00,5,58.15,59.52,14906,128
DRSK,14826,0,0.00,0,0.00,27.49,14826,0
HYIN,14563,0,0.00,200,17.70,17.82,14063,500
FYLD,14549,0,0.00,0,0.00,25.16,7144,7405
RSBT,14470,0,0.00,0,0.00,16.71,14418,52
GCOW,13960,0,0.00,34,32.64,33.58,13960,0
SHYD,13727,0,0.00,0,0.00,22.57,9845,3882
NJAN,13694,0,0.00,0,0.00,48.07,13694,0
KNOV,13600,0,0.00,0,0.00,25.29,13600,0
IBHI,13547,0,0.00,0,0.00,23.45,13547,0
FLQM,13429,0,0.00,0,0.00,54.19,13429,0
DDEC,13215,0,0.00,0,0.00,40.22,7485,5730
BBUS,13175,0,0.00,3,106.00,106.36,12574,601
XMPT,12609,0,0.00,0,0.00,21.33,12309,300
SMMD,12455,0,0.00,0,0.00,67.91,12455,0
BUYW,12447,0,0.00,0,0.00,13.96,12447,0
CEFS,12218,0,0.00,100,21.00,21.44,12207,11
MDPL,11744,0,0.00,0,0.00,25.18,11744,0
LQDW,11350,97,26.45,0,0.00,26.34,9450,1900
WEED,11302,0,0.00,3,15.17,15.58,11302,0
OUSM,10698,0,0.00,0,0.00,43.60,10698,0
RBUF,10601,0,0.00,0,0.00,26.28,10601,0
SMAX,10413,0,0.00,0,0.00,25.25,10413,0
FDEC,10308,0,0.00,0,0.00,44.76,10308,0
XVV,10302,0,0.00,0,0.00,45.61,10302,0
IBHG,10167,0,0.00,0,0.00,22.20,10167,0
BALI,9977,5,30.55,5,30.35,30.39,9977,0
PSFF,9918,0,0.00,0,0.00,29.34,9918,0
IBHH,9855,0,0.00,0,0.00,23.41,9855,0
EMGF,9679,0,0.00,0,0.00,45.38,9119,560
ACIO,9598,0,0.00,0,0.00,40.30,9598,0
BUFQ,9580,0,0.00,0,0.00,31.58,9580,0
EZET,9416,7000,25.49,3500,25.43,25.83,9416,0
EYLD,9355,0,0.00,0,0.00,31.50,7755,1600
ICF,9340,0,0.00,100,59.01,59.67,9340,0
FCPI,9268,0,0.00,1,43.05,43.44,9175,93
GAA,9206,0,0.00,0,0.00,28.55,9206,0
SDVD,9201,0,0.00,0,0.00,21.42,9201,0
DDWM,9099,0,0.00,0,0.00,34.23,9099,0
SYLD,9057,0,0.00,7,67.87,68.05,9057,0
BBRE,9056,0,0.00,0,0.00,92.83,9056,0
GARP,9026,0,0.00,0,0.00,56.65,9026,0
ETU,8983,33,39.18,234,38.32,39.29,8983,0
PNOV,8914,0,0.00,0,0.00,37.91,8914,0
VCEB,8775,0,0.00,0,0.00,62.14,8775,0
FRDM,8771,0,0.00,0,0.00,32.86,8771,0
MBCC,8662,0,0.00,0,0.00,34.61,8662,0
IETC,8650,0,0.00,122,83.00,86.00,8650,0
GSST,8604,0,0.00,0,0.00,50.45,8604,0
XJH,8558,0,0.00,0,0.00,41.66,8513,45
KWT,8527,0,0.00,0,0.00,31.95,8527,0
TOKE,8436,0,0.00,7,4.95,5.08,7736,700
DWLD,8386,0,0.00,0,0.00,36.42,8386,0
ETQ,8316,500,9.77,386,9.62,9.93,8315,1
ESML,8282,0,0.00,0,0.00,41.99,8282,0
OVB,8244,0,0.00,0,0.00,20.30,8244,0
JANH,8191,0,0.00,0,0.00,25.03,8191,0
DIVB,8093,0,0.00,0,0.00,47.21,7940,153
CETH,7959,8400,16.78,5000,16.74,16.98,7927,32
GDE,7707,0,0.00,0,0.00,37.04,7707,0
NUDM,7551,0,0.00,0,0.00,30.14,6489,1062
FLHY,7506,0,0.00,0,0.00,23.86,7506,0
TMFG,7358,0,0.00,6,27.00,28.41,6769,589
MEAR,7283,0,0.00,0,0.00,49.99,7283,0
IGHG,7253,0,0.00,0,0.00,77.99,7190,63
CAOS,7217,139,88.14,200,87.10,87.36,7216,1
XDEC,7215,0,0.00,0,0.00,37.30,7215,0
PAUG,7185,0,0.00,0,0.00,38.54,7185,0
EMHY,7060,0,0.00,0,0.00,38.03,7060,0
UJAN,7020,0,0.00,0,0.00,38.93,7020,0
ZDEK,6986,0,0.00,0,0.00,23.95,4988,1998
JPLD,6776,0,0.00,0,0.00,51.70,6776,0
BUFZ,6718,0,0.00,0,0.00,23.97,6718,0
GOLY,6701,0,0.00,0,0.00,23.86,6701,0
CLSE,6618,0,0.00,0,0.00,23.07,6618,0
FLIA,6617,0,0.00,0,0.00,20.24,6617,0
SMDV,6613,0,0.00,0,0.00,67.58,6613,0
EPRF,6567,0,0.00,0,0.00,18.31,6567,0
DSCF,6425,0,0.00,0,0.00,22.34,6425,0
NULV,6337,0,0.00,0,0.00,39.27,5934,403
KJAN,6263,0,0.00,0,0.00,37.35,6263,0
PAPR,6237,0,0.00,0,0.00,36.73,6237,0
NUMV,6210,0,0.00,0,0.00,34.72,6210,0
FLDR,6194,0,0.00,0,0.00,49.93,6194,0
VFMO,6147,0,0.00,25,164.00,165.02,6147,0
FFLG,6117,0,0.00,0,0.00,25.34,5881,236
ITWO,6107,0,0.00,1,39.00,39.65,6107,0
FDEM,6092,0,0.00,0,0.00,25.36,6092,0
REGL,5952,0,0.00,0,0.00,80.48,5950,2
PRNT,5892,4,22.88,11,20.00,21.14,5838,54
XSHQ,5887,0,0.00,0,0.00,42.43,5887,0
AOCT,5881,0,0.00,0,0.00,24.96,5881,0
IBMQ,5863,0,0.00,0,0.00,25.17,5863,0
BUFS,5720,0,0.00,0,0.00,21.26,5720,0
KHPI,5701,0,0.00,0,0.00,25.43,5701,0
NUSC,5579,0,0.00,0,0.00,41.81,5579,0
TYA,5553,0,0.00,0,0.00,12.34,5553,0
FCLD,5522,0,0.00,1,26.88,27.73,3322,2200
GLOV,5508,0,0.00,1,49.30,49.46,5508,0
RSST,5489,0,0.00,0,0.00,23.80,5289,200
BGLD,5476,0,0.00,0,0.00,18.22,5476,0
ARKD,5465,0,0.00,0,0.00,47.91,5465,0
CEMB,5429,0,0.00,0,0.00,44.43,5429,0
DDLS,5419,0,0.00,0,0.00,34.64,5419,0
GTIP,5390,0,0.00,0,0.00,48.30,5390,0
SATO,5344,0,0.00,0,0.00,19.41,5344,0
IYJ,5303,0,0.00,0,0.00,133.56,5303,0
TMFM,5275,0,0.00,0,0.00,25.79,5074,201
FPFD,5189,0,0.00,0,0.00,22.50,4989,200
OVT,5176,0,0.00,0,0.00,21.99,5176,0
VTEI,5175,0,0.00,0,0.00,99.47,5175,0
UDEC,5140,0,0.00,0,0.00,35.23,4700,440
DINT,5120,0,0.00,0,0.00,21.89,5120,0
HEGD,5062,0,0.00,0,0.00,22.53,5062,0
OILK,5055,0,0.00,0,0.00,43.84,5055,0
RSSY,5013,0,0.00,0,0.00,20.40,3338,1675
MAXJ,4953,0,0.00,0,0.00,26.16,4753,200
ETHV,4907,0,0.00,2000,49.01,49.74,4907,0
QDEC,4813,0,0.00,0,0.00,27.68,3513,1300
FFLC,4807,0,0.00,686,45.77,46.09,4806,1
ZSEP,4712,0,0.00,0,0.00,25.08,4712,0
FDRV,4698,0,0.00,0,0.00,13.43,2185,2513
VCRM,4678,0,0.00,0,0.00,74.60,4678,0
HYGW,4676,0,0.00,100,31.40,31.78,4476,200
FFOG,4593,0,0.00,0,0.00,40.44,4593,0
IDUB,4552,0,0.00,0,0.00,20.10,4452,100
ZECP,4533,0,0.00,0,0.00,30.51,4386,147
DECU,4517,0,0.00,0,0.00,24.64,4517,0
PMAY,4500,0,0.00,0,0.00,35.96,4100,400
HYBL,4392,0,0.00,1,28.35,28.36,4392,0
VFQY,4296,0,0.00,0,0.00,140.86,4295,1
ZVOL,4267,0,0.00,1,18.60,18.94,4267,0
BBIN,4244,0,0.00,0,0.00,57.07,3130,1114
MSFX,4211,200,26.63,66,26.39,26.57,4211,0
BOXA,4200,0,0.00,0,0.00,99.80,4200,0
MARM,4195,0,0.00,0,0.00,30.90,4195,0
TSLP,4180,0,0.00,0,0.00,32.49,4178,2
IBHJ,4162,19,27.09,0,0.00,26.05,4162,0
FMAG,4160,0,0.00,0,0.00,31.11,3836,324
