Date,Open,High,Low,Close,Volume
2018-10-02,8.126341,8.126341,8.118231,8.126341,8900.0
2018-10-03,8.150668,8.166888,8.142558,8.150668,6100.0
2018-10-04,8.150668,8.158778,8.093897,8.150668,15600.0
2018-10-05,8.158781,8.16689,8.126341,8.158781,6200.0
2018-10-08,8.150668,8.166888,8.134447,8.150668,8300.0
2018-10-09,8.158781,8.16689,8.126341,8.13445,11900.0
2018-10-10,8.158782,8.191222,8.0939,8.142561,1222000.0
2018-10-11,8.142558,8.158778,8.085787,8.150668,14900.0
2018-10-12,8.126341,8.158782,8.126341,8.142561,14300.0
2018-10-15,8.159613,8.159613,8.078422,8.127136,14700.0
2018-10-16,8.159613,8.159613,8.119017,8.127136,112400.0
2018-10-17,8.159612,8.200207,8.143373,8.151492,386800.0
2018-10-18,8.151488,8.167727,8.151488,8.159608,14300.0
2018-10-19,8.167733,8.175851,8.135257,8.135257,12100.0
2018-10-22,8.175847,8.183967,8.15961,8.183967,61700.0
2018-10-23,8.159611,8.167729,8.102777,8.110896,15900.0
2018-10-24,7.5912824,8.167733,7.5912824,8.135257,12500.0
2018-10-25,8.159608,8.167727,8.086536,8.159608,154600.0
2018-10-26,8.151492,8.16773,8.094659,8.143373,63300.0
2018-10-29,8.135254,8.151492,8.070301,8.143373,9000.0
2018-10-30,8.703582,8.703582,8.127131,8.159608,13400.0
2018-10-31,8.159614,8.167733,8.135257,8.135257,9100.0
2018-11-01,8.151492,8.16773,8.135254,8.143373,12500.0
2018-11-02,8.167729,8.175848,8.151491,8.175848,4100.0
2018-11-05,7.575039,8.183965,7.575039,8.159608,12300.0
2018-11-06,8.167732,8.175851,8.151494,8.167732,12700.0
2018-11-07,8.151491,8.183968,8.135254,8.175848,11500.0
2018-11-08,8.159612,8.183969,8.135255,8.151492,32900.0
2018-11-09,8.151491,8.175848,8.151491,8.175848,11200.0
2018-11-12,8.159613,8.167732,8.135256,8.167732,21400.0
2018-11-13,8.159613,8.1839695,8.159613,8.167732,1299400.0
2018-11-14,8.159608,8.159608,8.14337,8.159608,8700.0
2018-11-15,8.137661,8.153919,8.129531,8.153919,155400.0
2018-11-16,7.5848517,8.162048,7.5848517,8.162048,89100.0
2018-11-19,8.048239,8.178311,8.048239,8.137664,65100.0
2018-11-20,8.14579,8.153919,8.129531,8.153919,20600.0
2018-11-21,8.162048,8.162048,8.13766,8.162048,10100.0
2018-11-23,8.121404,8.145793,8.121404,8.129534,1100.0
2018-11-26,8.137664,8.137664,8.129534,8.137664,5000.0
