Date,Open,High,Low,Close,Volume
2024-07-01,25.82,25.9,25.77,25.844,739600.0
2024-07-02,25.83,25.88,25.8,25.844,198100.0
2024-07-03,25.87,25.93,25.86,25.93,49800.0
2024-07-05,25.94,26.0,25.93,25.993,74700.0
2024-07-08,26.03,26.04,26.0,26.02,80100.0
2024-07-09,26.02,26.04,26.0,26.01,46900.0
2024-07-10,26.05,26.11,26.025,26.09,213500.0
2024-07-11,26.11,26.144,26.04,26.04,67100.0
2024-07-12,26.11,26.2,26.105,26.123,37200.0
2024-07-15,26.19,26.23,26.138,26.179,128900.0
2024-07-16,26.22,26.25,26.18,26.24,34500.0
2024-07-17,26.16,26.16,26.12,26.13,38400.0
2024-07-18,26.16,26.169,26.05,26.07,45300.0
2024-07-19,26.06,26.07,25.98,25.98,23000.0
2024-07-22,26.09,26.1,26.04,26.07,40300.0
2024-07-23,26.09,26.12,26.059,26.059,12600.0
2024-07-24,26.01,26.01,25.87,25.87,44500.0
2024-07-25,25.91,25.99,25.846,25.851,981700.0
2024-07-26,25.92,25.983,25.91,25.938,22700.0
2024-07-29,25.999,26.02,25.95,25.952,28900.0
2024-07-30,26.0,26.0,25.878,25.927,24200.0
2024-07-31,26.07,26.099,26.03,26.054,21000.0
2024-08-01,26.14,26.14,25.97,25.983,38500.0
2024-08-02,25.92,25.96,25.9,25.951,44600.0
2024-08-05,25.89,25.955,25.56,25.8,98700.0
2024-08-06,25.832,25.95,25.8,25.8,235300.0
2024-08-07,25.875,25.94,25.74,25.74,58500.0
2024-08-08,25.87,25.96,25.8,25.919,75500.0
2024-08-09,25.93,26.01,25.93,25.976,29900.0
2024-08-12,26.0,26.0,25.92,25.97,23600.0
2024-08-13,26.04,26.14,26.01,26.125,41700.0
2024-08-14,26.18,26.2,26.09,26.19,36600.0
2024-08-15,26.22,26.28,26.15,26.27,967700.0
2024-08-16,26.25,26.34,26.25,26.289,22000.0
2024-08-19,26.34,26.4,26.303,26.359,23500.0
2024-08-20,26.31,26.43,26.31,26.39,23100.0
2024-08-21,26.45,26.5,26.39,26.49,48000.0
2024-08-22,26.54,26.54,26.36,26.374,78100.0
2024-08-23,26.45,26.5,26.42,26.489,20700.0
2024-08-26,26.55,26.55,26.42,26.51,12100.0
2024-08-27,26.49,26.54,26.455,26.53,84400.0
2024-08-28,26.51,26.51,26.42,26.47,16500.0
2024-08-29,26.48,26.54,26.43,26.47,40600.0
