Date,Open,High,Low,Close,Volume
2024-01-11,50.0,52.22,46.3,46.76,5975000.0
2024-01-12,46.59,46.62,43.5,43.86,3436100.0
2024-01-16,43.3,43.67,42.31,43.51,2866500.0
2024-01-17,42.65,43.06,42.3,42.86,1250300.0
2024-01-18,42.8,42.92,40.71,40.95,2873600.0
2024-01-19,41.21,42.27,40.38,41.73,2089800.0
2024-01-22,40.79,40.92,39.458,40.205,3238300.0
2024-01-23,38.91,39.66,38.62,39.22,2824500.0
2024-01-24,40.05,40.26,39.54,39.6,2370400.0
2024-01-25,40.07,40.134,39.57,39.87,1243000.0
2024-01-26,41.24,42.26,41.14,42.02,2409900.0
2024-01-29,42.03,43.359,41.8,43.21,2511000.0
2024-01-30,43.44,43.78,43.25,43.61,2015900.0
2024-01-31,42.75,43.79,42.52,42.55,1622100.0
2024-02-01,42.41,43.3,42.38,43.06,1761400.0
2024-02-02,42.74,43.5,42.71,42.95,2138400.0
2024-02-05,43.37,43.42,42.3,42.38,1180200.0
2024-02-06,42.89,43.41,42.85,43.12,1404700.0
2024-02-07,43.17,44.31,42.91,44.17,1979900.0
2024-02-08,45.13,45.69,44.92,45.6,2144000.0
2024-02-09,47.06,48.27,46.83,47.6,2419300.0
2024-02-12,48.26,50.5,48.21,50.31,2134700.0
2024-02-13,49.07,49.59,48.42,49.47,3147900.0
2024-02-14,51.77,52.2,51.33,51.82,3894500.0
2024-02-15,52.58,52.959,51.69,51.84,3357500.0
2024-02-16,52.35,52.56,51.71,51.97,1884000.0
2024-02-20,52.44,52.44,50.82,52.08,2734300.0
2024-02-21,51.0,51.48,50.69,51.02,3819100.0
2024-02-22,51.15,52.15,51.06,52.11,1260500.0
2024-02-23,51.27,51.37,50.66,51.14,1352100.0
2024-02-26,51.46,55.04,51.43,54.53,5198500.0
2024-02-27,56.98,57.75,56.33,57.14,3591900.0
2024-02-28,60.34,64.41,59.14,60.5,7308200.0
2024-02-29,63.46,63.74,60.44,62.28,3167100.0
2024-03-01,62.51,63.41,61.25,63.18,1892700.0
2024-03-04,65.49,68.1,65.45,67.79,4169900.0
2024-03-05,67.82,69.52,59.6,62.04,8501800.0
2024-03-06,66.95,67.69,65.4,67.1,2842400.0
2024-03-07,67.48,68.23,66.78,67.78,3522500.0
2024-03-08,68.25,70.479,66.25,69.39,3950500.0
2024-03-11,72.45,73.01,71.46,72.2,4907900.0
2024-03-12,72.38,73.28,68.73,71.4,7426100.0
2024-03-13,72.79,73.622,71.76,73.61,3734700.0
2024-03-14,72.72,72.81,68.41,69.42,5872900.0
2024-03-15,67.85,70.73,67.44,69.15,3185500.0
2024-03-18,67.97,68.575,66.57,66.86,3185400.0
2024-03-19,63.74,65.81,62.25,64.41,4962500.0
2024-03-20,63.44,66.11,62.08,65.92,5531800.0
2024-03-21,67.7,67.72,64.91,65.22,3427400.0
2024-03-22,64.18,64.34,62.65,64.0,2928600.0
2024-03-25,67.03,71.24,67.01,71.13,4198700.0
2024-03-26,70.89,71.04,69.37,69.53,2508600.0
2024-03-27,71.7,71.84,68.44,68.7,2850900.0
2024-03-28,71.17,71.79,70.53,70.98,3175600.0
2024-04-01,70.15,70.2,68.11,69.78,1958600.0
2024-04-02,64.93,66.34,64.55,65.97,1976500.0
2024-04-03,65.76,66.994,65.57,65.87,1206300.0
2024-04-04,67.38,69.43,67.165,68.54,1844700.0
2024-04-05,66.97,68.66,66.87,67.43,1813500.0
2024-04-08,72.24,72.26,71.25,71.79,2078800.0
2024-04-09,70.74,71.019,68.23,68.98,2484900.0
2024-04-10,67.65,70.15,67.45,70.15,2062800.0
2024-04-11,70.8,70.92,69.55,70.51,1929800.0
2024-04-12,70.14,70.3,65.19,66.89,3576400.0
2024-04-15,66.3,66.55,62.33,63.31,2752000.0
2024-04-16,63.24,63.37,61.7,62.72,1577000.0
2024-04-17,62.41,62.99,59.62,61.05,2840200.0
2024-04-18,62.41,64.2,61.91,63.56,2348700.0
2024-04-19,64.75,65.15,63.595,64.42,1794100.0
2024-04-22,66.16,66.87,65.712,66.6,1607000.0
2024-04-23,66.13,67.19,66.13,66.55,932100.0
2024-04-24,66.01,66.33,63.68,63.91,2697900.0
2024-04-25,63.17,64.93,62.85,64.76,1246200.0
2024-04-26,63.76,64.77,63.28,63.72,880000.0
2024-04-29,62.51,63.19,61.69,62.97,1287300.0
2024-04-30,61.12,61.46,58.91,59.08,2405000.0
2024-05-01,57.63,59.41,56.53,56.87,2522600.0
2024-05-02,58.75,59.6,58.21,59.38,1725700.0
2024-05-03,61.3,62.28,61.2,62.14,1404500.0
2024-05-06,63.62,64.239,62.74,63.24,1062500.0
2024-05-07,63.5,64.35,62.77,63.05,1042300.0
2024-05-08,62.01,62.803,61.75,62.14,633400.0
2024-05-09,61.32,62.73,60.85,62.5,1122000.0
2024-05-10,62.89,63.15,60.14,60.64,1858700.0
2024-05-13,62.79,63.48,62.57,63.19,1195400.0
2024-05-14,61.97,62.25,61.1,61.57,729600.0
2024-05-15,64.31,66.46,63.96,66.06,2317600.0
2024-05-16,66.0,66.461,64.59,65.22,1081400.0
2024-05-17,66.38,67.55,65.85,67.14,1104300.0
2024-05-20,67.04,70.21,66.765,70.2,1873900.0
2024-05-21,70.98,71.32,69.15,69.31,1418600.0
2024-05-22,69.75,70.72,69.19,69.65,949900.0
2024-05-23,69.25,69.41,66.68,67.13,1562400.0
2024-05-24,67.37,69.39,66.9,69.24,1270700.0
2024-05-28,68.38,68.565,67.18,68.39,1297300.0
2024-05-29,67.81,67.95,67.09,67.22,931600.0
2024-05-30,68.14,69.59,68.02,68.75,1317200.0
2024-05-31,68.66,68.755,66.525,67.55,1767800.0
2024-06-03,69.68,70.35,68.74,69.26,1580900.0
2024-06-04,69.46,71.1,69.23,70.49,1796700.0
2024-06-05,71.15,71.85,70.34,71.32,1204800.0
2024-06-06,71.16,71.67,70.37,70.47,1125800.0
2024-06-07,71.33,71.66,68.25,69.17,2311700.0
2024-06-10,69.26,70.11,69.11,69.46,746200.0
2024-06-11,67.18,67.55,65.95,67.34,1794500.0
2024-06-12,69.23,70.05,67.19,67.5,2282700.0
2024-06-13,68.0,68.255,66.11,66.51,1864000.0
2024-06-14,67.23,67.3,64.965,65.42,2019800.0
2024-06-17,65.62,67.23,64.97,66.67,1143400.0
2024-06-18,64.87,65.325,63.94,64.34,1326800.0
2024-06-20,65.28,65.45,64.46,65.01,1286900.0
2024-06-21,63.57,64.33,63.322,64.21,823900.0
2024-06-24,61.2,61.6,58.91,59.24,3506600.0
2024-06-25,61.13,62.34,60.91,61.91,3500000.0
2024-06-26,61.49,61.908,60.62,60.91,1084300.0
2024-06-27,61.52,62.34,61.28,61.37,956300.0
2024-06-28,61.38,61.77,59.81,59.98,1001800.0
2024-07-01,62.81,63.84,62.42,63.17,2088000.0
2024-07-02,62.79,63.07,61.67,61.82,1166000.0
2024-07-03,60.25,60.68,59.835,60.41,928300.0
2024-07-05,55.55,57.03,55.35,56.56,3104200.0
2024-07-08,57.13,57.35,54.95,56.44,2447400.0
2024-07-09,57.19,58.25,56.92,57.85,1321700.0
2024-07-10,57.97,57.99,57.3,57.4,1262500.0
2024-07-11,58.74,58.93,57.14,57.37,1597500.0
2024-07-12,57.5,58.56,57.49,57.62,1701700.0
2024-07-15,62.75,63.94,62.47,63.46,2653500.0
2024-07-16,63.89,65.24,63.08,65.23,1634100.0
2024-07-17,64.72,65.39,63.81,64.59,1148500.0
2024-07-18,64.855,64.94,63.18,63.56,1256800.0
2024-07-19,64.08,67.48,64.03,67.3,3063600.0
2024-07-22,67.61,68.31,66.55,68.31,1459500.0
2024-07-23,66.54,67.33,65.38,65.51,1389700.0
2024-07-24,66.61,67.1,65.51,65.62,1300100.0
2024-07-25,64.25,65.1,63.32,64.62,1461000.0
2024-07-26,67.37,68.16,66.86,68.04,1431900.0
2024-07-29,69.63,69.69,66.36,67.27,2670900.0
2024-07-30,66.58,66.86,65.43,65.84,1384800.0
2024-07-31,66.36,66.75,64.83,65.17,1259500.0
2024-08-01,64.48,64.8,62.13,63.2,3487200.0
2024-08-02,64.73,65.45,62.28,62.48,2072700.0
2024-08-05,49.77,55.51,49.53,53.44,5743800.0
2024-08-06,55.1,57.01,54.4,56.71,2315300.0
2024-08-07,57.18,57.44,54.573,54.68,2391900.0
2024-08-08,57.75,59.85,56.65,59.38,2059400.0
2024-08-09,60.3,61.06,59.48,60.72,1047600.0
2024-08-12,59.51,60.59,57.78,58.98,1457500.0
2024-08-13,58.9,61.52,58.83,60.82,889400.0
2024-08-14,60.752,60.9,58.59,58.86,1693600.0
2024-08-15,59.12,59.8,56.64,57.02,1861200.0
2024-08-16,58.56,59.83,57.63,59.7,1304000.0
2024-08-19,58.69,59.27,58.04,58.93,692100.0
2024-08-20,60.5,60.946,58.47,59.5,1212000.0
2024-08-21,59.37,61.65,58.808,61.65,1265900.0
2024-08-22,60.78,60.89,60.04,60.24,815300.0
2024-08-23,61.03,63.85,60.76,63.66,2888300.0
2024-08-26,63.81,63.86,63.01,63.29,1093200.0
2024-08-27,62.36,62.437,61.378,62.08,848700.0
2024-08-28,59.83,59.96,57.8,58.83,1772900.0
2024-08-29,60.17,61.1,58.85,59.22,2355600.0
2024-08-30,59.51,59.78,57.66,58.63,1874900.0
2024-09-03,59.02,59.06,57.45,57.95,830500.0
2024-09-04,56.41,58.465,56.06,58.0,1698400.0
2024-09-05,56.58,57.2,55.69,55.99,1196900.0
2024-09-06,56.67,56.83,53.18,53.45,1958800.0
2024-09-09,55.38,57.17,54.755,57.11,1885600.0
2024-09-10,56.84,58.0,56.45,57.95,526300.0
2024-09-11,56.8,57.96,55.48,57.58,1559200.0
2024-09-12,57.69,58.53,57.26,58.4,719800.0
2024-09-13,57.7,60.02,57.65,59.73,1753400.0
2024-09-16,58.45,58.51,57.39,57.9,773100.0
2024-09-17,59.23,61.32,58.84,59.9,2128500.0
