Date,Open,High,Low,Close,Volume
2018-08-29,25.79,25.79,25.5,25.63,47000.0
2018-08-30,25.66,25.68,25.64,25.64,18000.0
2018-08-31,25.64,25.65,25.63,25.63,6800.0
2018-09-04,25.8,25.8,25.63,25.64,11900.0
2018-09-05,25.4,25.54,25.4,25.49,26800.0
2018-09-06,25.68,25.77,25.48,25.55,7000.0
2018-09-07,26.69,26.69,25.5,25.56,40100.0
2018-09-10,25.55,25.55,25.55,25.55,400.0
2018-09-11,25.85,25.85,25.85,25.85,100.0
2018-09-12,25.6,25.67,25.58,25.66,14400.0
2018-09-13,25.71,25.74,25.7,25.74,1600.0
2018-09-14,25.73,25.73,25.69,25.73,6400.0
2018-09-17,25.68,25.68,25.65,25.65,1000.0
2018-09-18,25.71,25.78,25.71,25.78,1200.0
2018-09-19,25.79,25.79,25.74,25.77,1800.0
2018-09-20,25.85,25.88,25.83,25.88,700.0
2018-09-21,25.96,25.96,25.93,25.93,1400.0
2018-09-24,25.79,25.79,25.79,25.79,1100.0
2018-09-25,25.75,25.75,25.75,25.75,600.0
2018-09-26,25.75,25.77,25.75,25.77,400.0
2018-09-27,25.8,25.83,25.79,25.83,1000.0
2018-09-28,25.79,25.83,25.79,25.83,1400.0
2018-10-01,25.85,25.85,25.78,25.78,38600.0
2018-10-02,25.7,25.7,25.7,25.7,200.0
2018-10-03,25.81,25.91,25.81,25.91,2300.0
2018-10-04,25.71,25.71,25.57,25.62,2700.0
2018-10-05,25.64,25.64,25.58,25.58,2800.0
2018-10-08,25.56,25.57,25.56,25.56,500.0
2018-10-09,25.56,25.56,25.56,25.56,100.0
2018-10-10,25.43,25.43,25.21,25.21,3500.0
2018-10-11,25.04,25.04,24.74,24.85,26100.0
2018-10-12,24.96,24.98,24.89,24.89,2300.0
2018-10-15,24.9,24.9,24.82,24.82,3300.0
2018-10-16,25.08,25.08,25.08,25.08,2600.0
2018-10-17,25.18,25.18,25.06,25.15,1800.0
2018-10-18,24.81,24.81,24.81,24.81,200.0
2018-10-19,24.87,24.88,24.86,24.88,4800.0
2018-10-22,24.88,24.88,24.88,24.88,0.0
2018-10-23,24.88,24.88,24.88,24.88,100.0
2018-10-24,24.65,24.65,24.4,24.4,10400.0
2018-10-25,24.27,24.61,24.27,24.59,7400.0
2018-10-26,24.24,24.24,24.24,24.24,11300.0
2018-10-29,24.24,24.24,24.24,24.24,200.0
2018-10-30,24.24,24.24,24.24,24.24,0.0
2018-10-31,24.6,24.64,24.6,24.64,600.0
2018-11-01,24.64,24.64,24.64,24.64,0.0
2018-11-02,24.83,24.83,24.65,24.65,11300.0
2018-11-05,24.65,24.65,24.65,24.65,0.0
2018-11-06,24.65,24.65,24.65,24.65,0.0
2018-11-07,25.07,25.07,25.07,25.07,800.0
2018-11-08,25.07,25.07,25.07,25.07,100.0
2018-11-09,25.13,25.13,25.06,25.06,200.0
2018-11-12,24.75,24.75,24.75,24.75,100.0
2018-11-13,24.75,24.75,24.75,24.75,0.0
2018-11-14,24.6,24.6,24.52,24.52,900.0
2018-11-15,24.52,24.52,24.52,24.52,0.0
2018-11-16,24.8,24.8,24.8,24.8,200.0
2018-11-19,24.8,24.8,24.8,24.8,100.0
2018-11-20,24.8,24.8,24.8,24.8,100.0
2018-11-21,24.34,24.34,24.34,24.34,300.0
2018-11-23,24.34,24.34,24.34,24.34,0.0
2018-11-26,24.34,24.34,24.34,24.34,0.0
2018-11-27,24.34,24.34,24.34,24.34,0.0
2018-11-28,24.34,24.34,24.34,24.34,0.0
2018-11-29,24.77,24.88,24.77,24.88,1600.0
2018-11-30,24.86,24.86,24.78,24.78,500.0
2018-12-03,25.05,25.05,25.05,25.05,800.0
2018-12-04,25.06,25.06,24.61,24.61,1600.0
2018-12-06,24.34,24.4,24.33,24.39,700.0
2018-12-07,24.38,24.38,24.16,24.21,1700.0
2018-12-10,24.17,24.28,24.15,24.28,400.0
2018-12-11,24.35,24.35,24.27,24.27,600.0
2018-12-12,24.27,24.27,24.27,24.27,0.0
2018-12-13,24.35,24.35,24.35,24.35,5500.0
2018-12-14,24.07,24.07,24.07,24.07,100.0
2018-12-17,24.05,24.05,23.7,23.7,1300.0
2018-12-18,23.87,23.87,23.71,23.77,400.0
2018-12-19,23.75,23.76,23.55,23.55,3700.0
2018-12-20,23.25,23.25,23.21,23.21,100.0
2018-12-21,23.28,23.28,22.92,22.92,3800.0
2018-12-24,22.5,22.5,22.5,22.5,100.0
2018-12-26,22.45,23.27,22.45,23.27,300.0
2018-12-27,23.06,23.25,23.06,23.24,1900.0
2018-12-28,23.32,23.52,23.32,23.38,1800.0
2018-12-31,23.41,23.45,23.41,23.45,100.0
2019-01-02,23.56,23.56,23.56,23.56,100.0
2019-01-03,23.18,23.18,23.18,23.18,100.0
2019-01-04,23.18,23.18,23.18,23.18,0.0
2019-01-07,23.85,23.85,23.85,23.85,200.0
2019-01-08,23.85,23.85,23.85,23.85,0.0
2019-01-09,23.85,23.85,23.85,23.85,0.0
