Date,Open,High,Low,Close,Volume
2024-01-11,51.17,53.22,49.3,49.325,131400.0
2024-01-12,49.16,49.16,46.19,46.61,87300.0
2024-01-16,45.54,46.26,44.9,46.045,22900.0
2024-01-17,45.38,45.73,45.065,45.36,43600.0
2024-01-18,45.43,45.51,43.24,43.5,30200.0
2024-01-19,43.78,44.75,42.91,44.36,18100.0
2024-01-22,43.42,43.45,42.25,42.8,97200.0
2024-01-23,41.4,42.0,41.082,41.65,25200.0
2024-01-24,42.54,42.64,42.0,42.16,50400.0
2024-01-25,42.55,42.66,42.03,42.265,67000.0
2024-01-26,43.75,44.895,43.72,44.68,185500.0
2024-01-29,44.64,46.06,44.43,45.92,462500.0
2024-01-30,46.09,46.5,45.98,46.36,398900.0
2024-01-31,45.45,46.52,45.19,45.19,515000.0
2024-02-01,45.12,46.02,45.03,45.74,724100.0
2024-02-02,45.49,46.2,45.42,45.67,400200.0
2024-02-05,46.11,46.15,44.93,45.07,592400.0
2024-02-06,45.58,46.121,45.55,45.8,118800.0
2024-02-07,45.87,47.08,45.65,46.97,180800.0
2024-02-08,47.92,48.5,47.83,48.45,96400.0
2024-02-09,49.97,51.09,49.79,50.52,90900.0
2024-02-12,51.27,53.62,51.27,53.47,267400.0
2024-02-13,52.21,52.67,51.55,52.555,138900.0
2024-02-14,55.1,55.4,54.51,55.06,47100.0
2024-02-15,55.91,56.26,54.99,55.06,96100.0
2024-02-16,55.62,55.74,55.0,55.15,37000.0
2024-02-20,55.65,55.69,53.98,55.26,4037200.0
2024-02-21,54.15,54.65,53.83,54.15,134900.0
2024-02-22,54.34,55.37,54.24,55.26,187000.0
2024-02-23,54.45,54.52,53.8,54.3,132200.0
2024-02-26,54.66,58.47,54.63,57.99,645300.0
2024-02-27,60.52,61.14,59.86,60.66,307700.0
2024-02-28,64.13,68.36,62.95,64.2,932700.0
2024-02-29,67.44,67.7,64.19,65.97,237300.0
2024-03-01,66.42,67.24,65.0,67.03,163400.0
2024-03-04,69.55,72.36,69.53,72.04,236700.0
2024-03-05,72.05,73.91,63.415,65.91,1296500.0
2024-03-06,71.0,71.87,69.52,71.3,364000.0
2024-03-07,71.72,72.41,70.96,72.0,450900.0
2024-03-08,72.42,74.91,70.38,73.77,725000.0
2024-03-11,77.05,77.59,75.94,76.67,388400.0
2024-03-12,77.02,77.79,73.05,75.94,728800.0
2024-03-13,77.45,78.16,76.35,78.16,454500.0
2024-03-14,77.28,77.28,72.7,73.53,988900.0
2024-03-15,72.09,74.94,71.59,73.41,264300.0
2024-03-18,72.29,72.81,70.66,71.04,378200.0
2024-03-19,67.67,69.88,66.15,68.35,564100.0
2024-03-20,67.44,70.18,65.95,70.02,726900.0
2024-03-21,71.88,71.92,68.91,69.28,498200.0
2024-03-22,68.21,68.34,66.55,67.91,424300.0
2024-03-25,71.19,75.67,71.18,75.58,1020500.0
2024-03-26,75.42,75.46,73.69,73.8,695900.0
2024-03-27,76.27,76.34,72.71,72.97,582200.0
2024-03-28,75.6,76.3,74.95,75.41,252000.0
2024-04-01,74.53,74.55,72.38,74.16,409200.0
2024-04-02,69.01,70.48,68.62,70.13,236000.0
2024-04-03,69.95,71.15,69.7,69.99,448800.0
2024-04-04,71.7,73.81,71.39,72.8,207700.0
2024-04-05,71.15,72.96,71.03,71.62,342800.0
2024-04-08,76.66,76.75,75.72,76.29,214300.0
2024-04-09,75.1,75.42,72.48,73.32,233100.0
2024-04-10,71.85,74.54,71.79,74.54,133300.0
2024-04-11,75.2,75.38,73.95,74.75,102800.0
2024-04-12,74.62,74.62,69.32,71.03,252200.0
2024-04-15,70.43,70.64,66.324,67.2,222500.0
2024-04-16,67.19,67.35,65.6,66.68,167500.0
2024-04-17,66.31,66.89,63.36,64.86,320700.0
2024-04-18,66.33,68.21,65.93,67.56,300400.0
2024-04-19,68.81,69.21,67.57,68.37,353400.0
2024-04-22,70.28,71.05,69.87,70.77,171900.0
2024-04-23,70.29,71.35,70.29,70.65,96900.0
2024-04-24,70.18,70.5,67.67,67.91,465100.0
2024-04-25,67.04,68.93,66.74,68.72,154900.0
2024-04-26,67.81,68.8,67.2,67.7,176900.0
2024-04-29,66.43,67.12,65.63,66.88,146900.0
2024-04-30,64.98,65.22,62.58,62.65,355600.0
2024-05-01,61.25,63.01,60.08,60.44,443700.0
2024-05-02,62.38,63.29,61.85,63.09,120500.0
2024-05-03,65.1,66.18,65.1,65.95,275500.0
2024-05-06,67.54,68.22,66.69,67.11,76700.0
2024-05-07,67.48,68.33,66.78,66.92,65000.0
2024-05-08,65.92,66.73,65.69,65.98,41600.0
2024-05-09,65.17,66.61,64.7,66.36,68800.0
2024-05-10,66.82,67.09,63.93,64.42,163900.0
2024-05-13,66.74,67.49,66.49,67.14,78200.0
2024-05-14,65.878,66.12,64.94,65.36,49200.0
2024-05-15,68.38,70.64,68.02,70.26,108300.0
2024-05-16,70.27,70.6,68.7,69.23,102900.0
2024-05-17,70.49,71.71,70.0,71.38,16600.0
2024-05-20,71.25,74.53,71.03,74.47,87300.0
2024-05-21,75.39,75.79,73.53,73.68,70800.0
2024-05-22,74.14,75.14,73.63,73.95,74400.0
2024-05-23,73.61,73.73,70.93,71.38,57400.0
2024-05-24,71.65,73.58,71.21,73.58,52800.0
2024-05-28,72.64,72.83,71.49,72.66,117300.0
2024-05-29,71.99,72.13,71.34,71.34,33200.0
2024-05-30,72.43,73.96,72.32,73.0,68500.0
2024-05-31,73.04,73.04,70.94,71.72,46200.0
2024-06-03,74.15,74.79,73.11,73.62,61400.0
2024-06-04,73.79,75.59,73.57,74.89,93300.0
2024-06-05,75.55,76.33,74.81,75.7,124700.0
2024-06-06,75.71,76.07,74.85,74.85,26100.0
2024-06-07,75.77,75.99,72.67,73.6,59900.0
2024-06-10,73.6,74.41,73.52,73.81,18900.0
2024-06-11,71.39,71.75,70.22,71.56,27600.0
2024-06-12,73.52,74.36,71.48,71.75,66300.0
2024-06-13,72.3,72.38,70.4,70.67,62000.0
2024-06-14,71.46,71.49,69.08,69.46,46100.0
2024-06-17,69.66,71.43,69.04,70.7,176000.0
2024-06-18,68.91,69.32,67.95,68.29,88900.0
2024-06-20,69.34,69.515,68.52,69.1,105800.0
2024-06-21,67.5,68.35,67.2,68.18,120200.0
2024-06-24,65.02,65.429,62.72,62.78,271600.0
2024-06-25,64.99,66.14,64.77,65.76,205200.0
2024-06-26,65.33,65.81,64.46,64.69,69600.0
2024-06-27,65.42,66.19,65.13,65.13,85700.0
2024-06-28,65.17,65.56,63.64,63.66,253900.0
2024-07-01,66.76,67.84,66.44,67.12,193500.0
2024-07-02,66.79,67.01,65.57,65.64,71100.0
2024-07-03,63.99,64.33,63.61,64.25,36500.0
2024-07-05,59.06,60.47,58.85,59.99,220500.0
2024-07-08,60.8,60.97,58.5,60.0,184500.0
2024-07-09,60.82,61.75,60.53,61.43,75200.0
2024-07-10,61.61,61.64,60.9,60.94,91600.0
2024-07-11,62.48,62.67,60.86,60.95,75900.0
2024-07-12,61.13,62.2,61.13,61.21,256000.0
2024-07-15,66.77,67.96,66.45,67.51,119500.0
2024-07-16,67.92,69.34,67.13,69.28,100300.0
2024-07-17,68.7,69.54,67.88,68.65,48400.0
2024-07-18,68.98,68.99,67.16,67.45,58100.0
2024-07-19,68.18,71.78,68.12,71.62,138600.0
2024-07-22,71.84,72.6,70.75,72.53,91100.0
2024-07-23,70.67,71.52,69.55,69.55,92600.0
2024-07-24,70.87,71.21,69.68,69.81,50400.0
2024-07-25,68.2,69.17,67.38,68.68,82400.0
2024-07-26,71.62,72.41,71.12,72.19,83500.0
2024-07-29,74.05,74.05,70.63,71.435,149000.0
2024-07-30,70.82,70.82,69.55,69.86,33900.0
2024-07-31,70.58,70.91,68.98,69.23,81800.0
2024-08-01,68.51,68.83,66.14,67.22,98900.0
2024-08-02,68.84,69.52,66.26,66.45,113500.0
2024-08-05,52.87,58.88,52.61,56.74,286400.0
2024-08-06,58.49,60.59,58.0,60.29,47200.0
2024-08-07,60.86,61.08,58.11,58.17,2995000.0
2024-08-08,61.38,63.68,60.27,63.23,92600.0
2024-08-09,64.16,64.93,63.29,64.53,76400.0
2024-08-12,63.41,64.36,61.8,62.76,44600.0
2024-08-13,62.68,65.21,62.67,64.61,50000.0
2024-08-14,64.42,64.42,62.468,62.6,29300.0
2024-08-15,62.95,63.57,60.38,60.69,40500.0
2024-08-16,62.21,63.64,61.45,63.38,54900.0
2024-08-19,62.51,62.91,61.8,62.7,18300.0
2024-08-20,64.37,64.81,62.54,63.19,19400.0
2024-08-21,63.22,65.49,62.67,65.46,61000.0
2024-08-22,64.55,64.7,63.93,64.06,29100.0
2024-08-23,64.85,67.87,64.66,67.66,169100.0
2024-08-26,67.87,67.91,67.04,67.28,65900.0
2024-08-27,66.28,66.36,65.39,65.96,48500.0
2024-08-28,63.64,63.72,61.55,62.54,78300.0
2024-08-29,64.0,64.85,62.65,62.85,75300.0
2024-08-30,63.24,63.51,61.35,62.25,69200.0
2024-09-03,62.71,62.71,61.05,61.54,81100.0
2024-09-04,59.98,62.11,59.48,61.6,94600.0
2024-09-05,60.15,60.76,59.26,59.4,112600.0
2024-09-06,60.28,60.32,56.51,56.7,86400.0
2024-09-09,58.82,60.72,58.33,60.69,196300.0
2024-09-10,60.41,61.63,60.13,61.5,18600.0
