Date,Open,High,Low,Close,Volume
2022-06-16,19.78,19.78,19.74,19.777,600.0
2022-06-17,20.053,20.053,20.053,20.053,100.0
2022-06-21,20.44,20.44,20.4,20.4,200.0
2022-06-22,20.53,20.53,20.384,20.384,300.0
2022-06-23,20.384,20.384,20.384,20.384,0.0
2022-06-24,20.94,21.063,20.928,21.063,800.0
2022-06-27,21.07,21.07,20.953,20.953,900.0
2022-06-28,20.52,20.52,20.52,20.52,300.0
2022-06-29,20.51,20.542,20.51,20.542,400.0
2022-06-30,20.46,20.46,20.299,20.299,700.0
2022-07-01,20.24,20.442,20.24,20.442,900.0
2022-07-05,20.345,20.691,20.33,20.691,1400.0
2022-07-06,20.711,20.785,20.711,20.785,3100.0
2022-07-07,20.98,21.132,20.98,21.132,600.0
2022-07-08,21.09,21.162,21.09,21.162,700.0
2022-07-11,20.909,20.909,20.8,20.8,9500.0
2022-07-12,20.79,20.79,20.672,20.672,300.0
2022-07-13,20.78,20.78,20.669,20.669,1400.0
2022-07-14,20.69,20.694,20.69,20.694,200.0
2022-07-15,20.93,20.97,20.93,20.966,1000.0
2022-07-18,20.821,20.83,20.821,20.83,500.0
2022-07-19,21.24,21.32,21.24,21.301,700.0
2022-07-20,21.479,21.599,21.479,21.525,800.0
2022-07-21,21.725,21.725,21.725,21.725,100.0
2022-07-22,21.468,21.468,21.468,21.468,200.0
2022-07-25,21.396,21.464,21.396,21.403,500.0
2022-07-26,21.123,21.123,21.123,21.123,100.0
2022-07-27,21.451,21.765,21.451,21.765,300.0
2022-07-28,21.802,21.888,21.802,21.88,200.0
2022-07-29,22.13,22.18,22.13,22.163,700.0
2022-08-01,22.135,22.135,22.135,22.135,100.0
2022-08-02,22.11,22.15,22.11,22.14,1500.0
2022-08-03,22.5,22.52,22.5,22.52,300.0
2022-08-04,22.521,22.55,22.51,22.55,900.0
2022-08-05,22.435,22.438,22.33,22.438,700.0
2022-08-08,22.4,22.4,22.335,22.375,295400.0
2022-08-09,22.222,22.25,22.195,22.215,18600.0
2022-08-10,22.516,22.64,22.516,22.625,1600.0
2022-08-11,22.74,22.749,22.511,22.54,4600.0
2022-08-12,22.65,22.802,22.637,22.802,23500.0
2022-08-15,22.84,22.97,22.84,22.915,10100.0
2022-08-16,22.84,22.958,22.84,22.901,30600.0
2022-08-17,22.759,22.88,22.712,22.712,6800.0
2022-08-18,22.697,22.86,22.697,22.782,10300.0
2022-08-19,22.559,22.56,22.477,22.53,2300.0
2022-08-22,22.18,22.21,22.14,22.14,11000.0
2022-08-23,22.14,22.2,22.134,22.134,24700.0
2022-08-24,22.16,22.24,22.123,22.193,14800.0
2022-08-25,22.25,22.46,22.242,22.433,7800.0
2022-08-26,22.46,22.46,21.837,21.837,5600.0
2022-08-29,21.64,21.73,21.64,21.699,1200.0
2022-08-30,21.605,21.605,21.486,21.486,200.0
2022-08-31,21.712,21.712,21.47,21.47,14900.0
2022-09-01,21.09,21.412,21.09,21.412,1000.0
2022-09-02,21.634,21.634,21.12,21.197,3300.0
2022-09-06,21.167,21.182,21.09,21.09,10200.0
2022-09-07,21.24,21.47,21.24,21.44,4200.0
2022-09-08,21.41,21.491,21.35,21.491,1000.0
2022-09-09,21.708,21.9,21.708,21.884,3300.0
2022-09-12,22.069,22.069,22.0,22.027,10800.0
2022-09-13,21.181,21.2,21.144,21.144,1000.0
2022-09-14,21.11,21.32,21.11,21.256,2800.0
2022-09-15,21.009,21.009,21.009,21.009,100.0
2022-09-16,20.913,20.913,20.913,20.913,0.0
2022-09-19,20.92,21.005,20.92,21.005,23900.0
2022-09-20,20.919,20.93,20.88,20.881,9300.0
2022-09-21,20.98,21.135,20.653,20.653,1600.0
2022-09-22,20.46,20.7,20.45,20.52,34000.0
2022-09-23,20.229,20.23,20.039,20.181,15100.0
2022-09-26,20.38,20.38,20.12,20.14,16800.0
2022-09-27,20.31,20.31,20.01,20.137,600.0
2022-09-28,20.1,20.52,20.1,20.482,10200.0
2022-09-29,19.97,20.07,19.97,20.07,11600.0
2022-09-30,19.94,19.94,19.772,19.772,1800.0
2022-10-03,20.19,20.22,20.135,20.135,1200.0
2022-10-04,20.595,20.619,20.46,20.586,800.0
2022-10-05,20.254,20.649,20.254,20.557,2800.0
2022-10-06,20.51,20.59,20.45,20.45,7800.0
2022-10-07,20.1,20.11,19.844,19.857,5100.0
2022-10-10,19.739,19.77,19.71,19.724,4800.0
2022-10-11,19.46,19.65,19.44,19.55,10500.0
2022-10-12,19.48,19.58,19.48,19.526,6200.0
2022-10-13,19.776,19.85,19.776,19.85,500.0
2022-10-14,19.47,19.48,19.387,19.387,700.0
2022-10-17,19.81,19.92,19.8,19.91,7500.0
2022-10-18,20.22,20.22,20.0,20.03,800.0
2022-10-19,19.95,20.06,19.87,19.98,3100.0
2022-10-20,19.87,19.99,19.805,19.92,113300.0
2022-10-21,19.81,20.28,19.81,20.28,6800.0
2022-10-24,20.3,20.42,20.23,20.4,7400.0
2022-10-25,20.51,20.676,20.51,20.676,2300.0
2022-10-26,20.4,20.43,20.37,20.39,3700.0
2022-10-27,20.36,20.4,20.1,20.12,15800.0
2022-10-28,20.23,20.572,20.23,20.572,100.0
2022-10-31,20.419,20.48,20.4,20.43,6100.0
2022-11-01,20.26,20.281,20.26,20.275,700.0
2022-11-02,20.26,20.26,19.758,19.758,7200.0
2022-11-03,19.54,19.54,19.442,19.442,200.0
2022-11-04,19.505,19.653,19.4,19.653,4200.0
2022-11-07,19.728,19.9,19.7,19.88,15500.0
2022-11-08,20.12,20.13,19.9,19.99,6000.0
2022-11-09,19.89,19.89,19.62,19.62,200.0
2022-11-10,20.31,20.73,20.31,20.729,12200.0
2022-11-11,20.87,21.02,20.87,20.982,1000.0
2022-11-14,20.87,21.03,20.851,20.851,12600.0
2022-11-15,21.04,21.1,21.04,21.044,1900.0
2022-11-16,20.879,20.91,20.87,20.89,5000.0
2022-11-17,20.875,20.89,20.792,20.792,900.0
2022-11-18,20.8,20.82,20.8,20.818,2100.0
2022-11-21,20.74,20.74,20.7,20.7,200.0
2022-11-22,20.71,20.95,20.71,20.95,8900.0
2022-11-23,20.99,21.059,20.99,21.059,700.0
2022-11-25,20.98,20.98,20.98,20.98,0.0
2022-11-28,20.744,20.745,20.69,20.745,1000.0
2022-11-29,20.63,20.68,20.619,20.633,2900.0
2022-11-30,20.61,21.293,20.59,21.293,1900.0
2022-12-01,21.4,21.4,21.3,21.36,2600.0
2022-12-02,21.301,21.301,21.301,21.301,100.0
2022-12-05,21.03,21.03,21.03,21.03,100.0
2022-12-06,20.76,20.76,20.61,20.719,13200.0
2022-12-07,20.66,20.695,20.658,20.658,400.0
2022-12-08,20.791,20.845,20.76,20.833,7800.0
2022-12-09,20.85,20.915,20.75,20.75,3100.0
2022-12-12,20.82,20.916,20.76,20.916,3200.0
2022-12-13,21.44,21.44,21.03,21.126,1700.0
2022-12-14,21.219,21.35,20.98,21.07,26200.0
