Date,Open,High,Low,Close,Volume
2020-08-11,20.15,20.15,19.968,19.968,18600.0
2020-08-12,20.16,20.18,20.114,20.147,10200.0
2020-08-13,20.13,20.18,20.09,20.115,84000.0
2020-08-14,20.173,20.205,20.096,20.096,7600.0
2020-08-17,20.18,20.18,20.155,20.155,4900.0
2020-08-18,20.17,20.21,20.169,20.18,24300.0
2020-08-19,20.22,20.23,20.138,20.138,26800.0
2020-08-20,20.15,20.21,20.119,20.175,58400.0
2020-08-21,20.21,20.24,20.185,20.24,7500.0
2020-08-24,20.3,20.3,20.268,20.268,14000.0
2020-08-25,20.35,20.37,20.304,20.37,11600.0
2020-08-26,20.37,20.431,20.355,20.395,15500.0
2020-08-27,20.45,20.46,20.329,20.44,22100.0
2020-08-28,20.39,20.465,20.39,20.465,75600.0
2020-08-31,20.48,20.48,20.409,20.409,13400.0
2020-09-01,20.399,20.45,20.375,20.427,7200.0
2020-09-02,20.55,20.55,20.455,20.517,3800.0
2020-09-03,20.44,20.44,20.13,20.13,34400.0
2020-09-04,20.15,20.22,19.9,20.203,27900.0
2020-09-08,19.95,20.06,19.92,19.938,69200.0
2020-09-09,20.17,20.32,20.163,20.163,7300.0
2020-09-10,20.13,20.139,19.98,20.01,14900.0
2020-09-11,19.99,20.04,19.99,20.006,4600.0
2020-09-14,20.19,20.205,20.09,20.163,11400.0
2020-09-15,20.229,20.26,20.19,20.191,56500.0
2020-09-16,20.24,20.24,20.155,20.155,5700.0
2020-09-17,20.06,20.15,20.0,20.092,3000.0
2020-09-18,20.092,20.1,19.919,19.965,116000.0
2020-09-21,19.71,19.8,19.67,19.8,18300.0
2020-09-22,19.86,19.93,19.84,19.929,9000.0
2020-09-23,19.93,19.93,19.684,19.684,7400.0
2020-09-24,19.655,19.84,19.655,19.73,40100.0
2020-09-25,19.73,19.935,19.73,19.896,57400.0
2020-09-28,20.1,20.125,20.045,20.09,84000.0
2020-09-29,20.11,20.11,20.009,20.028,10700.0
2020-09-30,20.1,20.17,20.05,20.126,10900.0
2020-10-01,20.15,20.18,20.11,20.132,9700.0
2020-10-02,20.03,20.13,20.03,20.065,5500.0
2020-10-05,20.18,20.24,20.17,20.225,22700.0
2020-10-06,20.235,20.29,20.085,20.102,17900.0
2020-10-07,20.25,20.294,20.23,20.294,7100.0
