Date,Open,High,Low,Close,Volume
2024-10-01,24.94,25.0,24.87,24.873,1193900.0
2024-10-02,24.73,24.818,24.73,24.777,3500.0
2024-10-03,24.831,24.868,24.831,24.868,300.0
2024-10-04,25.048,25.15,25.048,25.15,800.0
2024-10-07,24.99,25.01,24.765,24.87,538300.0
2024-10-08,24.94,25.049,24.93,25.003,31200.0
2024-10-09,25.03,25.17,25.03,25.137,10500.0
2024-10-10,25.16,25.21,25.11,25.201,5900.0
2024-10-11,25.31,25.38,24.345,25.357,6100.0
2024-10-14,25.35,25.55,25.35,25.48,5400.0
2024-10-15,25.52,25.53,25.41,25.41,6700.0
2024-10-16,25.4,25.573,25.4,25.573,11400.0
2024-10-17,25.55,25.57,25.42,25.42,1700.0
2024-10-18,25.51,25.62,25.51,25.601,900.0
2024-10-21,25.65,25.66,25.44,25.54,2700.0
2024-10-22,25.36,25.4,25.354,25.37,500.0
2024-10-23,25.34,25.34,25.05,25.151,6300.0
2024-10-24,25.2,25.216,25.2,25.216,2100.0
2024-10-25,25.073,25.073,25.073,25.073,100.0
2024-10-28,25.34,25.36,25.299,25.299,800.0
2024-10-29,25.3,25.33,25.291,25.291,14100.0
2024-10-30,25.245,25.245,25.245,25.245,100.0
2024-10-31,25.158,25.158,25.083,25.083,1800.0
2024-11-01,25.165,25.17,25.056,25.056,6200.0
2024-11-04,24.85,24.85,24.832,24.832,5800.0
2024-11-05,25.192,25.26,25.18,25.26,5900.0
2024-11-06,25.92,26.018,25.92,26.018,300.0
2024-11-07,26.2,26.673,26.2,26.673,2100.0
2024-11-08,27.06,27.511,27.06,27.511,9500.0
2024-11-11,27.69,27.753,27.69,27.753,1800.0
2024-11-12,27.58,27.729,27.58,27.687,2000.0
2024-11-13,27.83,27.89,27.623,27.623,44300.0
2024-11-14,27.59,27.59,27.372,27.372,3600.0
2024-11-15,27.14,27.143,27.04,27.143,14700.0
2024-11-18,27.21,27.4,27.21,27.237,4700.0
2024-11-19,27.22,27.558,27.22,27.558,3600.0
2024-11-20,27.45,27.6,27.44,27.6,7300.0
2024-11-21,28.07,28.1,28.06,28.087,3300.0
2024-11-22,28.18,28.422,28.15,28.422,8100.0
2024-11-25,28.55,28.55,28.32,28.37,7200.0
2024-11-26,28.46,28.585,28.45,28.585,2800.0
2024-11-27,28.32,28.32,28.17,28.27,1000.0
2024-11-29,28.391,28.391,28.391,28.391,100.0
2024-12-02,28.35,28.35,28.254,28.254,3600.0
2024-12-03,28.349,28.511,28.33,28.492,5700.0
2024-12-04,28.86,28.86,28.77,28.855,9800.0
2024-12-05,28.95,28.959,28.792,28.792,3200.0
2024-12-06,28.835,28.895,28.835,28.895,600.0
2024-12-09,28.23,28.23,28.17,28.184,700.0
2024-12-10,28.07,28.07,27.646,27.646,3100.0
2024-12-11,27.805,27.84,27.805,27.838,5600.0
2024-12-12,27.83,27.9,27.794,27.794,1300.0
2024-12-13,27.65,27.761,27.64,27.761,1200.0
2024-12-16,27.94,27.99,27.931,27.931,900.0
2024-12-17,27.69,27.69,27.61,27.645,1200.0
2024-12-18,27.49,27.58,26.58,26.599,21100.0
2024-12-19,26.65,26.65,26.51,26.52,800.0
2024-12-20,27.01,27.01,26.99,27.0,1800.0
2024-12-23,26.89,26.953,26.89,26.953,1400.0
2024-12-24,27.154,27.154,27.154,27.154,0.0
2024-12-26,27.18,27.18,27.174,27.174,32500.0
2024-12-27,26.7,26.827,26.7,26.827,1000.0
2024-12-30,26.37,26.75,26.37,26.63,1200.0
2024-12-31,26.53,26.53,26.42,26.449,4500.0
2025-01-02,26.43,26.67,26.43,26.667,3500.0
2025-01-03,27.02,27.176,27.02,27.176,900.0
2025-01-06,27.45,27.51,27.41,27.468,2000.0
2025-01-07,27.16,27.16,27.04,27.055,900.0
2025-01-08,26.84,27.249,26.83,27.249,4600.0
