Date,Open,High,Low,Close,Volume
2024-10-21,30.376,30.376,30.376,30.376,100.0
2024-10-22,30.39,30.44,30.38,30.44,1300.0
2024-10-23,30.33,30.33,30.22,30.245,2500.0
2024-10-24,30.32,30.32,30.307,30.307,100.0
2024-10-25,30.41,30.41,30.3,30.32,2500.0
2024-10-28,30.38,30.41,30.345,30.345,7900.0
2024-10-29,30.286,30.39,30.286,30.371,6400.0
2024-10-30,30.35,30.41,30.313,30.313,36800.0
2024-10-31,30.2,30.2,30.05,30.05,24900.0
2024-11-01,30.16,30.429,30.11,30.12,12500.0
2024-11-04,30.13,30.13,30.05,30.055,193800.0
2024-11-05,30.23,30.23,30.19,30.217,284000.0
2024-11-06,30.63,30.66,30.62,30.62,9500.0
2024-11-07,30.74,30.78,30.72,30.735,28600.0
2024-11-08,30.81,31.13,30.81,30.84,80800.0
2024-11-11,30.84,30.84,30.83,30.84,600.0
2024-11-12,30.8,30.84,30.735,30.801,3600.0
2024-11-13,30.81,30.87,30.79,30.806,13500.0
2024-11-14,30.829,30.83,30.725,30.725,1500.0
2024-11-15,30.68,30.68,30.515,30.515,700.0
2024-11-18,30.5,30.6,30.5,30.575,1600.0
2024-11-19,30.59,30.67,30.58,30.639,3000.0
2024-11-20,30.56,30.644,30.52,30.644,5600.0
2024-11-21,30.68,30.745,30.66,30.745,600.0
2024-11-22,30.77,30.82,30.76,30.814,900.0
2024-11-25,30.93,30.94,30.841,30.9,1500.0
2024-11-26,30.959,30.97,30.959,30.97,900.0
2024-11-27,30.909,30.94,30.88,30.915,5200.0
2024-11-29,31.033,31.033,31.033,31.033,0.0
2024-12-02,31.05,31.08,31.05,31.055,3800.0
2024-12-03,31.09,31.09,31.072,31.072,1900.0
2024-12-04,31.15,31.16,31.15,31.155,1300.0
2024-12-05,31.17,31.18,31.146,31.146,600.0
2024-12-06,31.17,31.2,31.16,31.184,3700.0
2024-12-09,31.095,31.095,31.095,31.095,0.0
2024-12-10,31.15,31.15,31.055,31.055,200.0
2024-12-11,31.18,31.25,31.171,31.221,1900.0
2024-12-12,31.2,31.2,31.135,31.135,4900.0
2024-12-13,31.21,31.21,31.12,31.138,1900.0
2024-12-16,31.22,31.24,31.199,31.199,200.0
2024-12-17,31.15,31.18,31.1,31.144,7000.0
2024-12-18,31.18,31.19,30.58,30.6,74000.0
2024-12-19,30.77,30.77,30.582,30.582,1000.0
2024-12-20,30.86,30.9,30.767,30.767,200.0
2024-12-23,30.74,30.919,30.74,30.919,1900.0
2024-12-24,31.08,31.127,31.08,31.127,1000.0
2024-12-26,31.15,31.16,31.136,31.136,1200.0
2024-12-27,30.893,30.893,30.893,30.893,100.0
2024-12-30,30.74,30.74,30.67,30.67,120700.0
2024-12-31,30.668,30.668,30.51,30.521,1200.0
2025-01-02,30.6,30.6,30.36,30.455,5900.0
2025-01-03,30.55,30.76,30.55,30.755,2800.0
