Date,Open,High,Low,Close,Volume
2020-05-19,30.85,30.93,30.665,30.68,88000.0
2020-05-20,30.85,30.92,30.748,30.814,30200.0
2020-05-21,30.89,30.91,30.77,30.77,26600.0
2020-05-22,30.75,30.75,30.73,30.735,2500.0
2020-05-26,31.05,31.06,30.886,30.886,2400.0
2020-05-27,30.82,31.05,30.82,31.005,5900.0
2020-05-28,31.15,31.16,30.97,30.97,8200.0
2020-05-29,30.96,31.009,30.96,30.999,400.0
2020-06-01,31.029,31.029,31.029,31.029,0.0
2020-06-02,31.14,31.17,31.122,31.122,2200.0
2020-06-03,31.318,31.318,31.218,31.218,1100.0
2020-06-04,31.29,31.29,31.219,31.219,1400.0
2020-06-05,31.505,31.505,31.454,31.454,400.0
2020-06-08,31.54,31.55,31.485,31.492,1500.0
2020-06-09,31.51,31.51,31.425,31.469,2400.0
2020-06-10,31.385,31.57,31.35,31.439,3000.0
2020-06-11,31.12,31.12,30.7,30.71,5500.0
2020-06-12,31.04,31.05,30.7,30.826,16100.0
2020-06-15,30.715,31.01,30.715,30.868,7700.0
2020-06-16,31.31,31.31,31.012,31.012,2200.0
2020-06-17,31.23,31.23,31.025,31.128,8100.0
2020-06-18,31.129,31.129,31.034,31.034,2400.0
2020-06-19,31.06,31.06,30.994,30.994,200.0
2020-06-22,31.06,31.1,31.039,31.039,800.0
2020-06-23,31.2,31.28,31.2,31.233,2700.0
2020-06-24,31.0,31.0,30.89,30.975,14700.0
2020-06-25,31.1,31.1,31.1,31.1,300.0
2020-06-26,30.94,30.95,30.771,30.771,38000.0
2020-06-29,30.982,31.03,30.8,30.937,3200.0
2020-06-30,31.155,31.2,31.1,31.181,1400.0
2020-07-01,31.21,31.296,31.21,31.222,2300.0
2020-07-02,31.46,31.46,31.313,31.334,2400.0
2020-07-06,31.51,31.51,31.424,31.424,400.0
2020-07-07,31.372,31.372,31.372,31.372,100.0
2020-07-08,31.448,31.448,31.41,31.41,200.0
2020-07-09,31.35,31.35,31.312,31.312,800.0
2020-07-10,31.418,31.418,31.418,31.418,100.0
2020-07-13,31.44,31.44,31.253,31.253,1000.0
2020-07-14,31.401,31.46,31.401,31.427,40200.0
2020-07-15,31.493,31.59,31.493,31.58,18200.0
2020-07-16,31.42,31.491,31.42,31.491,300.0
2020-07-17,31.57,31.63,31.535,31.535,3600.0
2020-07-20,31.651,31.651,31.651,31.651,200.0
2020-07-21,31.81,31.81,31.685,31.685,5400.0
2020-07-22,31.693,31.693,31.693,31.693,100.0
2020-07-23,31.77,31.79,31.565,31.576,5900.0
2020-07-24,31.41,31.619,31.41,31.619,5200.0
2020-07-27,31.6,31.6,31.6,31.6,100.0
2020-07-28,31.7,31.7,31.535,31.535,1100.0
2020-07-29,31.69,31.749,31.69,31.735,2400.0
2020-07-30,31.535,31.679,31.535,31.621,700.0
2020-07-31,31.63,31.739,31.59,31.731,21200.0
2020-08-03,31.735,31.755,31.735,31.755,200.0
2020-08-04,31.73,31.83,31.73,31.789,1500.0
2020-08-05,31.91,31.91,31.845,31.845,2400.0
2020-08-06,31.89,31.91,31.846,31.892,2800.0
2020-08-07,31.893,31.893,31.893,31.893,100.0
2020-08-10,31.9,31.96,31.9,31.91,300.0
2020-08-11,32.02,32.02,31.823,31.823,7800.0
2020-08-12,31.945,31.945,31.945,31.945,100.0
2020-08-13,31.99,31.99,31.915,31.915,500.0
2020-08-14,31.97,31.979,31.9,31.9,4600.0
2020-08-17,32.01,32.03,31.955,31.955,800.0
2020-08-18,32.01,32.01,31.975,31.976,5800.0
2020-08-19,32.03,32.04,31.944,31.944,2000.0
2020-08-20,32.03,32.03,31.945,31.961,3300.0
2020-08-21,31.982,31.982,31.982,31.982,0.0
2020-08-24,31.98,32.08,31.98,32.004,3600.0
2020-08-25,32.02,32.09,32.01,32.07,1800.0
2020-08-26,32.15,32.16,32.065,32.065,1700.0
2020-08-27,32.08,32.13,31.987,32.106,3900.0
2020-08-28,31.96,32.16,31.95,32.09,5200.0
2020-08-31,32.14,32.14,32.03,32.03,1100.0
2020-09-01,32.09,32.12,32.016,32.029,4600.0
2020-09-02,31.98,32.14,31.952,32.061,7400.0
2020-09-03,31.814,31.814,31.814,31.814,100.0
2020-09-04,31.81,31.903,31.688,31.903,43800.0
2020-09-08,31.8,31.84,31.742,31.771,1100.0
2020-09-09,31.988,31.99,31.938,31.94,2300.0
2020-09-10,31.91,31.91,31.83,31.83,400.0
2020-09-11,31.82,31.9,31.73,31.818,2100.0
2020-09-14,32.01,32.01,31.93,31.93,10400.0
2020-09-15,31.98,31.98,31.92,31.967,600.0
2020-09-16,31.965,31.965,31.965,31.965,200.0
2020-09-17,31.83,31.838,31.83,31.838,300.0
2020-09-18,31.79,31.79,31.7,31.787,1300.0
2020-09-21,31.66,31.7,31.52,31.674,6200.0
2020-09-22,31.72,31.739,31.61,31.739,4600.0
2020-09-23,31.72,31.75,31.564,31.564,1600.0
2020-09-24,31.605,31.62,31.59,31.59,800.0
2020-09-25,31.714,31.714,31.714,31.714,0.0
2020-09-28,31.77,31.842,31.753,31.842,400.0
2020-09-29,31.846,31.87,31.8,31.866,3300.0
2020-09-30,31.98,31.98,31.873,31.896,500.0
2020-10-01,31.98,31.98,31.891,31.891,3600.0
2020-10-02,31.81,31.81,31.74,31.785,2900.0
2020-10-05,31.93,31.95,31.914,31.914,3900.0
2020-10-06,32.0,32.0,31.83,31.83,1300.0
2020-10-07,31.983,31.983,31.983,31.983,100.0
2020-10-08,32.054,32.054,32.054,32.054,0.0
2020-10-09,32.136,32.136,32.136,32.136,0.0
2020-10-12,32.32,32.32,32.241,32.241,900.0
2020-10-13,32.205,32.205,32.205,32.205,0.0
2020-10-14,32.24,32.24,32.164,32.185,500.0
2020-10-15,32.085,32.179,32.085,32.167,600.0
2020-10-16,32.225,32.225,32.12,32.176,3400.0
2020-10-19,32.038,32.038,32.038,32.038,0.0
2020-10-20,32.05,32.081,32.05,32.081,400.0
2020-10-21,32.0,32.085,32.0,32.085,800.0
2020-10-22,32.2,32.2,32.128,32.128,200.0
2020-10-23,32.05,32.158,32.05,32.158,100.0
2020-10-26,32.08,32.08,31.987,31.987,200.0
2020-10-27,32.06,32.06,31.92,31.987,1700.0
2020-10-28,31.621,31.75,31.591,31.643,1800.0
2020-10-29,31.809,31.809,31.809,31.809,100.0
2020-10-30,31.68,31.71,31.68,31.71,18900.0
2020-11-02,31.827,31.827,31.827,31.827,100.0
2020-11-03,31.92,31.994,31.902,31.994,1700.0
2020-11-04,32.176,32.176,32.176,32.176,100.0
2020-11-05,32.37,32.37,32.22,32.285,20300.0
2020-11-06,32.2,32.4,32.2,32.345,2400.0
2020-11-09,32.43,32.43,32.43,32.43,100.0
2020-11-10,32.32,32.409,32.32,32.409,900.0
2020-11-11,32.37,32.545,32.35,32.455,16600.0
2020-11-12,32.44,32.44,32.408,32.408,100.0
2020-11-13,32.55,32.56,32.471,32.471,29700.0
2020-11-16,32.414,32.569,32.414,32.507,8900.0
2020-11-17,32.485,32.485,32.485,32.485,0.0
2020-11-18,32.4,32.451,32.38,32.451,2200.0
2020-11-19,32.51,32.55,32.36,32.465,6300.0
2020-11-20,32.39,32.53,32.37,32.446,3400.0
2020-11-23,32.477,32.477,32.477,32.477,0.0
2020-11-24,32.46,32.565,32.455,32.565,400.0
2020-11-25,32.48,32.64,32.48,32.566,2400.0
2020-11-27,32.575,32.58,32.575,32.58,800.0
2020-11-30,32.65,32.65,32.47,32.47,1400.0
2020-12-01,32.56,32.63,32.54,32.608,17400.0
2020-12-02,32.71,32.71,32.615,32.617,3800.0
2020-12-03,32.697,32.729,32.55,32.611,6100.0
2020-12-04,32.58,32.655,32.55,32.655,4200.0
2020-12-07,32.714,32.714,32.653,32.653,800.0
2020-12-08,32.73,32.75,32.561,32.666,3300.0
2020-12-09,32.65,32.65,32.56,32.649,1600.0
2020-12-10,32.641,32.641,32.641,32.641,100.0
2020-12-11,32.622,32.622,32.622,32.622,300.0
2020-12-14,32.614,32.614,32.614,32.614,300.0
2020-12-15,32.6,32.69,32.583,32.64,600.0
2020-12-16,32.607,32.716,32.59,32.59,4300.0
2020-12-17,32.675,32.675,32.675,32.675,400.0
2020-12-18,32.59,32.679,32.59,32.679,700.0
2020-12-21,32.68,32.71,32.646,32.646,73500.0
2020-12-22,32.6,32.6,32.6,32.6,100.0
2020-12-23,32.6,32.675,32.6,32.675,1700.0
2020-12-24,32.77,32.79,32.681,32.681,4000.0
2020-12-28,32.725,32.725,32.725,32.725,1900.0
2020-12-29,32.59,32.695,32.59,32.695,900.0
2020-12-30,32.8,32.8,32.65,32.729,18000.0
2020-12-31,32.75,32.75,32.75,32.75,0.0
2021-01-04,32.8,32.8,32.65,32.665,3600.0
2021-01-05,32.675,32.75,32.67,32.71,14000.0
2021-01-06,32.71,32.73,32.66,32.719,26800.0
2021-01-07,32.692,32.844,32.69,32.8,1500.0
2021-01-08,32.74,32.835,32.72,32.835,1500.0
2021-01-11,32.773,32.773,32.773,32.773,100.0
2021-01-12,32.85,32.85,32.8,32.8,15800.0
2021-01-13,32.795,32.91,32.73,32.811,13800.0
2021-01-14,32.81,32.81,32.81,32.81,100.0
2021-01-15,32.752,32.82,32.68,32.774,3800.0
2021-01-19,32.69,32.86,32.69,32.81,2700.0
2021-01-20,32.772,32.92,32.772,32.861,7300.0
2021-01-21,32.78,32.96,32.78,32.87,1700.0
2021-01-22,32.931,32.931,32.855,32.86,2200.0
2021-01-25,32.923,32.925,32.75,32.85,14400.0
2021-01-26,32.81,32.845,32.81,32.845,15800.0
2021-01-27,32.691,32.72,32.648,32.648,2800.0
2021-01-28,32.67,32.73,32.65,32.721,6400.0
2021-01-29,32.7,32.7,32.637,32.637,700.0
2021-02-01,32.724,32.724,32.724,32.724,0.0
2021-02-02,32.7,32.87,32.7,32.806,9700.0
2021-02-03,32.73,32.93,32.73,32.84,3800.0
2021-02-04,32.79,32.89,32.79,32.89,7900.0
2021-02-05,32.82,32.91,32.81,32.9,3500.0
2021-02-08,32.92,32.92,32.831,32.831,1300.0
2021-02-09,32.886,33.0,32.872,32.918,6100.0
2021-02-10,33.01,33.01,32.813,32.95,6900.0
2021-02-11,32.928,32.928,32.928,32.928,100.0
2021-02-12,32.898,32.95,32.898,32.95,300.0
2021-02-16,32.87,33.02,32.87,32.95,2700.0
2021-02-17,32.96,32.99,32.94,32.99,1400.0
2021-02-18,32.94,32.94,32.94,32.94,100.0
2021-02-19,32.95,32.95,32.95,32.95,100.0
2021-02-22,32.94,32.94,32.93,32.93,400.0
2021-02-23,32.98,33.02,32.86,32.95,7600.0
2021-02-24,32.86,33.026,32.86,32.99,1900.0
2021-02-25,32.85,32.864,32.85,32.864,4700.0
2021-02-26,32.899,32.899,32.899,32.899,9300.0
2021-03-01,32.982,32.982,32.982,32.982,0.0
2021-03-02,32.97,32.97,32.97,32.97,0.0
2021-03-03,33.006,33.006,32.943,32.943,800.0
2021-03-04,32.91,32.94,32.866,32.866,13100.0
2021-03-05,32.956,32.956,32.956,32.956,100.0
2021-03-08,32.965,32.965,32.965,32.965,100.0
2021-03-09,32.9,33.0,32.9,33.0,1000.0
2021-03-10,32.94,33.015,32.94,33.015,19200.0
2021-03-11,33.116,33.116,33.04,33.04,700.0
2021-03-12,33.05,33.05,33.05,33.05,1400.0
2021-03-15,33.07,33.07,33.07,33.07,0.0
2021-03-16,33.08,33.15,33.075,33.075,700.0
2021-03-17,33.055,33.15,33.055,33.085,800.0
2021-03-18,33.15,33.15,33.13,33.13,2600.0
2021-03-19,33.12,33.14,33.12,33.14,3000.0
2021-03-22,33.15,33.16,33.085,33.096,2700.0
2021-03-23,33.16,33.17,33.09,33.09,1300.0
2021-03-24,33.15,33.15,33.08,33.08,31300.0
2021-03-25,33.15,33.16,33.08,33.13,1300.0
2021-03-26,33.127,33.145,33.127,33.145,1100.0
2021-03-29,33.14,33.14,33.03,33.1,1600.0
2021-03-30,33.12,33.14,33.022,33.11,15500.0
2021-03-31,33.04,33.079,33.04,33.079,900.0
2021-04-01,33.13,33.13,33.13,33.13,1000.0
2021-04-05,33.06,33.14,33.06,33.14,4200.0
2021-04-06,33.082,33.14,33.06,33.14,400.0
2021-04-07,33.21,33.21,33.21,33.21,200.0
2021-04-08,33.21,33.22,33.17,33.22,700.0
2021-04-09,33.21,33.21,33.08,33.15,1500.0
2021-04-12,33.21,33.21,33.15,33.15,100.0
2021-04-13,33.22,33.22,33.06,33.15,1000.0
2021-04-14,33.22,33.22,33.07,33.105,500.0
2021-04-15,33.22,33.22,33.08,33.155,2700.0
2021-04-16,33.175,33.175,33.175,33.175,5100.0
2021-04-19,33.07,33.15,33.07,33.15,1300.0
2021-04-20,33.07,33.15,33.07,33.15,800.0
2021-04-21,33.06,33.22,33.06,33.15,2600.0
2021-04-22,33.102,33.102,33.06,33.1,7400.0
2021-04-23,33.17,33.17,33.17,33.17,0.0
2021-04-26,33.24,33.24,33.17,33.17,300.0
2021-04-27,33.1,33.17,33.07,33.15,6000.0
2021-04-28,33.07,33.15,33.07,33.15,32500.0
2021-04-29,33.15,33.23,33.15,33.15,2800.0
2021-04-30,33.15,33.15,33.15,33.15,100.0
2021-05-03,33.15,33.225,33.134,33.15,7400.0
2021-05-04,33.22,33.23,33.052,33.145,5200.0
2021-05-05,33.238,33.238,33.15,33.15,1400.0
2021-05-06,33.238,33.24,33.15,33.15,8400.0
2021-05-07,33.24,33.24,33.15,33.15,4100.0
2021-05-10,33.22,33.23,33.14,33.14,3500.0
2021-05-11,33.22,33.22,33.22,33.22,900.0
2021-05-12,33.22,33.23,33.07,33.15,7700.0
2021-05-13,33.05,33.23,33.05,33.14,7100.0
2021-05-14,33.07,33.24,33.07,33.15,4200.0
