Date,Open,High,Low,Close,Volume
2024-01-11,41.99,50.7,40.26,40.88,16805200.0
2024-01-12,40.74,40.81,37.95,38.35,11359300.0
2024-01-16,37.9,38.14,36.91,38.1,8479200.0
2024-01-17,37.45,37.69,37.03,37.4,7913000.0
2024-01-18,37.4,37.52,35.6,35.76,10271800.0
2024-01-19,36.08,36.915,35.284,36.49,13809200.0
2024-01-22,35.61,35.77,34.49,35.18,11640300.0
2024-01-23,33.95,34.685,33.77,34.34,10426500.0
2024-01-24,35.0,35.2,34.58,34.6,7558400.0
2024-01-25,35.05,35.1,34.61,34.81,6420800.0
2024-01-26,36.05,36.965,35.99,36.75,9170600.0
2024-01-29,36.78,37.935,36.6,37.82,8468300.0
2024-01-30,38.03,38.3,37.855,38.13,7622200.0
2024-01-31,37.38,38.31,37.185,37.24,6036500.0
2024-02-01,37.08,37.88,37.06,37.66,4569500.0
2024-02-02,37.39,38.06,37.37,37.58,4965100.0
2024-02-05,37.95,37.98,37.01,37.07,3112800.0
2024-02-06,37.54,37.985,37.5,37.73,3485900.0
2024-02-07,37.77,38.765,37.55,38.66,5326400.0
2024-02-08,39.45,39.97,39.28,39.88,6192800.0
2024-02-09,41.15,42.25,40.99,41.64,9931400.0
2024-02-12,42.21,44.18,42.18,44.02,10984400.0
2024-02-13,42.94,43.37,42.34,43.29,7508000.0
2024-02-14,45.3,45.66,44.88,45.32,10127000.0
2024-02-15,45.99,46.305,45.22,45.32,8284400.0
2024-02-16,45.77,45.965,45.23,45.43,5270700.0
2024-02-20,45.81,45.86,44.43,45.52,7629400.0
2024-02-21,44.6,45.03,44.355,44.62,7084100.0
2024-02-22,44.74,45.6,44.675,45.56,5628000.0
2024-02-23,44.85,44.94,44.32,44.75,5043800.0
2024-02-26,45.0,48.15,44.98,47.72,12383100.0
2024-02-27,49.86,50.48,49.28,49.93,11636500.0
2024-02-28,52.72,56.36,51.72,52.84,27106800.0
2024-02-29,55.48,55.76,52.85,54.33,18719000.0
2024-03-01,54.68,55.46,53.57,55.19,14596900.0
2024-03-04,57.34,59.585,57.3,59.27,18891300.0
2024-03-05,59.32,60.83,52.13,54.18,37918500.0
2024-03-06,58.55,59.2,57.21,58.63,19354800.0
2024-03-07,59.02,59.72,58.4,59.25,19018400.0
2024-03-08,59.69,61.64,57.91,60.73,27887800.0
2024-03-11,63.38,63.87,62.48,63.09,22552500.0
2024-03-12,63.33,64.08,60.12,62.5,26079300.0
2024-03-13,63.74,64.42,62.78,64.4,16266200.0
2024-03-14,63.59,63.671,59.85,60.63,20022200.0
2024-03-15,59.34,61.85,59.01,60.48,19648000.0
2024-03-18,59.43,60.0,58.21,58.53,10788900.0
2024-03-19,55.82,57.58,54.44,56.35,17171600.0
2024-03-20,55.51,57.81,54.32,57.59,18122400.0
2024-03-21,59.19,59.23,56.76,57.05,12246800.0
2024-03-22,56.18,56.29,54.8,55.91,9232000.0
2024-03-25,58.59,62.28,58.58,62.2,20329900.0
2024-03-26,62.06,62.14,60.66,60.8,9752400.0
2024-03-27,62.74,62.827,59.88,60.04,9846300.0
2024-03-28,62.25,62.81,61.71,62.06,10605800.0
2024-04-01,61.34,61.4,59.58,61.03,9116300.0
2024-04-02,56.81,58.05,56.46,57.66,11730500.0
2024-04-03,57.57,58.59,57.335,57.59,8566200.0
2024-04-04,58.9,60.74,58.75,59.93,9555500.0
2024-04-05,58.58,60.05,58.465,58.94,7142400.0
2024-04-08,63.17,63.21,62.31,62.83,7785200.0
2024-04-09,61.87,62.11,59.68,60.31,8102600.0
2024-04-10,59.22,61.34,59.02,61.33,9814500.0
2024-04-11,61.92,62.06,60.85,61.69,7879000.0
2024-04-12,61.41,61.52,57.01,58.51,13379700.0
2024-04-15,57.98,58.23,54.52,55.36,10387300.0
