Date,Open,High,Low,Close,Volume
2023-11-06,25.76,25.76,25.57,25.723,2900.0
2023-11-07,25.86,26.05,25.86,26.0,23000.0
2023-11-08,26.1,26.14,26.08,26.14,7000.0
2023-11-09,26.17,26.17,25.79,25.79,4500.0
2023-11-10,26.09,26.4,26.09,26.4,700.0
2023-11-13,26.266,26.505,26.266,26.45,1100.0
2023-11-14,27.0,27.161,27.0,27.086,10400.0
2023-11-15,27.18,27.18,26.94,27.08,2800.0
2023-11-16,26.92,27.108,26.92,27.108,3100.0
2023-11-17,27.19,27.19,27.048,27.16,2600.0
2023-11-20,27.07,27.48,27.07,27.48,3200.0
2023-11-21,27.39,27.435,27.39,27.41,10600.0
2023-11-22,27.51,27.65,27.5,27.532,3100.0
2023-11-24,27.44,27.5,27.44,27.485,2400.0
2023-11-27,27.6,27.66,27.543,27.543,2900.0
2023-11-28,27.45,27.568,27.45,27.568,3000.0
2023-11-29,27.7,27.815,27.591,27.591,1100.0
2023-11-30,27.51,27.52,27.3,27.52,2300.0
2023-12-01,27.425,27.606,27.425,27.606,6200.0
2023-12-04,27.39,27.39,27.2,27.308,9800.0
2023-12-05,27.2,27.428,27.2,27.428,8400.0
2023-12-06,27.17,27.17,27.17,27.17,6300.0
2023-12-07,27.42,27.49,27.41,27.49,2600.0
2023-12-08,27.55,27.642,27.54,27.62,3500.0
2023-12-11,27.55,27.71,27.55,27.69,3000.0
2023-12-12,27.59,27.968,27.59,27.968,41300.0
2023-12-13,27.95,28.36,27.92,28.26,11500.0
2023-12-14,28.353,28.36,28.09,28.233,2800.0
2023-12-15,28.37,28.46,28.37,28.46,2200.0
2023-12-18,28.58,28.82,28.58,28.767,3900.0
2023-12-19,28.69,28.849,28.69,28.849,2100.0
2023-12-20,28.9,28.9,28.454,28.454,2800.0
2023-12-21,28.64,28.838,28.62,28.838,8100.0
2023-12-22,28.86,28.91,28.84,28.861,14000.0
2023-12-26,28.97,28.992,28.93,28.992,2700.0
2023-12-27,29.03,29.07,29.03,29.07,400.0
2023-12-28,29.09,29.145,29.053,29.053,4100.0
2023-12-29,28.94,28.99,28.875,28.916,5000.0
2024-01-02,28.62,28.62,28.22,28.362,2900.0
2024-01-03,28.08,28.23,28.01,28.01,22600.0
2024-01-04,27.9,28.15,27.9,27.934,22500.0
2024-01-05,27.94,28.18,27.94,28.05,2300.0
2024-01-08,28.07,28.699,28.07,28.699,5200.0
2024-01-09,28.61,28.87,28.61,28.813,3300.0
2024-01-10,29.05,29.26,29.05,29.189,4600.0
2024-01-11,29.22,29.31,28.934,29.28,3200.0
2024-01-12,29.25,29.34,29.25,29.332,3300.0
2024-01-16,29.29,29.34,29.27,29.34,2400.0
2024-01-17,29.05,29.24,29.01,29.24,5200.0
2024-01-18,29.462,29.61,29.37,29.598,2700.0
2024-01-19,29.79,30.13,29.79,30.13,3400.0
2024-01-22,30.3,30.3,30.18,30.19,1000.0
2024-01-23,30.17,30.31,30.12,30.31,6400.0
2024-01-24,30.755,30.85,30.571,30.571,3300.0
2024-01-25,30.664,30.664,30.46,30.5,3400.0
2024-01-26,30.528,30.72,30.528,30.577,3800.0
2024-01-29,30.56,31.03,30.56,31.03,3100.0
2024-01-30,31.03,31.03,30.95,30.99,2700.0
2024-01-31,30.549,30.71,30.395,30.395,600.0
2024-02-01,30.65,30.806,30.65,30.79,3500.0
2024-02-02,31.55,31.77,31.472,31.737,2500.0
2024-02-05,31.84,31.89,31.669,31.89,4600.0
2024-02-06,31.71,31.75,31.542,31.72,6100.0
2024-02-07,32.2,32.28,32.14,32.28,22400.0
2024-02-08,32.386,32.49,32.305,32.43,6800.0
2024-02-09,32.58,32.99,32.58,32.94,13500.0
2024-02-12,32.97,32.97,32.54,32.597,8200.0
2024-02-13,31.87,32.279,31.75,31.94,11600.0
2024-02-14,32.28,32.63,32.28,32.63,9100.0
2024-02-15,32.51,32.65,32.45,32.57,15600.0
2024-02-16,32.7,32.7,32.373,32.373,6400.0
2024-02-20,32.0,32.0,31.643,31.82,5400.0
2024-02-21,31.59,31.72,31.46,31.72,6100.0
2024-02-22,32.803,33.08,32.803,33.06,4600.0
2024-02-23,33.38,33.38,32.875,33.04,6300.0
2024-02-26,33.04,33.19,33.02,33.024,6100.0
2024-02-27,33.035,33.05,32.82,32.958,3000.0
2024-02-28,32.78,32.958,32.78,32.82,4000.0
2024-02-29,33.03,33.26,32.97,33.19,10900.0
2024-03-01,33.75,33.85,33.35,33.84,35600.0
2024-03-04,33.82,34.08,33.82,33.88,15000.0
2024-03-05,33.75,33.75,33.02,33.24,8800.0
2024-03-06,33.61,33.739,33.455,33.57,10100.0
2024-03-07,33.76,34.32,33.76,34.251,17400.0
2024-03-08,34.57,34.57,33.371,33.51,5200.0
2024-03-11,33.29,33.29,33.02,33.04,2400.0
2024-03-12,33.42,33.926,33.11,33.926,10000.0
2024-03-13,33.73,33.85,33.63,33.79,5100.0
2024-03-14,33.89,33.89,33.64,33.644,2200.0
2024-03-15,33.36,33.44,33.21,33.21,4900.0
2024-03-18,33.652,33.652,33.465,33.49,2400.0
2024-03-19,33.25,33.69,33.25,33.69,10700.0
2024-03-20,33.66,34.07,33.6,34.07,12000.0
2024-03-21,34.45,34.52,34.27,34.28,18900.0
2024-03-22,34.239,34.44,34.15,34.39,15700.0
2024-03-25,34.25,34.37,34.08,34.214,8300.0
2024-03-26,34.41,34.41,34.05,34.05,6300.0
2024-03-27,34.54,34.54,33.73,33.96,10600.0
2024-03-28,34.01,34.04,33.875,33.94,8800.0
2024-04-01,34.08,34.28,33.88,34.05,7400.0
2024-04-02,33.48,33.73,33.48,33.71,106700.0
2024-04-03,33.93,33.96,33.741,33.776,14200.0
2024-04-04,34.09,34.32,33.38,33.38,21800.0
2024-04-05,33.5,34.1,33.5,33.98,21600.0
2024-04-08,34.2,34.2,33.97,34.0,13800.0
2024-04-09,34.21,34.21,33.78,33.96,1600.0
2024-04-10,33.604,33.84,33.604,33.78,8500.0
2024-04-11,34.01,34.34,33.947,34.31,11800.0
2024-04-12,34.0,34.0,33.605,33.668,4000.0
2024-04-15,33.95,33.95,33.02,33.031,12100.0
2024-04-16,33.14,33.23,33.06,33.08,3700.0
2024-04-17,32.74,32.74,32.63,32.656,1100.0
2024-04-18,32.73,32.739,32.35,32.379,7700.0
2024-04-19,32.141,32.141,31.33,31.439,13200.0
2024-04-22,31.66,31.805,31.445,31.79,2700.0
2024-04-23,32.04,32.54,32.04,32.54,3400.0
2024-04-24,32.3,32.49,32.26,32.33,10500.0
2024-04-25,31.37,32.11,31.37,32.06,20500.0
2024-04-26,32.681,32.894,32.681,32.822,3100.0
2024-04-29,32.91,32.91,32.705,32.8,5600.0
2024-04-30,32.77,32.87,32.227,32.227,7400.0
2024-05-01,32.06,32.655,31.86,31.95,28300.0
2024-05-02,32.17,32.449,32.09,32.42,7900.0
2024-05-03,32.8,33.02,32.8,32.972,5300.0
2024-05-06,33.288,33.64,33.271,33.64,9400.0
2024-05-07,33.575,33.62,33.46,33.526,1500.0
2024-05-08,33.12,33.36,33.12,33.343,7400.0
2024-05-09,33.43,33.43,33.364,33.364,3100.0
2024-05-10,33.52,33.52,33.406,33.497,1500.0
2024-05-13,33.361,33.43,33.276,33.358,7600.0
2024-05-14,33.45,33.61,33.45,33.589,2100.0
2024-05-15,33.8,34.275,33.8,34.275,3700.0
2024-05-16,34.28,34.37,34.11,34.11,10800.0
2024-05-17,34.13,34.199,33.94,34.05,9200.0
2024-05-20,34.04,34.36,34.04,34.29,13300.0
2024-05-21,34.25,34.384,34.2,34.384,8000.0
2024-05-22,34.54,34.54,34.181,34.37,9200.0
2024-05-23,35.07,35.1,34.44,34.55,12400.0
2024-05-24,34.64,34.87,34.52,34.789,7000.0
2024-05-28,35.03,35.248,34.96,35.248,6200.0
2024-05-29,35.18,35.22,35.115,35.115,5300.0
2024-05-30,34.839,34.839,34.341,34.341,7300.0
2024-05-31,34.33,34.33,33.53,34.192,3500.0
2024-06-03,34.61,34.61,34.21,34.519,6500.0
2024-06-04,34.59,34.71,34.44,34.697,4200.0
2024-06-05,35.07,35.596,35.07,35.596,5100.0
2024-06-06,35.75,35.75,35.5,35.7,6300.0
2024-06-07,35.59,35.801,35.555,35.611,9000.0
2024-06-10,35.59,35.92,35.475,35.852,24800.0
2024-06-11,35.75,35.852,35.589,35.852,8700.0
2024-06-12,36.275,36.56,36.275,36.516,3100.0
2024-06-13,36.8,36.8,36.31,36.456,38600.0
2024-06-14,36.53,36.62,36.46,36.594,115500.0
2024-06-17,36.605,36.97,36.5,36.843,10700.0
2024-06-18,36.85,37.09,36.85,37.072,10300.0
2024-06-20,37.33,37.33,36.72,36.773,5900.0
2024-06-21,36.59,36.78,36.475,36.666,7400.0
2024-06-24,36.54,36.54,36.03,36.03,11200.0
2024-06-25,36.275,36.8,36.275,36.8,5500.0
2024-06-26,36.74,36.927,36.67,36.927,11500.0
2024-06-27,36.99,37.125,36.945,36.945,63200.0
2024-06-28,37.05,37.41,36.788,36.788,76600.0
2024-07-01,36.81,36.94,36.47,36.94,17300.0
2024-07-02,36.67,37.22,36.67,37.22,16100.0
2024-07-03,37.22,37.592,37.2,37.592,8300.0
