Date,Open,High,Low,Close,Volume
2024-11-18,30.5,30.58,30.5,30.526,6200.0
2024-11-19,30.579,30.59,30.567,30.567,3800.0
2024-11-20,30.49,30.558,30.49,30.558,800.0
2024-11-21,30.625,30.625,30.625,30.625,0.0
2024-11-22,30.67,30.7,30.67,30.673,1100.0
2024-11-25,30.79,30.79,30.745,30.745,3900.0
2024-11-26,30.802,30.815,30.802,30.815,300.0
2024-11-27,30.785,30.82,30.785,30.785,1000.0
2024-11-29,30.87,30.89,30.87,30.879,8600.0
2024-12-02,30.92,30.92,30.895,30.895,7400.0
2024-12-03,30.92,30.92,30.905,30.905,700.0
2024-12-04,31.0,31.0,31.0,31.0,200.0
2024-12-05,30.95,30.95,30.95,30.95,0.0
2024-12-06,31.035,31.04,30.983,30.983,600.0
2024-12-09,30.925,30.925,30.925,30.925,0.0
2024-12-10,30.904,30.904,30.904,30.904,0.0
2024-12-11,30.995,30.995,30.995,30.995,0.0
2024-12-12,30.952,30.952,30.952,30.952,100.0
2024-12-13,30.95,31.0,30.92,30.955,4400.0
2024-12-16,31.014,31.055,30.995,30.995,800.0
2024-12-17,30.985,30.985,30.962,30.962,2900.0
2024-12-18,30.994,30.994,30.601,30.601,89500.0
2024-12-19,30.554,30.554,30.554,30.554,0.0
2024-12-20,30.77,30.77,30.713,30.713,200.0
2024-12-23,30.8,30.89,30.8,30.89,1800.0
2024-12-24,30.975,30.975,30.975,30.975,0.0
2024-12-26,31.018,31.018,31.018,31.018,0.0
2024-12-27,30.868,30.868,30.868,30.868,0.0
2024-12-30,30.65,30.805,30.65,30.76,7000.0
2024-12-31,30.76,30.76,30.686,30.686,500.0
2025-01-02,30.75,30.75,30.667,30.667,1300.0
2025-01-03,30.88,30.9,30.84,30.84,900.0
