Date,Open,High,Low,Close,Volume
2020-07-20,30.41,30.5,30.27,30.5,226200.0
2020-07-21,30.69,30.76,30.47,30.504,120800.0
2020-07-22,30.5,30.591,30.5,30.591,5400.0
2020-07-23,30.61,30.64,30.301,30.418,54600.0
2020-07-24,30.3,30.41,30.157,30.232,67700.0
2020-07-27,30.39,30.44,30.3,30.44,49100.0
2020-07-28,30.4,30.44,30.244,30.244,56600.0
2020-07-29,30.43,30.56,30.362,30.55,14100.0
2020-07-30,30.205,30.49,30.205,30.392,29500.0
2020-07-31,30.5,30.57,30.31,30.527,37800.0
2020-08-03,30.74,30.778,30.639,30.71,41900.0
2020-08-04,30.73,30.83,30.695,30.747,18400.0
2020-08-05,30.92,30.95,30.8,30.882,18300.0
2020-08-06,30.809,31.04,30.809,31.03,6900.0
2020-08-07,30.975,31.04,30.8,31.0,3800.0
2020-08-10,31.03,31.14,31.01,31.043,4500.0
2020-08-11,31.17,31.17,30.931,30.956,22700.0
2020-08-12,31.1,31.2,31.089,31.145,19000.0
2020-08-13,31.185,31.185,31.017,31.14,2600.0
2020-08-14,31.11,31.11,31.05,31.05,3200.0
2020-08-17,31.14,31.22,31.108,31.151,18600.0
2020-08-18,31.14,31.25,31.14,31.198,22800.0
2020-08-19,31.29,31.29,31.16,31.175,13100.0
2020-08-20,31.15,31.27,31.144,31.27,262200.0
2020-08-21,31.26,31.31,31.211,31.259,15800.0
2020-08-24,31.38,31.426,31.36,31.426,7200.0
2020-08-25,31.4,31.47,31.339,31.42,27100.0
2020-08-26,31.56,31.64,31.51,31.551,5900.0
2020-08-27,31.54,31.62,31.53,31.578,2100.0
2020-08-28,31.56,31.649,31.533,31.649,5100.0
2020-08-31,31.68,31.69,31.524,31.549,4500.0
2020-09-01,31.64,31.688,31.565,31.688,10000.0
2020-09-02,31.79,31.79,31.748,31.748,1400.0
2020-09-03,31.25,31.25,31.07,31.172,1800.0
2020-09-04,31.33,31.41,30.756,31.237,38000.0
2020-09-08,30.865,30.99,30.723,30.771,8400.0
2020-09-09,31.1,31.184,31.07,31.184,2400.0
2020-09-10,30.99,31.05,30.76,30.87,18900.0
2020-09-11,30.95,30.95,30.87,30.899,2300.0
2020-09-14,31.2,31.2,31.05,31.12,12900.0
2020-09-15,31.33,31.33,31.178,31.178,3200.0
2020-09-16,31.35,31.39,31.076,31.114,17100.0
2020-09-17,30.895,30.945,30.895,30.945,500.0
2020-09-18,30.78,30.78,30.778,30.778,1800.0
2020-09-21,30.46,30.61,30.25,30.482,148800.0
2020-09-22,30.68,30.688,30.391,30.682,5600.0
2020-09-23,30.69,30.69,30.292,30.292,1600.0
2020-09-24,30.29,30.59,30.2,30.362,20600.0
2020-09-25,30.53,30.68,30.489,30.666,2800.0
2020-09-28,30.99,31.03,30.92,31.025,8400.0
2020-09-29,30.93,30.93,30.828,30.845,4900.0
2020-09-30,31.0,31.11,30.884,31.046,16300.0
2020-10-01,31.028,31.15,30.97,31.054,26600.0
2020-10-02,31.0,31.07,30.901,30.901,8200.0
2020-10-05,31.1,31.2,31.1,31.172,8400.0
2020-10-06,31.3,31.32,31.05,31.065,11800.0
2020-10-07,31.27,31.33,31.27,31.33,1300.0
2020-10-08,31.47,31.48,31.364,31.446,518900.0
2020-10-09,31.71,31.71,31.64,31.64,35000.0
2020-10-12,31.83,31.902,31.82,31.902,272000.0
2020-10-13,31.9,31.9,31.81,31.838,19200.0
2020-10-14,31.91,31.91,31.773,31.773,700.0
2020-10-15,31.65,31.71,31.63,31.71,7400.0
2020-10-16,31.78,31.89,31.744,31.744,1300.0
2020-10-19,31.81,31.81,31.421,31.421,15200.0
2020-10-20,31.545,31.545,31.515,31.535,700.0
2020-10-21,31.47,31.62,31.47,31.54,6400.0
2020-10-22,31.58,31.69,31.515,31.634,3600.0
2020-10-23,31.706,31.706,31.706,31.706,100.0
2020-10-26,31.32,31.32,31.13,31.23,44200.0
2020-10-27,31.39,31.39,31.2,31.265,7300.0
2020-10-28,30.8,30.92,30.555,30.555,9300.0
2020-10-29,30.75,30.868,30.75,30.868,3100.0
2020-10-30,30.485,30.55,30.431,30.526,4900.0
2020-11-02,30.733,30.828,30.705,30.828,1300.0
2020-11-03,31.33,31.33,31.18,31.222,4200.0
2020-11-04,31.698,31.698,31.56,31.608,500.0
2020-11-05,31.87,31.932,31.86,31.89,8000.0
2020-11-06,31.915,31.915,31.915,31.915,700.0
2020-11-09,32.61,32.61,32.165,32.165,10500.0
2020-11-10,32.14,32.14,32.07,32.133,600.0
2020-11-11,32.34,32.34,32.264,32.264,200.0
2020-11-12,32.28,32.28,32.066,32.066,2600.0
2020-11-13,32.21,32.318,32.195,32.318,1200.0
2020-11-16,32.52,32.53,32.409,32.41,4100.0
2020-11-17,32.405,32.47,32.31,32.384,16000.0
2020-11-18,32.39,32.483,32.246,32.246,2500.0
2020-11-19,32.317,32.317,32.317,32.317,0.0
2020-11-20,32.222,32.222,32.222,32.222,100.0
2020-11-23,32.231,32.38,32.231,32.315,2100.0
2020-11-24,32.42,32.62,32.42,32.547,110500.0
2020-11-25,32.515,32.543,32.41,32.543,8600.0
2020-11-27,32.57,32.57,32.57,32.57,0.0
2020-11-30,32.515,32.522,32.43,32.522,2800.0
2020-12-01,32.749,32.8,32.667,32.667,21500.0
2020-12-02,32.71,32.71,32.67,32.67,2300.0
2020-12-03,32.76,32.79,32.654,32.654,1600.0
2020-12-04,32.75,32.786,32.75,32.786,100.0
2020-12-07,32.859,32.859,32.763,32.763,1600.0
2020-12-08,32.75,32.83,32.75,32.83,5100.0
2020-12-09,32.715,32.723,32.64,32.723,6400.0
2020-12-10,32.695,32.697,32.63,32.697,800.0
2020-12-11,32.605,32.645,32.599,32.634,5800.0
2020-12-14,32.755,32.77,32.574,32.584,8000.0
2020-12-15,32.635,32.83,32.562,32.739,16700.0
2020-12-16,32.66,32.798,32.66,32.797,30200.0
2020-12-17,32.79,32.94,32.78,32.861,4400.0
2020-12-18,32.85,32.888,32.707,32.839,43000.0
2020-12-21,32.76,32.76,32.66,32.716,8500.0
2020-12-22,32.72,32.735,32.64,32.72,5100.0
2020-12-23,32.74,32.85,32.74,32.8,12700.0
2020-12-24,32.75,32.851,32.75,32.851,1100.0
2020-12-28,32.9,32.958,32.9,32.958,4600.0
2020-12-29,33.0,33.0,32.89,32.89,900.0
2020-12-30,32.95,32.95,32.885,32.938,1300.0
2020-12-31,32.896,33.023,32.884,33.023,1700.0
2021-01-04,32.72,32.788,32.63,32.788,3100.0
2021-01-05,32.84,32.92,32.75,32.91,3000.0
2021-01-06,33.18,33.18,32.89,32.89,300.0
2021-01-07,33.15,33.23,33.111,33.161,1400.0
2021-01-08,33.27,33.27,33.112,33.211,700.0
2021-01-11,33.23,33.23,33.098,33.11,2800.0
2021-01-12,33.107,33.18,33.107,33.132,700.0
2021-01-13,33.16,33.168,33.16,33.168,300.0
2021-01-14,33.18,33.18,33.11,33.135,3100.0
2021-01-15,32.98,33.07,32.98,33.03,600.0
2021-01-19,33.04,33.1,33.04,33.061,1400.0
2021-01-20,33.1,33.267,33.1,33.267,200.0
2021-01-21,33.35,33.35,33.35,33.35,1200.0
2021-01-22,33.215,33.234,33.215,33.234,300.0
2021-01-25,33.235,33.235,33.212,33.212,200.0
2021-01-26,33.28,33.28,33.186,33.186,400.0
2021-01-27,33.05,33.05,32.735,32.735,800.0
2021-01-28,32.91,32.984,32.91,32.984,900.0
2021-01-29,32.741,32.741,32.64,32.734,3600.0
2021-02-01,32.99,32.996,32.931,32.931,300.0
2021-02-02,33.083,33.183,33.04,33.183,500.0
2021-02-03,33.234,33.234,33.15,33.15,2800.0
2021-02-04,33.34,33.39,33.2,33.308,1700.0
2021-02-05,33.38,33.38,33.349,33.349,300.0
