Date,Open,High,Low,Close,Volume
2023-08-21,29.79,29.85,29.642,29.82,624300.0
2023-08-22,29.89,29.89,29.76,29.78,144500.0
2023-08-23,29.87,29.99,29.85,29.968,101200.0
2023-08-24,30.07,30.07,29.75,29.77,722900.0
2023-08-25,29.98,29.98,29.685,29.838,195000.0
2023-08-28,29.94,29.99,29.84,29.936,131900.0
2023-08-29,30.07,30.22,29.95,30.215,224700.0
2023-08-30,30.28,30.31,30.217,30.27,143800.0
2023-08-31,30.33,30.34,30.26,30.26,75400.0
2023-09-01,30.38,30.38,30.258,30.297,32000.0
2023-09-05,30.24,30.29,30.23,30.245,175100.0
2023-09-06,30.21,30.21,30.03,30.11,48300.0
2023-09-07,30.03,30.119,29.995,30.1,264400.0
2023-09-08,30.15,30.186,30.09,30.11,39600.0
2023-09-11,30.22,30.23,30.155,30.218,12500.0
2023-09-12,30.19,30.21,30.12,30.131,72100.0
2023-09-13,30.18,30.2,30.11,30.162,28400.0
2023-09-14,30.24,30.33,30.22,30.31,15600.0
2023-09-15,30.26,30.26,30.07,30.11,11900.0
2023-09-18,30.116,30.17,30.085,30.13,67700.0
2023-09-19,30.09,30.11,29.96,30.09,8600.0
2023-09-20,30.08,30.14,29.891,29.93,6400.0
2023-09-21,29.84,29.84,29.65,29.65,29300.0
2023-09-22,29.72,29.75,29.588,29.588,27400.0
2023-09-25,29.55,29.69,29.55,29.69,5100.0
2023-09-26,29.59,29.59,29.37,29.45,33300.0
2023-09-27,29.47,29.47,29.31,29.38,10800.0
2023-09-28,29.41,29.6,29.41,29.524,31600.0
2023-09-29,29.7,29.71,29.41,29.45,26200.0
2023-10-02,29.495,29.51,29.37,29.45,31600.0
2023-10-03,29.44,29.49,29.2,29.31,364500.0
2023-10-04,29.24,29.44,29.24,29.37,33200.0
2023-10-05,29.37,29.43,29.24,29.38,37200.0
2023-10-06,29.293,29.67,29.293,29.58,18400.0
2023-10-09,29.59,29.73,29.54,29.73,13800.0
2023-10-10,29.77,29.92,29.735,29.82,131000.0
2023-10-11,29.87,29.9,29.78,29.87,75600.0
2023-10-12,29.85,29.93,29.715,29.77,10300.0
2023-10-13,29.86,29.87,29.68,29.68,10200.0
2023-10-16,29.9,29.93,29.86,29.86,27300.0
2023-10-17,29.93,29.93,29.82,29.89,9600.0
2023-10-18,29.82,29.82,29.57,29.58,20700.0
2023-10-19,29.65,29.695,29.45,29.45,29800.0
2023-10-20,29.375,29.42,29.31,29.31,127600.0
2023-10-23,29.234,29.43,29.233,29.29,18900.0
2023-10-24,29.355,29.46,29.294,29.43,14400.0
2023-10-25,29.201,29.26,29.09,29.1,5600.0
2023-10-26,29.0,29.09,28.9,28.9,17900.0
2023-10-27,28.96,29.038,28.78,28.83,5100.0
2023-10-30,28.94,29.145,28.94,29.09,12100.0
2023-10-31,29.098,29.22,29.098,29.16,24600.0
2023-11-01,29.26,29.395,29.18,29.35,8800.0
2023-11-02,29.585,29.75,29.55,29.75,7500.0
2023-11-03,29.77,29.949,29.77,29.86,35000.0
2023-11-06,29.91,29.95,29.84,29.9,39900.0
2023-11-07,29.9,30.04,29.9,29.94,28600.0
2023-11-08,30.04,30.04,29.901,29.97,12500.0
2023-11-09,30.01,30.04,29.8,29.88,10800.0
2023-11-10,29.9,30.174,29.9,30.17,13000.0
2023-11-13,30.12,30.17,30.105,30.16,5900.0
2023-11-14,30.34,30.507,30.34,30.49,9100.0
2023-11-15,30.54,30.57,30.479,30.479,4100.0
2023-11-16,30.47,30.535,30.43,30.505,10800.0
2023-11-17,30.54,30.585,30.5,30.545,25100.0
2023-11-20,30.55,30.73,30.55,30.71,19100.0
2023-11-21,30.63,30.69,30.568,30.61,5200.0
2023-11-22,30.73,30.73,30.68,30.68,700.0
2023-11-24,30.71,30.71,30.7,30.7,400.0
2023-11-27,30.68,30.759,30.67,30.67,4500.0
2023-11-28,30.8,30.8,30.65,30.7,69800.0
2023-11-29,30.77,30.78,30.71,30.74,12000.0
2023-11-30,30.69,30.82,30.69,30.82,17600.0
2023-12-01,30.78,30.93,30.78,30.902,4500.0
2023-12-04,30.75,30.8,30.7,30.8,22600.0
2023-12-05,30.71,30.8,30.71,30.787,3600.0
2023-12-06,30.81,30.81,30.7,30.7,10300.0
2023-12-07,30.81,30.87,30.81,30.83,3700.0
2023-12-08,30.87,30.955,30.87,30.955,5500.0
2023-12-11,30.95,31.003,30.95,31.003,600.0
2023-12-12,31.06,31.08,31.03,31.066,2800.0
2023-12-13,31.119,31.31,31.08,31.31,12100.0
2023-12-14,31.395,31.405,31.34,31.358,2800.0
2023-12-15,31.37,31.385,31.338,31.385,3700.0
2023-12-18,31.425,31.48,31.4,31.41,5500.0
2023-12-19,31.454,31.51,31.45,31.477,108800.0
2023-12-20,31.42,31.54,31.294,31.294,3700.0
2023-12-21,31.32,31.425,31.31,31.425,9800.0
2023-12-22,31.51,31.51,31.432,31.466,2100.0
2023-12-26,31.495,31.54,31.495,31.525,600.0
2023-12-27,31.5,31.558,31.5,31.558,700.0
2023-12-28,31.59,31.6,31.576,31.576,17400.0
2023-12-29,31.515,31.562,31.515,31.56,1200.0
2024-01-02,31.45,31.493,31.41,31.473,5400.0
2024-01-03,31.37,31.445,31.33,31.359,9500.0
2024-01-04,31.395,31.4,31.315,31.315,23900.0
2024-01-05,31.38,31.415,31.32,31.39,4000.0
2024-01-08,31.535,31.578,31.535,31.578,600.0
2024-01-09,31.533,31.565,31.533,31.564,7600.0
2024-01-10,31.63,31.655,31.63,31.655,700.0
2024-01-11,31.66,31.66,31.625,31.651,2400.0
2024-01-12,31.69,31.69,31.657,31.67,600.0
2024-01-16,31.61,31.63,31.57,31.609,4300.0
2024-01-17,31.49,31.539,31.43,31.539,1400.0
2024-01-18,31.55,31.673,31.53,31.673,4000.0
2024-01-19,31.68,31.9,31.68,31.873,189300.0
2024-01-22,31.91,31.94,31.86,31.892,84900.0
2024-01-23,31.88,31.944,31.88,31.94,8000.0
2024-01-24,32.03,32.033,31.949,31.949,7200.0
2024-01-25,32.04,32.04,31.95,32.016,19600.0
2024-01-26,31.97,32.02,31.97,31.99,3900.0
2024-01-29,32.0,32.11,31.99,32.101,4300.0
2024-01-30,32.05,32.102,32.05,32.083,4100.0
2024-01-31,32.05,32.05,31.887,31.887,15200.0
2024-02-01,31.93,32.05,31.92,32.038,51800.0
2024-02-02,32.156,32.203,32.156,32.203,500.0
2024-02-05,32.09,32.173,32.09,32.173,3000.0
2024-02-06,32.179,32.179,32.14,32.175,9800.0
2024-02-07,32.255,32.29,32.25,32.29,7900.0
2024-02-08,32.25,32.305,32.25,32.303,18300.0
2024-02-09,32.29,32.37,32.279,32.33,15700.0
2024-02-12,32.335,32.39,32.31,32.35,15300.0
2024-02-13,32.15,32.16,32.089,32.16,48900.0
2024-02-14,32.26,32.306,32.21,32.306,2800.0
2024-02-15,32.28,32.353,32.28,32.33,6300.0
2024-02-16,32.33,32.385,32.29,32.29,3900.0
2024-02-20,32.25,32.265,32.21,32.257,25300.0
2024-02-21,32.2,32.31,32.2,32.31,150600.0
2024-02-22,32.46,32.53,32.45,32.53,15000.0
2024-02-23,32.56,32.56,32.51,32.524,500.0
2024-02-26,32.51,32.53,32.48,32.503,25300.0
2024-02-27,32.49,32.534,32.47,32.534,7000.0
2024-02-28,32.49,32.54,32.49,32.508,36600.0
2024-02-29,32.53,32.589,32.51,32.585,199100.0
2024-03-01,32.61,32.65,32.61,32.65,2300.0
2024-03-04,32.647,32.7,32.622,32.636,14200.0
2024-03-05,32.527,32.555,32.45,32.51,4200.0
2024-03-06,32.582,32.62,32.53,32.62,13700.0
2024-03-07,32.66,32.68,32.62,32.675,14400.0
2024-03-08,32.69,32.7,32.576,32.59,18400.0
2024-03-11,32.55,32.605,32.55,32.59,3000.0
2024-03-12,32.69,32.724,32.69,32.724,36200.0
2024-03-13,32.69,32.745,32.67,32.713,34500.0
2024-03-14,32.69,32.716,32.61,32.671,17400.0
2024-03-15,32.62,32.645,32.6,32.626,13900.0
2024-03-18,32.69,32.745,32.68,32.685,14800.0
2024-03-19,32.66,32.78,32.66,32.78,136500.0
2024-03-20,32.73,32.9,32.73,32.9,678000.0
2024-03-21,32.85,32.922,32.85,32.86,8800.0
2024-03-22,32.85,32.93,32.85,32.895,12700.0
2024-03-25,32.85,32.87,32.84,32.87,69200.0
2024-03-26,32.84,32.93,32.84,32.872,10400.0
2024-03-27,32.86,32.94,32.85,32.929,155100.0
2024-03-28,32.91,32.96,32.91,32.955,3900.0
