Date,Open,High,Low,Close,Volume
2023-12-18,30.11,30.15,30.065,30.12,1307100.0
2023-12-19,30.23,30.23,30.14,30.19,810900.0
2023-12-20,30.23,30.23,29.97,29.979,291500.0
2023-12-21,30.09,30.18,29.99,30.13,449100.0
2023-12-22,30.2,30.219,30.1,30.154,229200.0
2023-12-26,30.21,30.25,30.16,30.22,108000.0
2023-12-27,30.29,30.29,30.2,30.27,228700.0
2023-12-28,30.3,30.3,30.23,30.27,327300.0
2023-12-29,30.16,30.51,30.157,30.26,143000.0
2024-01-02,30.09,30.21,30.05,30.13,158800.0
2024-01-03,30.13,30.13,29.983,30.03,769600.0
2024-01-04,30.03,30.1,29.97,29.99,181300.0
2024-01-05,30.0,30.11,29.961,30.04,70400.0
2024-01-08,30.06,30.265,30.047,30.24,182300.0
2024-01-09,30.18,30.25,30.114,30.23,205400.0
2024-01-10,30.25,30.35,30.24,30.28,116600.0
2024-01-11,30.35,30.37,30.182,30.34,107000.0
2024-01-12,30.35,30.45,30.3,30.326,170100.0
2024-01-16,30.31,30.36,30.21,30.31,208300.0
2024-01-17,30.19,30.21,30.12,30.21,138300.0
2024-01-18,30.26,30.37,30.18,30.35,192300.0
2024-01-19,30.364,30.55,30.364,30.54,89900.0
2024-01-22,30.6,30.63,30.54,30.58,43100.0
2024-01-23,30.64,30.64,30.54,30.62,18500.0
2024-01-24,30.72,30.73,30.58,30.59,39200.0
2024-01-25,30.675,30.71,30.61,30.71,36800.0
2024-01-26,30.82,30.82,30.66,30.675,30000.0
2024-01-29,30.66,30.8,30.65,30.763,11700.0
2024-01-30,30.745,30.79,30.72,30.73,34000.0
2024-01-31,30.7,30.7,30.5,30.51,240400.0
2024-02-01,30.63,30.73,30.53,30.693,29000.0
2024-02-02,30.75,30.88,30.75,30.86,109400.0
2024-02-05,30.83,30.844,30.71,30.805,73400.0
2024-02-06,30.84,30.84,30.75,30.829,26900.0
2024-02-07,30.93,30.961,30.89,30.92,10200.0
2024-02-08,30.9,30.97,30.89,30.936,297300.0
2024-02-09,30.92,31.01,30.92,31.01,9500.0
2024-02-12,30.99,31.07,30.973,31.04,7000.0
