Date,Open,High,Low,Close,Volume
2023-03-20,29.72,33.05,29.66,29.84,1318500.0
2023-03-21,29.98,30.01,29.843,29.99,131300.0
2023-03-22,30.01,31.29,29.77,29.84,399200.0
2023-03-23,29.89,30.07,29.71,29.88,142700.0
2023-03-24,29.78,29.93,29.672,29.883,102800.0
2023-03-27,30.04,30.04,29.88,29.92,123800.0
2023-03-28,29.9,29.95,29.8,29.92,46400.0
2023-03-29,30.09,30.14,30.0,30.1,87500.0
2023-03-30,30.23,30.23,30.09,30.19,251500.0
2023-03-31,30.26,30.389,30.243,30.377,585000.0
2023-04-03,30.4,30.44,30.34,30.43,47900.0
2023-04-04,30.455,30.49,30.35,30.408,51700.0
2023-04-05,30.38,30.44,30.28,30.38,48300.0
2023-04-06,30.3,30.45,30.3,30.416,92600.0
2023-04-10,30.318,30.44,30.318,30.411,219400.0
2023-04-11,30.48,30.49,30.39,30.448,122900.0
2023-04-12,30.53,30.53,30.33,30.4,55100.0
2023-04-13,30.45,30.59,30.4,30.571,63600.0
2023-04-14,30.6,30.62,30.444,30.545,18200.0
2023-04-17,30.57,30.63,30.49,30.62,43400.0
2023-04-18,30.69,30.69,30.54,30.63,39500.0
2023-04-19,30.59,30.65,30.53,30.604,54400.0
2023-04-20,30.55,30.62,30.48,30.537,42200.0
2023-04-21,30.59,30.6,30.49,30.57,139600.0
2023-04-24,30.55,30.59,30.51,30.573,20900.0
2023-04-25,30.52,30.52,30.37,30.376,4700.0
2023-04-26,30.43,30.46,30.3,30.366,10700.0
2023-04-27,30.41,30.62,30.41,30.62,33200.0
2023-04-28,30.6,30.73,30.6,30.67,115500.0
2023-05-01,30.75,30.78,30.71,30.72,14600.0
2023-05-02,30.66,30.66,30.45,30.55,31300.0
2023-05-03,30.62,30.659,30.42,30.471,78600.0
2023-05-04,30.306,30.44,30.306,30.355,27300.0
2023-05-05,30.593,30.699,30.57,30.57,109100.0
2023-05-08,30.649,30.68,30.57,30.58,79900.0
2023-05-09,30.66,30.67,30.57,30.584,5300.0
2023-05-10,30.56,30.71,30.539,30.669,30400.0
2023-05-11,30.6,30.689,30.6,30.653,6900.0
2023-05-12,30.75,30.75,30.54,30.635,16900.0
2023-05-15,30.61,30.705,30.61,30.678,5200.0
2023-05-16,30.6,30.67,30.56,30.56,6000.0
2023-05-17,30.596,30.8,30.596,30.72,8300.0
2023-05-18,30.88,30.93,30.762,30.9,5400.0
2023-05-19,30.98,30.98,30.83,30.85,14200.0
2023-05-22,30.83,30.88,30.83,30.84,7900.0
2023-05-23,30.78,30.83,30.69,30.69,11500.0
2023-05-24,30.62,30.66,30.56,30.58,27400.0
2023-05-25,30.69,30.79,30.64,30.7,25000.0
2023-05-26,30.89,30.96,30.86,30.88,20900.0
2023-05-30,30.953,30.98,30.89,30.89,9900.0
2023-05-31,30.9,30.91,30.78,30.83,9400.0
2023-06-01,30.841,31.1,30.841,30.99,19600.0
2023-06-02,31.13,31.26,31.13,31.24,11000.0
2023-06-05,31.265,31.265,31.16,31.22,2600.0
2023-06-06,31.17,31.29,31.17,31.22,18800.0
2023-06-07,31.31,31.31,31.208,31.26,3800.0
2023-06-08,31.26,31.36,31.23,31.35,11900.0
2023-06-09,31.4,31.41,31.29,31.315,5800.0
2023-06-12,31.322,31.449,31.29,31.416,18400.0
2023-06-13,31.52,31.539,31.431,31.46,15900.0
2023-06-14,31.55,31.56,31.37,31.46,14200.0
2023-06-15,31.43,31.66,31.43,31.58,33600.0
2023-06-16,31.72,31.72,31.53,31.53,7000.0
2023-06-20,31.48,31.56,31.46,31.49,30900.0
2023-06-21,31.52,31.56,31.46,31.46,9900.0
2023-06-22,31.46,31.545,31.45,31.52,8500.0
2023-06-23,31.5,31.505,31.44,31.45,3900.0
2023-06-26,31.46,31.52,31.42,31.42,11100.0
2023-06-27,31.529,31.629,31.529,31.58,7300.0
2023-06-28,31.59,31.64,31.555,31.58,5300.0
2023-06-29,31.65,31.71,31.59,31.664,168500.0
2023-06-30,31.74,31.795,31.74,31.795,1200.0
2023-07-03,31.82,31.82,31.786,31.802,800.0
2023-07-05,31.71,31.82,31.71,31.74,19400.0
2023-07-06,31.7,31.75,31.651,31.692,69200.0
2023-07-07,31.68,31.77,31.649,31.649,12300.0
2023-07-10,31.71,31.71,31.661,31.69,6000.0
2023-07-11,31.75,31.8,31.73,31.8,1600.0
2023-07-12,31.86,31.925,31.85,31.86,8600.0
2023-07-13,31.953,31.99,31.95,31.96,5900.0
2023-07-14,32.052,32.052,31.92,31.93,4300.0
2023-07-17,31.955,32.03,31.94,32.03,5300.0
2023-07-18,31.98,32.1,31.98,32.04,8400.0
2023-07-19,32.09,32.09,32.031,32.05,2500.0
2023-07-20,32.074,32.074,31.94,31.97,8800.0
2023-07-21,32.083,32.093,32.027,32.027,1500.0
2023-07-24,32.055,32.1,32.02,32.02,10700.0
2023-07-25,32.075,32.124,32.04,32.04,17800.0
2023-07-26,32.105,32.13,32.031,32.05,10400.0
2023-07-27,32.2,32.21,31.99,31.99,10700.0
2023-07-28,32.08,32.15,32.08,32.08,18100.0
2023-07-31,32.14,32.15,32.07,32.07,8100.0
2023-08-01,32.07,32.15,32.07,32.095,5100.0
2023-08-02,32.005,32.01,31.912,31.94,6300.0
2023-08-03,31.86,31.99,31.86,31.93,13500.0
2023-08-04,31.98,32.03,31.86,31.86,13800.0
2023-08-07,31.993,32.0,31.95,31.978,4900.0
2023-08-08,31.87,31.97,31.83,31.92,6100.0
2023-08-09,31.89,31.93,31.87,31.93,2300.0
2023-08-10,31.98,32.04,31.87,31.94,13900.0
2023-08-11,31.81,31.959,31.81,31.94,5600.0
2023-08-14,31.98,31.99,31.95,31.95,2500.0
2023-08-15,31.89,31.89,31.86,31.864,60100.0
2023-08-16,31.86,31.86,31.776,31.776,44700.0
2023-08-17,31.775,31.775,31.698,31.698,5400.0
2023-08-18,31.62,31.721,31.59,31.684,23600.0
2023-08-21,31.74,31.793,31.67,31.793,4800.0
2023-08-22,31.74,31.781,31.73,31.754,5000.0
2023-08-23,31.8,31.9,31.8,31.87,99700.0
2023-08-24,31.917,31.95,31.71,31.79,573400.0
2023-08-25,31.775,31.85,31.69,31.81,180700.0
2023-08-28,31.94,31.94,31.858,31.895,15300.0
2023-08-29,31.981,32.07,31.93,32.07,179300.0
2023-08-30,32.06,32.12,32.06,32.12,44600.0
2023-08-31,32.13,32.145,32.11,32.13,8300.0
2023-09-01,32.197,32.2,32.166,32.19,9300.0
2023-09-05,32.12,32.155,32.111,32.12,12200.0
2023-09-06,32.09,32.09,32.02,32.07,52600.0
2023-09-07,31.98,32.04,31.98,32.02,6900.0
2023-09-08,32.031,32.05,32.031,32.05,3100.0
2023-09-11,32.1,32.176,32.1,32.13,2400.0
2023-09-12,32.145,32.145,32.07,32.091,5700.0
2023-09-13,32.1,32.147,32.09,32.147,6800.0
2023-09-14,32.18,32.27,32.18,32.265,7900.0
2023-09-15,32.16,32.17,32.103,32.103,800.0
2023-09-18,32.162,32.164,32.137,32.145,800.0
2023-09-19,32.03,32.118,32.03,32.09,117300.0
2023-09-20,32.13,32.13,32.0,32.037,4500.0
2023-09-21,31.88,31.88,31.77,31.79,800.0
2023-09-22,31.88,31.88,31.73,31.774,4800.0
2023-09-25,31.71,31.8,31.71,31.795,4800.0
2023-09-26,31.715,31.729,31.55,31.57,7600.0
2023-09-27,31.63,31.63,31.48,31.57,12400.0
2023-09-28,31.611,31.725,31.611,31.69,9400.0
2023-09-29,31.85,31.85,31.62,31.67,105400.0
2023-10-02,31.61,31.65,31.56,31.65,58400.0
2023-10-03,31.44,31.5,31.39,31.41,220200.0
2023-10-04,31.506,31.58,31.42,31.57,180000.0
2023-10-05,31.47,31.6,31.46,31.592,121400.0
2023-10-06,31.49,31.83,31.49,31.797,1800.0
2023-10-09,31.74,31.876,31.74,31.876,1200.0
2023-10-10,31.98,32.034,31.96,31.964,4600.0
2023-10-11,31.96,32.04,31.96,32.04,13700.0
2023-10-12,32.034,32.06,31.91,31.97,61200.0
2023-10-13,31.89,31.903,31.81,31.87,8300.0
2023-10-16,32.029,32.066,32.001,32.066,1300.0
2023-10-17,32.055,32.055,32.033,32.033,200.0
2023-10-18,32.01,32.01,31.84,31.842,1100.0
2023-10-19,31.8,31.895,31.733,31.733,10800.0
2023-10-20,31.59,31.619,31.533,31.533,3600.0
2023-10-23,31.526,31.61,31.49,31.513,4600.0
