Date,Open,High,Low,Close,Volume
2023-09-18,30.19,30.248,30.155,30.19,581900.0
2023-09-19,30.16,30.17,30.02,30.13,192600.0
2023-09-20,30.2,30.43,29.99,30.0,458300.0
2023-09-21,29.89,29.89,29.701,29.72,81400.0
2023-09-22,29.78,29.83,29.68,29.69,143100.0
2023-09-25,29.62,29.759,29.605,29.75,126500.0
2023-09-26,29.63,29.635,29.45,29.46,85200.0
2023-09-27,29.59,29.59,29.36,29.49,103200.0
2023-09-28,29.56,29.67,29.45,29.65,131100.0
2023-09-29,29.735,29.762,29.497,29.554,241100.0
2023-10-02,29.555,29.6,29.44,29.549,226200.0
2023-10-03,29.5,29.5,29.26,29.36,260700.0
2023-10-04,29.37,29.51,29.305,29.5,356400.0
2023-10-05,29.47,29.5,29.33,29.48,132900.0
2023-10-06,29.35,29.73,29.306,29.68,153000.0
2023-10-09,29.6,29.8,29.56,29.765,66500.0
2023-10-10,29.85,29.979,29.841,29.89,62900.0
2023-10-11,29.92,29.97,29.82,29.937,48800.0
2023-10-12,29.95,29.96,29.77,29.85,225600.0
2023-10-13,29.92,29.94,29.701,29.76,169600.0
2023-10-16,29.89,30.03,29.87,29.97,97900.0
2023-10-17,29.84,30.01,29.8,29.91,111300.0
2023-10-18,29.88,29.89,29.65,29.69,400800.0
2023-10-19,29.7,29.761,29.47,29.57,58500.0
2023-10-20,29.5,29.558,29.36,29.36,81600.0
2023-10-23,29.29,29.452,29.23,29.324,35000.0
2023-10-24,29.47,29.49,29.355,29.48,42600.0
2023-10-25,29.31,29.36,29.17,29.2,24900.0
2023-10-26,29.065,29.12,28.94,29.03,50300.0
2023-10-27,29.09,29.09,28.89,28.94,41600.0
2023-10-30,29.11,29.18,28.98,29.11,180700.0
2023-10-31,29.13,29.29,29.13,29.23,47300.0
2023-11-01,29.26,29.45,29.25,29.42,14100.0
2023-11-02,29.58,29.78,29.58,29.75,12300.0
2023-11-03,29.91,30.021,29.9,29.91,17900.0
2023-11-06,30.0,30.0,29.91,29.95,43100.0
2023-11-07,29.95,30.09,29.95,30.06,95000.0
2023-11-08,30.06,30.12,30.01,30.04,25200.0
2023-11-09,30.13,30.13,29.91,29.93,20100.0
2023-11-10,30.02,30.22,30.011,30.22,33200.0
2023-11-13,30.16,30.23,30.13,30.22,29500.0
2023-11-14,30.47,30.58,30.47,30.52,49300.0
2023-11-15,30.59,30.64,30.55,30.55,31100.0
2023-11-16,30.57,30.585,30.52,30.585,19000.0
2023-11-17,30.59,30.629,30.573,30.59,20800.0
2023-11-20,30.55,30.78,30.55,30.731,17100.0
2023-11-21,30.82,30.82,30.67,30.7,34100.0
2023-11-22,30.78,30.8,30.74,30.78,27100.0
2023-11-24,30.76,30.8,30.76,30.8,4300.0
2023-11-27,30.76,30.802,30.74,30.78,7400.0
2023-11-28,30.72,30.795,30.72,30.795,69900.0
2023-11-29,30.83,30.84,30.76,30.784,3000.0
2023-11-30,30.81,30.852,30.75,30.852,4200.0
2023-12-01,30.97,30.975,30.946,30.975,75900.0
2023-12-04,30.85,30.857,30.85,30.857,4700.0
2023-12-05,30.85,30.87,30.83,30.84,15600.0
2023-12-06,30.9,30.945,30.77,30.77,5700.0
