Date,Open,High,Low,Close,Volume
2024-11-01,25.22,25.289,25.124,25.145,156500.0
2024-11-04,25.14,25.3,25.14,25.213,137000.0
2024-11-05,25.19,25.48,25.19,25.48,48900.0
2024-11-06,25.985,26.15,25.92,26.13,95700.0
2024-11-07,26.14,26.19,26.07,26.1,40200.0
2024-11-08,26.118,26.23,26.11,26.166,29300.0
2024-11-11,26.3,26.34,26.263,26.294,8000.0
2024-11-12,26.26,26.267,26.097,26.097,120000.0
2024-11-13,26.14,26.24,26.01,26.01,65800.0
2024-11-14,26.09,26.09,25.89,25.89,31100.0
2024-11-15,25.87,25.87,25.681,25.704,26100.0
2024-11-18,25.78,25.82,25.73,25.77,32200.0
2024-11-19,25.66,25.84,25.645,25.822,14400.0
2024-11-20,25.91,25.91,25.7,25.81,9300.0
2024-11-21,25.93,26.06,25.93,26.004,9600.0
2024-11-22,26.149,26.199,26.149,26.199,59800.0
2024-11-25,26.416,26.46,26.34,26.347,12300.0
2024-11-26,26.35,26.35,26.23,26.29,32800.0
2024-11-27,26.362,26.362,26.25,26.295,10900.0
2024-11-29,26.295,26.295,26.29,26.29,200.0
2024-12-02,26.3,26.39,26.29,26.38,56100.0
2024-12-03,26.39,26.39,26.253,26.253,3500.0
2024-12-04,26.3,26.32,26.27,26.32,4100.0
2024-12-05,26.32,26.32,26.16,26.189,17100.0
2024-12-06,26.26,26.309,26.217,26.265,16200.0
2024-12-09,26.3,26.3,26.193,26.193,1700.0
2024-12-10,26.14,26.26,26.14,26.14,7900.0
2024-12-11,26.259,26.279,26.212,26.22,1300.0
2024-12-12,26.11,26.11,26.059,26.059,7000.0
2024-12-13,25.973,26.01,25.973,25.98,3400.0
2024-12-16,26.05,26.12,26.04,26.06,3400.0
2024-12-17,26.03,26.03,25.936,25.936,1400.0
2024-12-18,25.98,25.99,25.367,25.367,3600.0
2024-12-19,25.41,25.428,25.311,25.318,3100.0
2024-12-20,25.534,25.6,25.45,25.45,4200.0
2024-12-23,25.35,25.436,25.35,25.436,10200.0
2024-12-24,25.505,25.56,25.505,25.56,1100.0
2024-12-26,25.64,25.724,25.64,25.724,1200.0
2024-12-27,25.415,25.497,25.415,25.497,300.0
2024-12-30,25.31,25.455,25.25,25.455,13700.0
2024-12-31,25.56,25.569,25.4,25.441,4600.0
2025-01-02,25.54,25.59,25.405,25.454,110600.0
2025-01-03,25.681,25.681,25.681,25.681,100.0
