Date,Open,High,Low,Close,Volume
2022-08-18,25.862488,25.862488,25.862488,25.862488,0.0
2022-08-19,25.639008,25.639008,25.580923,25.580923,300.0
2022-08-22,25.124123,25.124123,25.005,25.005,100.0
2022-08-23,24.970543,24.970543,24.970543,24.970543,0.0
2022-08-24,24.996138,25.05816,24.996138,25.05816,100000.0
2022-08-25,25.367289,25.367289,25.367289,25.367289,0.0
2022-08-26,24.627941,24.627941,24.627941,24.627941,0.0
2022-08-29,24.425135,24.457624,24.425135,24.457624,100000.0
2022-08-30,24.201656,24.201656,24.201656,24.201656,0.0
2022-08-31,24.12979,24.12979,24.12979,24.12979,0.0
2022-09-01,24.155386,24.155386,24.155386,24.155386,0.0
2022-09-02,23.90828,23.90828,23.90828,23.90828,0.0
2022-09-06,23.883669,23.883669,23.755684,23.755684,100000.0
2022-09-07,24.162275,24.162275,24.162275,24.162275,0.0
2022-09-08,24.292229,24.292229,24.292229,24.292229,0.0
2022-09-09,24.7067,24.7067,24.7067,24.7067,100.0
2022-09-12,24.92624,24.92624,24.92624,24.92624,100.0
2022-09-13,23.887606,23.887606,23.887606,23.887606,0.0
2022-09-14,23.873821,23.960455,23.873821,23.960455,100000.0
2022-09-15,23.962427,23.962427,23.797033,23.797033,100.0
2022-09-16,23.56371,23.56371,23.56371,23.56371,0.0
2022-09-19,23.381578,23.705475,23.381578,23.705475,300.0
2022-09-20,23.498732,23.498732,23.498732,23.498732,0.0
2022-09-21,23.182713,23.189604,23.146286,23.146286,400.0
2022-09-22,22.97794,23.00846,22.97794,23.00846,100.0
2022-09-23,22.564455,22.613678,22.49554,22.55461,102000.0
2022-09-26,22.423672,22.423672,22.39709,22.39709,1000.0
2022-09-27,22.239573,22.320301,22.239573,22.320301,100.0
2022-09-28,22.81845,22.81845,22.81845,22.81845,0.0
2022-09-29,22.391182,22.391182,22.391182,22.391182,0.0
2022-09-30,22.249418,22.249418,22.081072,22.081072,100.0
2022-10-03,22.406937,22.603832,22.406937,22.603832,1400.0
2022-10-04,23.224062,23.299868,23.184683,23.299868,1200.0
2022-10-05,23.017319,23.430805,22.987785,23.339249,1000.0
2022-10-06,23.174837,23.312666,23.145302,23.18468,1400.0
2022-10-07,22.59399,22.59399,22.59399,22.59399,100.0
2022-10-10,22.455177,22.455177,22.455177,22.455177,0.0
2022-10-11,22.338022,22.338022,22.2632,22.2632,200.0
2022-10-12,22.26714,22.26714,22.26714,22.26714,0.0
2022-10-13,22.79187,22.79187,22.79187,22.79187,0.0
2022-10-14,22.387247,22.387247,22.326208,22.326208,100.0
2022-10-17,22.912964,22.912964,22.912964,22.912964,0.0
2022-10-18,23.096077,23.141365,23.096077,23.141365,100.0
2022-10-19,23.184683,23.184683,23.027164,23.027164,100.0
2022-10-20,23.007475,23.007475,23.007475,23.007475,0.0
2022-10-21,23.501686,23.501686,23.501686,23.501686,0.0
2022-10-24,23.739931,23.739931,23.739931,23.739931,0.0
2022-10-25,24.084503,24.084503,24.084503,24.084503,0.0
2022-10-26,23.785217,23.785217,23.785217,23.785217,0.0
2022-10-27,23.487904,23.487904,23.487904,23.487904,100.0
2022-10-28,23.982117,23.982117,23.982117,23.982117,0.0
2022-10-31,23.932892,23.932892,23.813768,23.813768,100.0
2022-11-01,23.663141,23.663141,23.663141,23.663141,0.0
2022-11-02,23.100016,23.100016,23.100016,23.100016,0.0
2022-11-03,22.81353,22.81353,22.81353,22.81353,0.0
2022-11-04,23.135456,23.135456,23.02913,23.02913,100.0
2022-11-07,23.355984,23.355984,23.355984,23.355984,0.0
2022-11-08,23.517439,23.517439,23.517439,23.517439,100.0
2022-11-09,23.112814,23.112814,23.112814,23.112814,0.0
2022-11-10,24.25974,24.25974,24.25974,24.25974,0.0
2022-11-11,24.533428,24.543274,24.497988,24.497988,1100.0
