Date,Open,High,Low,Close,Volume
2021-11-04,23.222372,23.240883,23.222372,23.222372,29400.0
2021-11-05,23.31123,23.31123,23.31123,23.31123,100.0
2021-11-08,23.29642,23.298271,23.29642,23.298271,100.0
2021-11-09,23.278831,23.278831,23.278831,23.278831,0.0
2021-11-10,23.094645,23.16684,23.094645,23.108528,6400.0
2021-11-11,23.120562,23.129818,23.08354,23.08354,4000.0
2021-11-12,23.129816,23.129816,23.129816,23.129816,600.0
2021-11-15,23.028006,23.028006,23.028006,23.028006,0.0
2021-11-16,23.06503,23.06503,23.013197,23.013197,1600.0
2021-11-17,23.009495,23.009495,23.000238,23.00394,500.0
2021-11-18,22.944706,22.944706,22.944706,22.944706,0.0
2021-11-19,22.991907,22.991907,22.991907,22.991907,0.0
2021-11-22,23.018751,23.018751,22.880842,22.880842,3400.0
2021-11-23,22.833637,22.833637,22.795689,22.795689,11800.0
2021-11-24,22.82901,22.879913,22.82901,22.856775,500.0
2021-11-26,22.717016,22.756815,22.717016,22.756815,1900.0
2021-11-29,22.861406,22.861406,22.796616,22.822533,5100.0
2021-11-30,22.852152,22.87066,22.685549,22.699432,5100.0
2021-12-01,22.758667,22.758667,22.630014,22.630014,100.0
2021-12-02,22.731823,22.74108,22.706835,22.706835,2000.0
2021-12-03,22.712387,22.712387,22.712387,22.712387,100.0
2021-12-06,22.742933,22.742933,22.742933,22.742933,100.0
2021-12-07,22.825306,22.825306,22.825306,22.825306,100.0
2021-12-08,22.805868,22.842892,22.804018,22.804018,4000.0
2021-12-09,22.754963,22.796614,22.750336,22.750336,1000.0
2021-12-10,22.80587,22.80587,22.777178,22.777178,400.0
2021-12-13,22.773476,22.773476,22.76237,22.76237,200.0
2021-12-14,22.685547,22.685547,22.667961,22.667961,200.0
2021-12-15,22.752186,22.752186,22.752186,22.752186,600.0
2021-12-16,22.743856,22.743856,22.743856,22.743856,100.0
2021-12-17,22.741081,22.741081,22.692026,22.692026,600.0
2021-12-20,22.59299,22.59299,22.57633,22.57633,100.0
2021-12-21,22.667961,22.667961,22.667961,22.667961,0.0
2021-12-22,22.88917,22.88917,22.731825,22.731825,100.0
2021-12-23,22.771626,22.771626,22.771626,22.771626,0.0
2021-12-27,22.844744,22.844744,22.844744,22.844744,0.0
2021-12-28,22.82438,22.852148,22.820679,22.820679,900.0
2021-12-29,24.64774,24.64774,22.791061,22.791986,1400.0
2021-12-30,22.838264,22.85215,22.818829,22.818829,1100.0
2021-12-31,22.800318,22.800318,22.800318,22.800318,0.0
2022-01-03,22.685549,22.713316,22.685549,22.713316,156800.0
2022-01-04,22.731823,22.731823,22.704058,22.704058,500.0
2022-01-05,22.72257,22.72257,22.515245,22.515245,700.0
2022-01-06,22.546711,22.546711,22.491177,22.491177,17100.0
2022-01-07,22.417133,22.472668,22.417133,22.43657,56600.0
2022-01-10,22.306068,22.406954,22.306068,22.406954,100.0
2022-01-11,22.517094,22.517094,22.517094,22.517094,100.0
2022-01-12,22.546715,22.546715,22.542086,22.542086,100.0
2022-01-13,22.55597,22.55597,22.462486,22.462486,200.0
2022-01-14,22.370855,22.370855,22.29681,22.36993,2500.0
2022-01-18,22.208883,22.208883,22.163528,22.163528,400.0
2022-01-19,22.12373,22.12373,22.12373,22.12373,0.0
2022-01-20,22.222769,22.24128,22.045061,22.045061,900.0
2022-01-21,22.074675,22.111696,22.00063,22.004332,7300.0
2022-01-24,21.926586,22.000631,21.759985,21.989523,3700.0
