Date,Open,High,Low,Close,Volume
2024-06-03,25.2,25.3,25.03,25.124,198100.0
2024-06-04,25.19,25.24,25.1,25.209,70300.0
2024-06-05,26.37,26.37,25.23,25.44,112100.0
2024-06-06,25.5,25.5,25.408,25.43,180800.0
2024-06-07,25.48,25.48,25.392,25.405,21300.0
2024-06-10,25.37,25.48,25.37,25.44,54400.0
2024-06-11,25.4,25.558,25.4,25.53,85300.0
2024-06-12,25.73,25.75,25.66,25.712,93700.0
2024-06-13,25.82,25.82,25.7,25.761,285600.0
2024-06-14,25.8,25.808,25.74,25.77,48200.0
2024-06-17,25.86,25.98,25.8,25.94,24200.0
2024-06-18,25.96,25.96,25.86,25.905,12900.0
2024-06-20,26.04,26.04,25.78,25.805,31600.0
2024-06-21,25.77,25.84,25.77,25.815,12000.0
2024-06-24,25.84,25.84,25.7,25.72,50100.0
2024-06-25,25.65,25.83,25.65,25.816,6300.0
2024-06-26,25.846,25.86,25.8,25.841,12600.0
2024-06-27,25.877,25.89,25.8,25.86,2200.0
2024-06-28,25.97,25.97,25.836,25.836,53600.0
2024-07-01,25.85,25.915,25.827,25.915,2800.0
2024-07-02,25.888,26.05,25.888,26.018,8800.0
2024-07-03,26.02,26.085,26.02,26.085,100.0
2024-07-05,26.1,26.2,26.1,26.19,38800.0
2024-07-08,26.18,26.225,26.18,26.225,4400.0
2024-07-09,26.28,26.28,26.19,26.21,3000.0
2024-07-10,26.28,26.33,26.28,26.32,4600.0
2024-07-11,26.24,26.24,26.132,26.132,2000.0
2024-07-12,26.225,26.265,26.2,26.2,1800.0
2024-07-15,26.28,26.28,26.192,26.205,2000.0
2024-07-16,26.2,26.24,26.18,26.235,2800.0
2024-07-17,26.13,26.13,25.944,25.944,1700.0
2024-07-18,25.91,26.0,25.84,25.883,1300.0
2024-07-19,25.86,25.86,25.783,25.783,400.0
2024-07-22,25.98,25.98,25.948,25.969,1000.0
2024-07-23,25.97,26.03,25.935,25.935,1300.0
2024-07-24,25.59,25.62,25.5,25.5,1200.0
2024-07-25,25.5,25.55,25.405,25.405,3700.0
2024-07-26,25.51,25.549,25.51,25.512,700.0
2024-07-29,25.66,25.67,25.572,25.572,4100.0
2024-07-30,25.531,25.557,25.375,25.422,8700.0
2024-07-31,25.645,25.759,25.645,25.759,900.0
2024-08-01,25.52,25.55,25.36,25.448,1700.0
2024-08-02,25.1,25.2,25.09,25.146,22500.0
2024-08-05,24.19,24.958,24.19,24.75,37300.0
2024-08-06,25.04,25.175,24.93,24.964,40300.0
2024-08-07,25.23,25.26,24.77,24.77,112000.0
2024-08-08,25.05,25.22,24.941,25.142,4100.0
2024-08-09,25.18,25.317,25.155,25.262,5000.0
2024-08-12,25.29,25.29,25.279,25.279,17400.0
2024-08-13,25.471,25.66,25.471,25.66,1400.0
2024-08-14,25.629,25.7,25.629,25.7,1700.0
2024-08-15,25.896,25.95,25.89,25.925,4900.0
2024-08-16,25.957,25.957,25.943,25.943,300.0
2024-08-19,26.06,26.116,26.049,26.116,4300.0
2024-08-20,26.15,26.15,26.06,26.087,2700.0
2024-08-21,26.08,26.16,26.07,26.146,303000.0
2024-08-22,26.122,26.145,25.925,25.925,16200.0
2024-08-23,26.02,26.097,25.99,26.097,1400.0
2024-08-26,25.98,25.98,25.98,25.98,100.0
2024-08-27,26.0,26.031,26.0,26.031,200.0
2024-08-28,25.79,25.902,25.78,25.902,7800.0
2024-08-29,25.94,25.95,25.894,25.894,4400.0
2024-08-30,26.011,26.056,25.95,26.056,30400.0
2024-09-03,25.765,25.765,25.637,25.637,2100.0
2024-09-04,25.67,25.695,25.6,25.6,1300.0
2024-09-05,25.657,25.657,25.617,25.617,1800.0
2024-09-06,25.61,25.61,25.286,25.286,8600.0
2024-09-09,25.445,25.454,25.355,25.454,1100.0
2024-09-10,25.518,25.596,25.45,25.596,2200.0
2024-09-11,25.455,25.861,25.455,25.861,400.0
2024-09-12,25.95,25.972,25.95,25.972,3200.0
2024-09-13,26.064,26.064,26.064,26.064,100.0
2024-09-16,25.96,26.01,25.96,26.01,200.0
2024-09-17,26.001,26.001,26.001,26.001,100.0
2024-09-18,25.97,25.97,25.97,25.97,0.0
2024-09-19,26.24,26.268,26.23,26.268,11100.0
2024-09-20,26.25,26.268,26.25,26.268,200.0
2024-09-23,26.17,26.313,26.17,26.313,1400.0
2024-09-24,26.3,26.355,26.25,26.355,2500.0
2024-09-25,26.41,26.43,26.386,26.386,800.0
2024-09-26,26.41,26.447,26.41,26.447,1200.0
2024-09-27,26.405,26.405,26.405,26.405,0.0
2024-09-30,26.33,26.417,26.31,26.417,700.0
2024-10-01,26.2,26.28,26.2,26.264,800.0
2024-10-02,26.297,26.297,26.295,26.295,200.0
2024-10-03,26.3,26.3,26.24,26.263,400.0
2024-10-04,26.35,26.408,26.26,26.408,1000.0
2024-10-07,26.32,26.32,26.272,26.272,100.0
2024-10-08,26.465,26.465,26.465,26.465,0.0
2024-10-09,25.3,26.55,25.3,26.55,1200.0
2024-10-10,26.54,26.56,26.46,26.531,3000.0
2024-10-11,26.566,26.566,26.566,26.566,100.0
2024-10-14,26.618,26.665,26.618,26.665,800.0
2024-10-15,26.59,26.59,26.516,26.516,400.0
2024-10-16,26.44,26.535,26.44,26.535,6400.0
2024-10-17,26.555,26.555,26.555,26.555,0.0
2024-10-18,26.6,26.639,26.58,26.639,10500.0
2024-10-21,26.64,26.656,26.64,26.656,800.0
2024-10-22,26.64,26.7,26.64,26.7,1800.0
2024-10-23,26.68,26.68,26.504,26.504,800.0
2024-10-24,26.614,26.614,26.614,26.614,100.0
2024-10-25,26.71,26.739,26.67,26.67,600.0
2024-10-28,26.682,26.682,26.682,26.682,0.0
2024-10-29,26.785,26.785,26.785,26.785,100.0
2024-10-30,26.67,26.67,26.67,26.67,200.0
2024-10-31,26.51,26.51,26.35,26.409,12600.0
2024-11-01,26.492,26.492,26.492,26.492,0.0
2024-11-04,26.466,26.47,26.466,26.47,700.0
2024-11-05,26.61,26.68,26.54,26.611,21300.0
2024-11-06,26.83,26.91,26.82,26.91,10200.0
2024-11-07,27.071,27.071,27.071,27.071,100.0
2024-11-08,27.05,27.103,27.05,27.103,600.0
2024-11-11,27.1,27.1,27.1,27.1,100.0
2024-11-12,27.098,27.098,27.098,27.098,100.0
2024-11-13,27.07,27.098,27.07,27.098,5000.0
2024-11-14,27.059,27.15,27.05,27.05,4400.0
2024-11-15,26.814,26.814,26.78,26.78,400.0
2024-11-18,26.885,26.885,26.885,26.885,0.0
2024-11-19,26.91,26.953,26.9,26.953,1000.0
2024-11-20,26.8,26.935,26.8,26.935,500.0
2024-11-21,26.987,26.987,26.987,26.987,0.0
2024-11-22,26.993,26.993,26.95,26.991,2400.0
2024-11-25,27.03,27.031,27.03,27.031,100.0
2024-11-26,27.093,27.135,27.093,27.135,200.0
2024-11-27,27.0,27.057,27.0,27.057,200.0
2024-11-29,27.175,27.175,27.175,27.175,0.0
2024-12-02,27.3,27.3,27.3,27.3,0.0
2024-12-03,27.268,27.314,27.24,27.314,2000.0
2024-12-04,27.34,27.411,27.34,27.411,200.0
2024-12-05,27.351,27.376,27.351,27.376,1700.0
2024-12-06,27.41,27.46,27.41,27.46,300.0
2024-12-09,27.35,27.381,27.35,27.381,300.0
2024-12-10,27.393,27.393,27.355,27.355,600.0
2024-12-11,27.51,27.51,27.51,27.51,200.0
2024-12-12,27.46,27.465,27.411,27.46,1000.0
2024-12-13,27.516,27.516,27.516,27.516,100.0
2024-12-16,27.595,27.595,27.595,27.595,100.0
2024-12-17,27.521,27.566,27.51,27.566,2900.0
2024-12-18,27.6,27.61,27.22,27.25,8600.0
2024-12-19,27.258,27.258,27.16,27.16,1400.0
2024-12-20,27.12,27.269,27.12,27.269,1100.0
2024-12-23,27.405,27.405,27.405,27.405,200.0
2024-12-24,27.48,27.52,27.48,27.52,2700.0
2024-12-26,27.53,27.541,27.53,27.541,800.0
2024-12-27,27.4,27.415,27.39,27.39,2600.0
2024-12-30,27.3,27.4,27.3,27.32,4900.0
2024-12-31,27.29,27.29,27.23,27.23,1300.0
2025-01-02,27.14,27.239,27.14,27.239,4300.0
2025-01-03,27.372,27.42,27.37,27.42,400.0
