Date,Open,High,Low,Close,Volume
2021-07-01,20.59,20.61,20.58,20.61,48800.0
2021-07-02,20.58,20.67,20.58,20.633,1500.0
2021-07-06,20.59,20.65,20.59,20.634,11100.0
2021-07-07,20.61,20.67,20.61,20.66,2300.0
2021-07-08,20.51,20.57,20.41,20.503,7300.0
2021-07-09,20.65,20.68,20.65,20.676,300.0
2021-07-12,20.706,20.706,20.706,20.706,100.0
2021-07-13,20.701,20.701,20.664,20.664,200.0
2021-07-14,20.68,20.73,20.68,20.7,26700.0
2021-07-15,20.62,20.62,20.62,20.62,0.0
2021-07-16,20.8,20.8,20.512,20.512,29900.0
2021-07-19,20.331,20.331,20.24,20.306,4300.0
2021-07-20,20.48,20.53,20.48,20.51,28300.0
2021-07-21,20.54,20.56,20.53,20.56,24400.0
2021-07-22,20.68,20.68,20.68,20.68,9500.0
2021-07-23,20.71,20.775,20.71,20.775,2100.0
2021-07-26,20.78,20.81,20.78,20.81,26500.0
2021-07-27,20.71,20.71,20.68,20.68,26200.0
2021-07-28,20.69,20.7,20.69,20.697,700.0
2021-07-29,20.84,20.84,20.84,20.84,6600.0
2021-07-30,20.66,20.67,20.645,20.655,10200.0
2021-08-02,20.81,20.81,20.768,20.768,1000.0
2021-08-03,20.804,20.804,20.804,20.804,100.0
2021-08-04,20.725,20.725,20.725,20.725,0.0
2021-08-05,20.83,20.87,20.83,20.87,13200.0
2021-08-06,20.87,20.87,20.847,20.847,300.0
2021-08-09,20.82,20.82,20.82,20.82,100.0
2021-08-10,20.841,20.841,20.841,20.841,0.0
2021-08-11,20.852,20.853,20.852,20.853,200.0
2021-08-12,20.9,20.9,20.9,20.9,0.0
2021-08-13,20.928,20.928,20.928,20.928,0.0
2021-08-16,20.91,20.94,20.898,20.898,110800.0
2021-08-17,20.78,20.85,20.78,20.81,10100.0
2021-08-18,20.86,20.87,20.77,20.77,3100.0
2021-08-19,20.59,20.73,20.59,20.7,74700.0
2021-08-20,20.795,20.795,20.795,20.795,0.0
2021-08-23,20.987,20.987,20.987,20.987,800.0
2021-08-24,21.0,21.0,20.95,20.978,200.0
2021-08-25,20.978,20.978,20.978,20.978,0.0
2021-08-26,20.94,20.94,20.923,20.923,200.0
2021-08-27,21.06,21.06,21.06,21.06,0.0
2021-08-30,21.1,21.1,21.1,21.1,0.0
2021-08-31,21.06,21.08,21.06,21.08,6600.0
2021-09-01,21.1,21.15,21.1,21.14,26500.0
2021-09-02,21.123,21.123,21.123,21.123,100.0
2021-09-03,21.116,21.116,21.116,21.116,0.0
2021-09-07,21.071,21.071,21.071,21.071,100.0
2021-09-08,21.02,21.05,20.97,20.97,22200.0
2021-09-09,20.961,20.961,20.961,20.961,0.0
2021-09-10,21.02,21.02,20.965,20.965,300.0
2021-09-13,21.03,21.03,20.97,21.0,2500.0
2021-09-14,20.866,20.866,20.866,20.866,0.0
2021-09-15,20.985,20.985,20.985,20.985,0.0
2021-09-16,20.936,20.936,20.936,20.936,0.0
2021-09-17,20.836,20.836,20.836,20.836,600.0
2021-09-20,20.42,20.64,20.4,20.48,50700.0
2021-09-21,20.604,20.64,20.604,20.637,1900.0
2021-09-22,20.773,20.773,20.773,20.773,0.0
2021-09-23,20.943,20.943,20.943,20.943,100.0
2021-09-24,20.96,20.98,20.94,20.966,2800.0
2021-09-27,20.926,20.926,20.926,20.926,0.0
2021-09-28,20.689,20.689,20.689,20.689,100.0
2021-09-29,20.702,20.702,20.702,20.702,100.0
2021-09-30,20.588,20.588,20.588,20.588,0.0
2021-10-01,20.717,20.717,20.717,20.717,0.0
2021-10-04,20.549,20.549,20.549,20.549,100.0
2021-10-05,20.7,20.7,20.7,20.7,100.0
2021-10-06,20.724,20.724,20.724,20.724,100.0
2021-10-07,20.841,20.841,20.841,20.841,0.0
2021-10-08,20.834,20.834,20.834,20.834,0.0
2021-10-11,20.749,20.749,20.749,20.749,0.0
2021-10-12,20.733,20.733,20.733,20.733,0.0
2021-10-13,20.783,20.783,20.783,20.783,100.0
2021-10-14,20.987,20.987,20.987,20.987,0.0
2021-10-15,21.06,21.073,21.06,21.073,26200.0
2021-10-18,21.11,21.11,21.04,21.04,29900.0
2021-10-19,21.165,21.165,21.165,21.165,0.0
2021-10-20,21.207,21.207,21.207,21.207,0.0
2021-10-21,21.244,21.244,21.244,21.244,0.0
2021-10-22,21.255,21.255,21.255,21.255,0.0
2021-10-25,21.287,21.287,21.287,21.287,0.0
2021-10-26,21.327,21.327,21.327,21.327,0.0
2021-10-27,21.26,21.26,21.26,21.26,0.0
2021-10-28,21.339,21.339,21.339,21.339,0.0
2021-10-29,21.355,21.355,21.355,21.355,0.0
2021-11-01,21.33,21.33,21.33,21.33,7500.0
2021-11-02,21.405,21.405,21.405,21.405,0.0
2021-11-03,21.49,21.49,21.49,21.49,0.0
2021-11-04,21.525,21.525,21.525,21.525,0.0
2021-11-05,21.53,21.58,21.47,21.47,3500.0
2021-11-08,21.534,21.534,21.534,21.534,0.0
2021-11-09,21.485,21.485,21.485,21.485,100.0
2021-11-10,21.425,21.425,21.425,21.425,0.0
2021-11-11,21.434,21.434,21.434,21.434,100.0
2021-11-12,21.515,21.515,21.515,21.515,100.0
2021-11-15,21.3,21.3,21.3,21.3,4000.0
2021-11-16,21.51,21.546,21.51,21.546,700.0
2021-11-17,21.515,21.515,21.515,21.515,0.0
2021-11-18,21.53,21.53,21.53,21.53,0.0
2021-11-19,21.495,21.495,21.495,21.495,0.0
2021-11-22,21.487,21.487,21.487,21.487,0.0
