Date,Open,High,Low,Close,Volume
2022-01-03,25.72,25.79,25.515,25.78,90100.0
2022-01-04,25.71,25.71,25.356,25.523,126700.0
2022-01-05,25.32,25.32,24.78,24.78,24800.0
2022-01-06,24.75,24.815,24.54,24.705,7500.0
2022-01-07,24.81,24.83,24.49,24.517,4100.0
2022-01-10,24.1,24.504,23.825,24.504,6500.0
2022-01-11,24.5,24.94,24.49,24.866,14300.0
2022-01-12,25.15,25.15,24.87,24.974,10000.0
2022-01-13,24.901,24.93,24.45,24.45,8700.0
2022-01-14,24.35,24.523,24.35,24.523,400.0
2022-01-18,24.24,24.24,23.95,23.95,4300.0
2022-01-19,23.9,23.9,23.713,23.713,3300.0
2022-01-20,24.14,24.15,23.365,23.365,14800.0
2022-01-21,23.09,23.39,22.73,22.73,71100.0
2022-01-24,21.99,22.798,21.74,22.798,14300.0
2022-01-25,22.4,22.65,22.085,22.255,3800.0
2022-01-26,22.64,22.85,22.269,22.269,9500.0
2022-01-27,22.13,22.16,22.032,22.032,5300.0
2022-01-28,21.92,22.713,21.92,22.713,1800.0
2022-01-31,23.11,23.545,23.1,23.545,1500.0
2022-02-01,23.579,23.725,23.525,23.725,1300.0
2022-02-02,23.84,23.89,23.58,23.86,3900.0
2022-02-03,23.279,23.279,22.858,22.858,600.0
2022-02-04,22.9,23.31,22.85,23.204,8700.0
2022-02-07,22.98,22.98,22.934,22.934,400.0
2022-02-08,22.84,23.282,22.84,23.282,33600.0
2022-02-09,23.611,23.745,23.6,23.745,12500.0
2022-02-10,23.192,23.192,23.192,23.192,0.0
2022-02-11,23.115,23.115,22.467,22.467,1300.0
2022-02-14,22.655,22.655,22.446,22.446,1500.0
2022-02-15,22.97,23.024,22.97,23.024,6800.0
2022-02-16,22.89,23.056,22.67,23.041,8200.0
2022-02-17,22.66,22.66,22.295,22.295,1500.0
2022-02-18,22.1,22.24,21.91,22.006,2700.0
2022-02-22,21.837,22.01,21.81,21.81,1900.0
2022-02-23,22.025,22.025,21.21,21.21,1600.0
2022-02-24,20.77,21.918,20.77,21.918,1300.0
2022-02-25,22.16,22.288,22.149,22.288,2800.0
2022-02-28,22.13,22.35,22.12,22.35,400.0
2022-03-01,22.068,22.09,21.955,21.955,26100.0
2022-03-02,22.34,22.425,22.34,22.425,100.0
2022-03-03,22.289,22.289,22.018,22.018,2200.0
2022-03-04,21.709,21.75,21.55,21.694,4300.0
2022-03-07,21.35,21.35,20.864,20.864,800.0
2022-03-08,20.75,20.755,20.75,20.755,300.0
2022-03-09,21.56,21.59,21.55,21.59,2400.0
2022-03-10,21.32,21.4,21.32,21.32,3700.0
2022-03-11,20.816,20.816,20.816,20.816,1200.0
2022-03-14,20.759,20.97,20.374,20.374,46200.0
2022-03-15,20.59,21.06,20.55,21.04,8700.0
2022-03-16,21.412,21.853,21.29,21.853,20700.0
2022-03-17,22.04,22.22,22.04,22.22,4300.0
2022-03-18,22.32,22.728,22.32,22.728,1800.0
2022-03-21,22.65,22.65,22.632,22.632,100.0
2022-03-22,23.14,23.18,23.09,23.12,4400.0
2022-03-23,22.9,22.94,22.797,22.797,2200.0
2022-03-24,22.929,23.289,22.929,23.289,3200.0
2022-03-25,23.38,23.38,23.12,23.272,40800.0
2022-03-28,23.32,23.76,23.291,23.76,23500.0
2022-03-29,24.0,24.17,23.85,24.124,6900.0
2022-03-30,24.07,24.1,23.815,23.9,13900.0
2022-03-31,23.86,23.92,23.546,23.546,5900.0
2022-04-01,23.37,23.49,23.307,23.485,1500.0
2022-04-04,23.922,24.03,23.875,23.96,9100.0
2022-04-05,23.98,23.98,23.412,23.412,4000.0
2022-04-06,22.83,23.03,22.745,22.882,2800.0
2022-04-07,22.653,22.928,22.653,22.928,500.0
2022-04-08,22.8,22.81,22.561,22.561,900.0
2022-04-11,22.12,22.187,21.969,21.969,2000.0
2022-04-12,22.26,22.26,21.896,21.896,2400.0
2022-04-13,22.2,22.449,22.2,22.398,4600.0
2022-04-14,22.09,22.1,21.798,21.798,1200.0
