Date,Open,High,Low,Close,Volume
2024-05-29,20.02,20.08,20.01,20.08,5044300.0
2024-05-30,20.1,20.14,20.04,20.05,79000.0
2024-05-31,20.03,20.07,19.88,20.07,103600.0
2024-06-03,20.07,20.08,19.83,19.83,45100.0
2024-06-04,19.9,20.055,19.86,19.976,68900.0
2024-06-05,20.0,20.14,19.99,20.076,114500.0
2024-06-06,20.24,20.24,20.01,20.025,316100.0
2024-06-07,20.34,20.42,20.32,20.408,41300.0
2024-06-10,20.61,20.61,20.39,20.5,109100.0
2024-06-11,20.6,20.6,20.48,20.585,38700.0
2024-06-12,20.51,20.61,20.46,20.596,34000.0
2024-06-13,20.67,20.73,20.62,20.7,40900.0
2024-06-14,20.84,20.84,20.73,20.77,92500.0
2024-06-17,20.85,21.03,20.845,20.98,35800.0
2024-06-18,21.02,21.03,20.92,21.006,34200.0
2024-06-20,21.23,21.23,20.94,20.98,85000.0
2024-06-21,21.04,21.12,21.02,21.067,15000.0
2024-06-24,20.92,21.01,20.86,20.86,163800.0
2024-06-25,20.97,21.0,20.88,20.92,37300.0
2024-06-26,21.04,22.08,21.04,21.18,22300.0
2024-06-27,21.14,21.26,21.09,21.18,33100.0
2024-06-28,21.18,22.11,21.103,21.103,332900.0
2024-07-01,21.17,23.34,21.135,21.41,41800.0
2024-07-02,21.33,21.45,21.33,21.35,41500.0
2024-07-03,21.35,21.35,21.08,21.22,53300.0
2024-07-05,21.17,21.24,21.11,21.128,14900.0
2024-07-08,21.14,21.21,21.115,21.19,33800.0
2024-07-09,21.17,21.28,21.15,21.15,31900.0
2024-07-10,21.07,21.21,21.021,21.18,84300.0
2024-07-11,20.95,20.95,20.8,20.906,82200.0
2024-07-12,20.94,20.94,20.75,20.81,30600.0
2024-07-15,20.98,21.05,20.955,21.03,43900.0
2024-07-16,21.04,21.04,20.88,20.93,382300.0
2024-07-17,20.84,20.89,20.77,20.835,6900.0
2024-07-18,20.9,20.91,20.81,20.861,13600.0
