Date,Open,High,Low,Close,Volume
2024-05-15,25.128,25.128,25.128,25.128,16.0
2024-05-16,25.1193,25.1193,25.1193,25.1193,0.0
2024-05-17,25.1222,25.1222,25.1222,25.1222,0.0
2024-05-20,25.14,25.14,25.14,25.14,1.0
2024-05-21,25.17,25.17,25.17,25.17,0.0
2024-05-22,25.1405,25.1405,25.1405,25.1405,0.0
2024-05-23,25.0902,25.0902,25.0902,25.0902,1.0
2024-05-24,25.1674,25.1674,25.1674,25.1674,0.0
2024-05-28,25.1706,25.1706,25.1706,25.1706,0.0
2024-05-29,25.1151,25.1151,25.1151,25.1151,0.0
2024-05-30,25.0685,25.0685,25.0685,25.0685,0.0
2024-05-31,25.1443,25.1443,25.1443,25.1443,1.0
2024-06-03,25.1561,25.1561,25.1561,25.1561,0.0
2024-06-04,25.1716,25.1716,25.1716,25.1716,0.0
2024-06-05,25.2695,25.2695,25.2695,25.2695,0.0
2024-06-06,25.27,25.27,25.27,25.27,1.0
2024-06-07,25.2793,25.2793,25.2793,25.2793,0.0
2024-06-10,25.2958,25.2958,25.2958,25.2958,1.0
2024-06-11,25.3202,25.3202,25.3202,25.3202,22932.0
2024-06-12,25.4045,25.4045,25.4045,25.4045,1.0
2024-06-13,25.4225,25.4225,25.4225,25.4225,0.0
2024-06-14,25.4119,25.4119,25.4119,25.4119,1.0
2024-06-17,25.4648,25.4648,25.4648,25.4648,1.0
2024-06-18,25.51,25.52,25.51,25.52,2776.0
2024-06-20,25.4709,25.4709,25.4709,25.4709,0.0
2024-06-21,25.48,25.48,25.48,25.48,0.0
2024-06-24,25.4752,25.4752,25.4752,25.4752,100.0
2024-06-25,25.5044,25.5044,25.5044,25.5044,0.0
2024-06-26,25.5193,25.5193,25.5193,25.5193,1.0
2024-06-27,25.51,25.5284,25.5,25.5284,1109.0
2024-06-28,25.5212,25.5212,25.5212,25.5212,0.0
2024-07-01,25.5498,25.5498,25.5498,25.5498,0.0
2024-07-02,25.582,25.582,25.582,25.582,0.0
2024-07-03,25.613,25.613,25.613,25.613,0.0
2024-07-05,25.645,25.645,25.645,25.645,1.0
2024-07-08,25.6588,25.6588,25.6588,25.6588,0.0
2024-07-09,25.665,25.665,25.665,25.665,0.0
2024-07-10,25.7026,25.7026,25.7026,25.7026,0.0
2024-07-11,25.6811,25.6811,25.6811,25.6811,0.0
2024-07-12,25.68,25.7149,25.68,25.7149,8000.0
2024-07-15,25.722,25.722,25.722,25.722,0.0
2024-07-16,25.7443,25.7443,25.7443,25.7443,0.0
2024-07-17,25.6947,25.6947,25.6947,25.6947,0.0
2024-07-18,25.6516,25.6516,25.6516,25.6516,0.0
2024-07-19,25.6144,25.6144,25.6144,25.6144,0.0
2024-07-22,25.6925,25.6925,25.6925,25.6925,0.0
2024-07-23,25.6856,25.6856,25.6856,25.6856,0.0
