Date,Open,High,Low,Close,Volume
2017-07-14,20.969038,20.969038,20.969038,20.969038,0
2017-07-17,21.11073,21.11073,21.085726,21.089893,1200
2017-07-18,21.06906,21.06906,21.034056,21.034056,400
2017-07-19,21.144066,21.144066,21.138231,21.138231,200
2017-07-20,21.138231,21.138231,21.138231,21.138231,0
2017-07-21,21.138231,21.138231,21.138231,21.138231,0
2017-07-24,21.202406,21.202406,21.202406,21.202406,600
2017-07-25,21.202406,21.202406,21.202406,21.202406,0
2017-07-26,21.310745,21.327414,21.310745,21.327414,200
2017-07-27,21.327414,21.327414,21.327414,21.327414,0
2017-07-28,21.327414,21.327414,21.327414,21.327414,0
2017-07-31,21.327414,21.327414,21.327414,21.327414,0
2017-08-01,21.327414,21.327414,21.327414,21.327414,0
2017-08-02,21.364916,21.364916,21.339912,21.339912,200
2017-08-03,21.339912,21.339912,21.339912,21.339912,0
2017-08-04,21.339912,21.339912,21.339912,21.339912,0
2017-08-07,21.339912,21.339912,21.339912,21.339912,0
2017-08-08,21.339912,21.339912,21.339912,21.339912,0
2017-08-09,21.339912,21.339912,21.339912,21.339912,0
2017-08-10,21.339912,21.339912,21.339912,21.339912,0
2017-08-11,21.339912,21.339912,21.339912,21.339912,0
2017-08-14,21.339912,21.339912,21.339912,21.339912,100
2017-08-15,21.339912,21.339912,21.339912,21.339912,0
2017-08-16,21.339912,21.339912,21.339912,21.339912,100
2017-08-17,21.339912,21.339912,21.339912,21.339912,0
2017-08-18,21.339912,21.339912,21.339912,21.339912,0
2017-08-21,21.339912,21.339912,21.339912,21.339912,0
2017-08-22,21.339912,21.339912,21.339912,21.339912,0
2017-08-23,21.339912,21.339912,21.339912,21.339912,0
2017-08-24,21.339912,21.339912,21.339912,21.339912,0
2017-08-25,21.339912,21.339912,21.339912,21.339912,0
2017-08-28,21.339912,21.339912,21.339912,21.339912,0
2017-08-29,21.339912,21.339912,21.339912,21.339912,0
2017-08-30,21.339912,21.339912,21.339912,21.339912,0
2017-08-31,21.339912,21.339912,21.339912,21.339912,0
2017-09-01,21.339912,21.339912,21.339912,21.339912,0
2017-09-05,21.339912,21.339912,21.339912,21.339912,0
2017-09-06,21.339912,21.339912,21.339912,21.339912,0
2017-09-07,21.339912,21.339912,21.339912,21.339912,0
2017-09-08,21.339912,21.339912,21.339912,21.339912,0
2017-09-11,21.435766,21.435766,21.435766,21.435766,400
2017-09-12,21.435766,21.435766,21.435766,21.435766,100
2017-09-13,21.435766,21.435766,21.435766,21.435766,0
2017-09-14,21.435766,21.435766,21.435766,21.435766,0
2017-09-15,21.435766,21.435766,21.435766,21.435766,100
2017-09-18,21.50097,21.50097,21.50097,21.50097,0
2017-09-19,21.584568,21.584568,21.584568,21.584568,100
2017-09-20,21.584568,21.584568,21.584568,21.584568,0
2017-09-21,21.584568,21.584568,21.584568,21.584568,0
2017-09-22,21.584568,21.584568,21.584568,21.584568,0
2017-09-25,21.584568,21.584568,21.584568,21.584568,0
2017-09-26,21.584568,21.584568,21.584568,21.584568,0
2017-09-27,21.584568,21.584568,21.584568,21.584568,0
2017-09-28,21.584568,21.584568,21.584568,21.584568,0
2017-09-29,21.584568,21.584568,21.584568,21.584568,0
2017-10-02,21.584568,21.584568,21.584568,21.584568,0
2017-10-03,21.584568,21.584568,21.584568,21.584568,0
2017-10-04,21.584568,21.584568,21.584568,21.584568,0
2017-10-05,21.584568,21.584568,21.584568,21.584568,0
2017-10-06,21.584568,21.584568,21.584568,21.584568,0
2017-10-09,21.785196,21.785196,21.785196,21.785196,100
2017-10-10,21.66816,21.66816,21.66816,21.66816,200
2017-10-11,21.66816,21.66816,21.66816,21.66816,0
2017-10-12,21.66816,21.66816,21.66816,21.66816,0
2017-10-13,21.66816,21.66816,21.66816,21.66816,0
2017-10-16,21.66816,21.66816,21.66816,21.66816,0
2017-10-17,21.66816,21.66816,21.66816,21.66816,0
2017-10-18,21.66816,21.66816,21.66816,21.66816,0
2017-10-19,21.66816,21.66816,21.66816,21.66816,0
2017-10-20,21.66816,21.66816,21.66816,21.66816,0
2017-10-23,21.66816,21.66816,21.66816,21.66816,0
2017-10-24,21.66816,21.66816,21.66816,21.66816,0
2017-10-25,21.66816,21.66816,21.66816,21.66816,0
2017-10-26,21.66816,21.66816,21.66816,21.66816,0
2017-10-27,21.66816,21.66816,21.66816,21.66816,0
2017-10-30,21.66816,21.66816,21.66816,21.66816,0
2017-10-31,21.66816,21.66816,21.66816,21.66816,0
2017-11-01,21.66816,21.66816,21.66816,21.66816,0
2017-11-02,21.66816,21.66816,21.66816,21.66816,0
2017-11-03,21.66816,21.66816,21.66816,21.66816,0
2017-11-06,21.66816,21.66816,21.66816,21.66816,0
2017-11-07,21.66816,21.66816,21.66816,21.66816,0
2017-11-08,21.66816,21.66816,21.66816,21.66816,0
2017-11-09,21.66816,21.66816,21.66816,21.66816,0
2017-11-10,21.66816,21.66816,21.66816,21.66816,0
2017-11-13,21.66816,21.66816,21.66816,21.66816,0
2017-11-14,21.66816,21.66816,21.66816,21.66816,0
2017-11-15,21.66816,21.66816,21.66816,21.66816,0
2017-11-16,21.66816,21.66816,21.66816,21.66816,0
2017-11-17,21.66816,21.66816,21.66816,21.66816,0
2017-11-20,22.512486,22.512486,22.512486,22.512486,500
2017-11-21,22.512486,22.512486,22.512486,22.512486,0
2017-11-22,22.512486,22.512486,22.512486,22.512486,0
2017-11-24,22.512486,22.512486,22.512486,22.512486,0
2017-11-27,22.512486,22.512486,22.512486,22.512486,0
2017-11-28,22.512486,22.512486,22.512486,22.512486,0
2017-11-29,22.512486,22.512486,22.512486,22.512486,100
2017-11-30,22.512486,22.512486,22.512486,22.512486,0
2017-12-01,23.014069,23.014069,23.014069,23.014069,200
2017-12-04,23.014069,23.014069,23.014069,23.014069,100
2017-12-05,23.013227,23.013227,23.013227,23.013227,200
2017-12-06,23.013227,23.013227,23.013227,23.013227,0
2017-12-07,23.013227,23.013227,23.013227,23.013227,0
2017-12-08,23.013227,23.013227,23.013227,23.013227,0
2017-12-11,23.013227,23.013227,23.013227,23.013227,100
2017-12-12,23.013227,23.013227,23.013227,23.013227,0
2017-12-13,23.013227,23.013227,23.013227,23.013227,0
2017-12-14,23.013227,23.013227,23.013227,23.013227,0
2017-12-15,23.013227,23.013227,23.013227,23.013227,0
2017-12-18,23.013224,23.013224,23.013224,23.013224,100
2017-12-19,23.013224,23.013224,23.013224,23.013224,0
2017-12-20,23.013224,23.013224,23.013224,23.013224,0
2017-12-21,23.013224,23.013224,23.013224,23.013224,0
2017-12-22,23.013224,23.013224,23.013224,23.013224,0
2017-12-26,23.013224,23.013224,23.013224,23.013224,0
2017-12-27,23.013224,23.013224,23.013224,23.013224,100
2017-12-28,23.013224,23.013224,23.013224,23.013224,0
2017-12-29,23.013224,23.013224,23.013224,23.013224,0
2018-01-02,23.013224,23.013224,23.013224,23.013224,0
2018-01-03,23.013224,23.013224,23.013224,23.013224,0
2018-01-04,23.013224,23.013224,23.013224,23.013224,0
2018-01-05,23.013224,23.013224,23.013224,23.013224,0
2018-01-08,23.013224,23.013224,23.013224,23.013224,0
2018-01-09,23.013224,23.013224,23.013224,23.013224,0
2018-01-10,23.013224,23.013224,23.013224,23.013224,0
2018-01-11,23.013224,23.013224,23.013224,23.013224,0
2018-01-12,23.466013,23.466013,23.466013,23.466013,200
2018-01-16,23.466013,23.466013,23.466013,23.466013,0
2018-01-17,23.461773,23.461773,23.461773,23.461773,100
2018-01-18,23.461773,23.461773,23.461773,23.461773,100
2018-01-19,23.461773,23.461773,23.461773,23.461773,0
2018-01-22,23.461773,23.461773,23.461773,23.461773,0
2018-01-23,23.461773,23.461773,23.461773,23.461773,0
2018-01-24,23.461773,23.461773,23.461773,23.461773,0
2018-01-25,23.461773,23.461773,23.461773,23.461773,100
2018-01-26,23.461773,23.461773,23.461773,23.461773,0
2018-01-29,23.461773,23.461773,23.461773,23.461773,100
2018-01-30,23.461773,23.461773,23.461773,23.461773,0
2018-01-31,24.174023,24.174023,24.174023,24.174023,100
2018-02-01,24.021395,24.021395,24.021395,24.021395,200
2018-02-02,24.021395,24.021395,24.021395,24.021395,0
2018-02-05,24.021395,24.021395,24.021395,24.021395,100
2018-02-06,24.021395,24.021395,24.021395,24.021395,0
2018-02-07,24.021395,24.021395,24.021395,24.021395,0
2018-02-08,22.495153,22.495153,22.495153,22.495153,200
2018-02-09,22.372204,22.372204,22.372204,22.372204,200
2018-02-12,22.372204,22.372204,22.372204,22.372204,0
2018-02-13,22.372204,22.372204,22.372204,22.372204,100
2018-02-14,22.372204,22.372204,22.372204,22.372204,0
2018-02-15,22.372204,22.372204,22.372204,22.372204,0
2018-02-16,22.372204,22.372204,22.372204,22.372204,100
2018-02-20,22.372204,22.372204,22.372204,22.372204,0
2018-02-21,22.372204,22.372204,22.372204,22.372204,0
2018-02-22,22.372204,22.372204,22.372204,22.372204,0
2018-02-23,22.372204,22.372204,22.372204,22.372204,0
2018-02-26,23.456686,23.489754,23.456686,23.489754,800
2018-02-27,23.68817,23.68817,23.68817,23.68817,400
2018-02-28,23.68817,23.68817,23.68817,23.68817,0
2018-03-01,22.958113,22.974222,22.958113,22.974222,200
2018-03-02,22.995424,22.995424,22.957268,22.957268,200
2018-03-05,22.957268,22.957268,22.957268,22.957268,100
2018-03-06,22.957268,22.957268,22.957268,22.957268,0
2018-03-07,23.241316,23.241316,23.241316,23.241316,100
2018-03-08,23.368504,23.368504,23.351547,23.351547,300
2018-03-09,23.419382,23.419382,23.419382,23.419382,100
2018-03-12,23.419382,23.419382,23.419382,23.419382,0
2018-03-13,23.419382,23.419382,23.419382,23.419382,100
2018-03-14,23.419382,23.419382,23.419382,23.419382,0
2018-03-15,23.419382,23.419382,23.419382,23.419382,0
2018-03-16,23.419382,23.419382,23.419382,23.419382,0
2018-03-19,23.495937,23.495937,23.495937,23.495937,0
2018-03-20,23.42023,23.42023,23.42023,23.42023,0
2018-03-21,23.42023,23.42023,23.42023,23.42023,0
2018-03-22,22.985535,22.985535,22.985535,22.985535,400
2018-03-23,22.985535,22.985535,22.985535,22.985535,0
2018-03-26,22.802631,22.802631,22.802631,22.802631,200
2018-03-27,22.802631,22.802631,22.802631,22.802631,0
2018-03-28,22.802631,22.802631,22.802631,22.802631,0
2018-03-29,22.802631,22.802631,22.802631,22.802631,0
2018-04-02,22.802631,22.802631,22.802631,22.802631,100
2018-04-03,22.802631,22.802631,22.802631,22.802631,100
2018-04-04,22.802631,22.802631,22.802631,22.802631,0
2018-04-05,22.802631,22.802631,22.802631,22.802631,0
2018-04-06,22.802631,22.802631,22.802631,22.802631,0
2018-04-09,22.802631,22.802631,22.802631,22.802631,100
2018-04-10,22.802631,22.802631,22.802631,22.802631,100
2018-04-11,22.802631,22.802631,22.802631,22.802631,0
2018-04-12,22.802631,22.802631,22.802631,22.802631,0
2018-04-13,22.802631,22.802631,22.802631,22.802631,0
2018-04-16,22.802631,22.802631,22.802631,22.802631,0
2018-04-17,22.802631,22.802631,22.802631,22.802631,0
2018-04-18,23.395557,23.395557,23.395557,23.395557,300
2018-04-19,23.395557,23.395557,23.395557,23.395557,0
2018-04-20,23.395557,23.395557,23.395557,23.395557,0
2018-04-23,23.395557,23.395557,23.395557,23.395557,0
2018-04-24,23.079103,23.079103,23.079103,23.079103,300
2018-04-25,23.079103,23.079103,23.079103,23.079103,0
2018-04-26,23.079103,23.079103,23.079103,23.079103,0
2018-04-27,23.079103,23.079103,23.079103,23.079103,0
2018-04-30,23.079103,23.079103,23.079103,23.079103,0
2018-05-01,23.079103,23.079103,23.079103,23.079103,0
2018-05-02,23.079103,23.079103,23.079103,23.079103,0
2018-05-03,22.536366,22.536366,22.536366,22.536366,100
2018-05-04,22.536366,22.536366,22.536366,22.536366,0
2018-05-07,22.536366,22.536366,22.536366,22.536366,0
2018-05-08,22.536366,22.536366,22.536366,22.536366,0
