Date,Open,High,Low,Close,Volume
2023-07-18,24.9,24.93,24.847,24.91,519400.0
2023-07-19,25.0,25.0,24.91,24.93,384800.0
2023-07-20,25.05,25.05,24.85,24.95,342200.0
2023-07-21,24.92,24.92,24.84,24.885,146600.0
2023-07-24,24.89,24.92,24.86,24.89,294600.0
2023-07-25,24.89,24.92,24.85,24.9,271400.0
2023-07-26,24.93,24.93,24.87,24.92,238800.0
2023-07-27,24.96,24.96,24.825,24.85,86800.0
2023-07-28,24.9,24.95,24.855,24.94,100700.0
2023-07-31,24.94,24.95,24.89,24.94,162500.0
2023-08-01,24.94,24.95,24.88,24.91,324900.0
2023-08-02,24.89,24.89,24.78,24.81,640800.0
2023-08-03,24.82,24.84,24.74,24.78,142800.0
2023-08-04,24.86,24.92,24.78,24.808,90100.0
2023-08-07,24.87,24.91,24.83,24.89,116900.0
2023-08-08,25.0,25.0,24.78,24.85,211000.0
2023-08-09,24.87,24.87,24.77,24.8,42500.0
2023-08-10,24.89,24.92,24.77,24.79,142200.0
2023-08-11,24.8,24.818,24.74,24.75,226500.0
2023-08-14,24.75,24.81,24.74,24.79,145100.0
2023-08-15,24.78,24.82,24.66,24.68,156900.0
2023-08-16,24.75,24.75,24.63,24.66,110700.0
2023-08-17,24.7,24.7,24.59,24.62,356500.0
2023-08-18,24.6,24.62,24.51,24.6,81800.0
2023-08-21,24.6,24.679,24.57,24.67,117600.0
2023-08-22,24.72,24.72,24.6,24.63,153000.0
2023-08-23,24.63,24.74,24.63,24.73,174900.0
2023-08-24,24.78,24.78,24.58,24.63,154000.0
2023-08-25,24.67,24.67,24.57,24.64,44900.0
2023-08-28,24.71,24.72,24.64,24.71,81800.0
2023-08-29,24.73,24.8,24.65,24.78,177400.0
2023-08-30,24.8,24.86,24.8,24.83,595000.0
2023-08-31,24.86,24.88,24.83,24.869,210200.0
2023-09-01,24.9,24.9,24.81,24.89,187100.0
2023-09-05,24.89,24.91,24.8,24.82,40100.0
2023-09-06,24.8,24.81,24.709,24.8,104500.0
2023-09-07,24.75,24.76,24.7,24.75,72900.0
2023-09-08,24.75,24.82,24.71,24.78,188700.0
2023-09-11,24.83,24.84,24.74,24.82,78100.0
2023-09-12,24.83,24.83,24.71,24.76,107700.0
2023-09-13,24.75,24.82,24.73,24.79,39500.0
2023-09-14,24.85,24.867,24.798,24.84,50800.0
2023-09-15,24.79,24.819,24.71,24.75,66500.0
2023-09-18,24.8,24.8,24.714,24.735,50600.0
2023-09-19,24.73,24.74,24.645,24.71,71400.0
2023-09-20,24.76,24.76,24.62,24.65,82400.0
2023-09-21,24.6,24.603,24.5,24.5,170800.0
2023-09-22,24.54,24.544,24.49,24.49,65600.0
2023-09-25,24.5,24.5,24.46,24.495,51300.0
2023-09-26,24.44,24.46,24.4,24.4,61400.0
2023-09-27,24.43,24.43,24.32,24.42,60500.0
2023-09-28,24.4,24.47,24.371,24.45,68900.0
2023-09-29,24.492,24.514,24.38,24.42,29000.0
2023-10-02,24.36,24.43,24.36,24.43,81200.0
2023-10-03,24.31,24.38,24.261,24.33,83400.0
2023-10-04,24.32,24.44,24.28,24.43,272600.0
2023-10-05,24.45,24.46,24.355,24.42,787900.0
2023-10-06,24.37,24.538,24.303,24.47,71600.0
2023-10-09,24.47,24.57,24.441,24.53,73900.0
2023-10-10,24.59,24.64,24.51,24.605,45800.0
2023-10-11,24.64,24.66,24.547,24.63,78200.0
2023-10-12,24.64,24.64,24.53,24.6,75200.0
2023-10-13,24.59,24.63,24.52,24.55,38500.0
2023-10-16,24.54,24.64,24.54,24.614,46100.0
2023-10-17,24.58,24.65,24.541,24.64,137000.0
2023-10-18,24.6,24.6,24.5,24.52,36400.0
2023-10-19,24.44,24.55,24.4,24.48,85900.0
2023-10-20,24.42,24.498,24.335,24.4,36200.0
2023-10-23,24.321,24.418,24.32,24.33,62900.0
2023-10-24,24.36,24.43,24.342,24.42,62400.0
2023-10-25,24.37,24.37,24.26,24.3,82000.0
2023-10-26,24.26,24.28,24.172,24.2,98700.0
2023-10-27,24.22,24.25,24.13,24.18,67300.0
2023-10-30,24.18,24.261,24.17,24.25,33800.0
2023-10-31,24.28,24.31,24.21,24.26,50000.0
2023-11-01,24.3,24.44,24.28,24.4,161100.0
2023-11-02,24.54,24.568,24.47,24.5,83700.0
2023-11-03,24.64,24.68,24.57,24.67,64200.0
2023-11-06,24.63,24.69,24.582,24.63,91000.0
2023-11-07,24.65,24.74,24.635,24.72,137900.0
2023-11-08,24.65,24.74,24.645,24.69,60700.0
2023-11-09,24.7,24.7,24.57,24.63,33500.0
2023-11-10,24.66,24.77,24.59,24.72,115800.0
2023-11-13,24.73,24.76,24.66,24.74,69200.0
2023-11-14,24.81,24.97,24.81,24.92,87400.0
2023-11-15,24.94,24.98,24.885,24.96,119000.0
2023-11-16,24.94,24.97,24.9,24.97,88300.0
2023-11-17,24.98,24.98,24.91,24.97,40300.0
2023-11-20,24.96,25.05,24.96,25.015,50900.0
2023-11-21,25.0,25.07,25.0,25.07,74600.0
2023-11-22,24.99,25.07,24.99,25.07,25900.0
2023-11-24,25.07,25.07,25.0,25.07,17900.0
2023-11-27,25.1,25.1,25.01,25.09,54400.0
2023-11-28,25.05,25.13,25.014,25.13,31400.0
2023-11-29,25.16,25.16,25.04,25.11,48300.0
2023-11-30,25.09,25.16,25.06,25.16,30700.0
2023-12-01,25.2,25.29,25.09,25.29,69600.0
2023-12-04,25.17,25.19,25.1,25.13,61300.0
2023-12-05,25.16,25.21,25.09,25.19,36900.0
2023-12-06,25.25,25.25,25.097,25.16,38300.0
2023-12-07,25.195,25.24,25.186,25.23,54400.0
2023-12-08,25.19,25.26,25.157,25.24,45800.0
2023-12-11,25.205,25.27,25.202,25.26,23200.0
2023-12-12,25.27,25.32,25.244,25.3,31000.0
2023-12-13,25.33,25.49,25.28,25.49,39400.0
2023-12-14,25.5,25.54,25.45,25.53,30100.0
2023-12-15,25.5,25.53,25.437,25.51,20200.0
2023-12-18,25.5,25.57,25.49,25.55,41900.0
2023-12-19,25.57,25.62,25.546,25.62,35500.0
2023-12-20,25.6,25.62,25.5,25.51,26400.0
2023-12-21,25.536,25.59,25.502,25.59,25900.0
2023-12-22,25.61,25.63,25.58,25.63,13400.0
2023-12-26,25.57,25.65,25.57,25.64,10500.0
2023-12-27,25.64,25.68,25.59,25.68,7600.0
2023-12-28,25.63,25.67,25.611,25.67,17600.0
2023-12-29,25.651,25.67,25.61,25.67,12100.0
2024-01-02,25.6,25.63,25.51,25.63,145000.0
2024-01-03,25.57,25.57,25.5,25.55,23300.0
2024-01-04,25.516,25.56,25.5,25.5,15200.0
2024-01-05,25.5,25.55,25.47,25.51,29800.0
2024-01-08,25.51,25.594,25.47,25.58,161200.0
2024-01-09,25.58,25.62,25.54,25.61,52300.0
2024-01-10,25.57,25.67,25.56,25.67,28900.0
2024-01-11,25.68,25.69,25.55,25.68,55200.0
2024-01-12,25.7,25.76,25.66,25.73,21500.0
2024-01-16,25.65,25.69,25.6,25.69,21100.0
