Date,Open,High,Low,Close,Volume
2024-11-21,25.09,25.213,24.98,25.213,2500.0
2024-11-22,25.3,25.3,25.29,25.299,3100.0
2024-11-25,25.56,25.56,25.279,25.326,3200.0
2024-11-26,25.4,25.531,25.4,25.531,1300.0
2024-11-27,25.56,25.56,25.443,25.443,2100.0
2024-11-29,25.527,25.6,25.518,25.554,2700.0
2024-12-02,25.56,25.56,25.47,25.485,241100.0
2024-12-03,25.46,25.5,25.41,25.489,86000.0
2024-12-04,25.49,25.604,25.49,25.604,6400.0
2024-12-05,25.6,25.615,25.6,25.6,5000.0
2024-12-06,25.63,25.63,25.53,25.53,26700.0
2024-12-09,25.6,25.6,25.298,25.298,800.0
2024-12-10,25.27,25.32,25.201,25.201,41100.0
2024-12-11,25.32,25.35,25.265,25.265,3600.0
2024-12-12,25.228,25.248,25.187,25.187,3300.0
2024-12-13,25.08,25.1,25.08,25.084,1000.0
2024-12-16,25.15,25.29,25.024,25.024,8100.0
2024-12-17,24.9,24.928,24.9,24.928,96600.0
2024-12-18,24.87,25.14,24.476,24.476,199700.0
2024-12-19,24.52,24.58,24.358,24.358,6800.0
2024-12-20,24.669,24.69,24.56,24.588,15300.0
2024-12-23,24.658,24.7,24.658,24.658,11800.0
2024-12-24,24.64,24.787,24.64,24.787,3000.0
2024-12-26,24.849,24.85,24.82,24.824,3000.0
2024-12-27,24.42,24.48,24.27,24.48,7900.0
2024-12-30,23.82,24.28,23.82,24.16,189000.0
2024-12-31,24.09,24.09,23.89,23.904,18800.0
2025-01-02,24.09,24.09,23.67,23.875,17700.0
2025-01-03,23.93,24.29,23.93,24.239,2400.0
