Date,Open,High,Low,Close,Volume
2024-11-21,75.15,75.38,75.135,75.185,7600.0
2024-11-22,75.22,75.22,75.12,75.17,7300.0
2024-11-25,75.47,75.47,75.202,75.22,21700.0
2024-11-26,75.27,75.7,75.255,75.265,34700.0
2024-11-27,75.29,75.54,75.29,75.35,37000.0
2024-11-29,75.45,75.46,75.4,75.43,10700.0
2024-12-02,76.56,76.56,75.43,75.48,11200.0
2024-12-03,75.53,75.53,75.45,75.485,9100.0
2024-12-04,75.46,75.559,75.44,75.535,7600.0
2024-12-05,75.49,75.53,75.47,75.51,6800.0
2024-12-06,75.575,75.585,75.564,75.585,5500.0
2024-12-09,75.57,75.588,75.565,75.57,4600.0
2024-12-10,75.58,75.61,75.52,75.52,9400.0
2024-12-11,75.52,75.525,75.52,75.525,800.0
2024-12-12,75.51,75.53,75.4,75.4,14500.0
2024-12-13,75.37,75.45,75.282,75.282,18500.0
2024-12-16,75.305,75.32,75.3,75.305,2700.0
2024-12-17,75.3,75.38,75.26,75.26,11800.0
2024-12-18,75.24,75.26,75.12,75.12,3200.0
2024-12-19,75.09,75.105,74.835,74.864,11000.0
2024-12-20,74.97,74.97,74.94,74.97,1600.0
2024-12-23,74.97,75.14,74.89,74.96,24200.0
2024-12-24,74.71,74.71,74.67,74.709,2100.0
2024-12-26,74.72,74.73,74.695,74.725,4900.0
2024-12-27,74.97,74.97,74.669,74.689,14900.0
2024-12-30,74.74,74.85,74.74,74.81,7600.0
2024-12-31,74.849,74.85,74.81,74.81,4700.0
2025-01-02,74.86,74.93,74.81,74.81,9700.0
2025-01-03,74.9,75.09,74.87,74.89,46300.0
2025-01-06,74.94,74.99,74.93,74.985,5700.0
2025-01-07,74.965,74.99,74.93,74.959,14500.0
2025-01-08,74.92,74.92,74.842,74.865,11500.0
