Date,Open,High,Low,Close,Volume
2023-08-21,29.76,29.841,29.68,29.81,505400.0
2023-08-22,29.809,29.81,29.746,29.78,425900.0
2023-08-23,29.82,29.939,29.82,29.91,68400.0
2023-08-24,29.99,29.99,29.75,29.77,47200.0
2023-08-25,29.83,29.88,29.733,29.848,26300.0
2023-08-28,29.9,29.92,29.88,29.89,21100.0
2023-08-29,29.96,30.12,29.96,30.086,47800.0
2023-08-30,30.16,30.18,30.13,30.145,39700.0
2023-08-31,30.19,30.22,30.13,30.144,477700.0
2023-09-01,30.215,30.24,30.11,30.21,19200.0
2023-09-05,30.17,30.2,30.12,30.159,20100.0
2023-09-06,30.09,30.09,30.006,30.061,14800.0
2023-09-07,29.985,30.05,29.97,30.03,54900.0
2023-09-08,30.09,30.137,30.071,30.071,3900.0
2023-09-11,30.149,30.19,30.06,30.146,6400.0
2023-09-12,30.15,30.18,30.12,30.12,7800.0
2023-09-13,30.16,30.16,30.133,30.133,200.0
2023-09-14,30.21,30.26,30.155,30.213,16900.0
2023-09-15,30.152,30.16,30.11,30.118,2800.0
2023-09-18,30.1,30.15,30.061,30.11,13800.0
2023-09-19,30.05,30.099,30.0,30.066,26100.0
2023-09-20,30.12,30.14,29.95,29.978,10000.0
2023-09-21,29.82,29.85,29.752,29.752,4500.0
2023-09-22,29.835,29.835,29.739,29.739,5800.0
2023-09-25,29.75,29.78,29.75,29.76,900.0
2023-09-26,29.691,29.691,29.51,29.58,15600.0
2023-09-27,29.55,29.55,29.46,29.5,6800.0
2023-09-28,29.55,29.72,29.55,29.633,7100.0
2023-09-29,29.81,29.81,29.54,29.64,4500.0
2023-10-02,29.605,29.66,29.545,29.66,1000.0
2023-10-03,29.45,29.45,29.395,29.396,2600.0
2023-10-04,29.41,29.55,29.4,29.543,5400.0
2023-10-05,29.498,29.58,29.49,29.555,4900.0
2023-10-06,29.4,29.78,29.4,29.718,3100.0
2023-10-09,29.7,29.773,29.64,29.773,2100.0
2023-10-10,29.97,29.97,29.895,29.9,6400.0
2023-10-11,29.88,29.92,29.88,29.92,500.0
2023-10-12,29.94,29.98,29.76,29.848,10800.0
2023-10-13,29.95,29.95,29.72,29.82,28900.0
2023-10-16,29.89,30.02,29.89,29.976,6000.0
2023-10-17,29.97,29.99,29.913,29.913,1500.0
2023-10-18,29.845,29.845,29.763,29.764,4800.0
2023-10-19,29.75,29.78,29.626,29.626,13000.0
2023-10-20,29.64,29.64,29.451,29.451,2900.0
2023-10-23,29.41,29.58,29.41,29.433,13800.0
2023-10-24,29.59,29.59,29.451,29.568,2100.0
2023-10-25,29.442,29.496,29.325,29.335,5200.0
2023-10-26,29.27,29.335,29.16,29.16,20000.0
2023-10-27,29.14,29.14,29.05,29.074,2000.0
2023-10-30,29.243,29.313,29.152,29.296,2000.0
2023-10-31,29.3,29.46,29.3,29.46,9500.0
2023-11-01,29.461,29.67,29.461,29.62,8100.0
2023-11-02,29.85,29.91,29.8,29.873,7200.0
2023-11-03,29.99,30.11,29.99,30.085,10400.0
2023-11-06,30.14,30.14,30.065,30.14,9200.0
2023-11-07,30.11,30.18,30.1,30.18,6400.0
2023-11-08,30.135,30.192,30.1,30.162,8400.0
2023-11-09,30.138,30.14,30.01,30.01,3100.0
2023-11-10,30.096,30.245,30.096,30.24,1600.0
2023-11-13,30.245,30.31,30.23,30.28,4100.0
2023-11-14,30.542,30.57,30.513,30.513,1600.0
2023-11-15,30.565,30.6,30.49,30.533,9600.0
2023-11-16,30.49,30.585,30.49,30.554,474100.0
2023-11-17,30.521,30.59,30.52,30.573,10900.0
2023-11-20,30.53,30.656,30.53,30.656,1300.0
2023-11-21,30.62,30.64,30.611,30.64,1100.0
2023-11-22,30.69,30.697,30.67,30.697,5600.0
2023-11-24,30.68,30.707,30.68,30.707,700.0
2023-11-27,30.734,30.734,30.7,30.7,2000.0
2023-11-28,30.73,30.76,30.704,30.735,13300.0
2023-11-29,30.73,30.741,30.716,30.716,293200.0
2023-11-30,30.68,30.763,30.68,30.763,9900.0
2023-12-01,30.8,30.89,30.79,30.848,17500.0
2023-12-04,30.76,30.78,30.75,30.78,2300.0
2023-12-05,30.82,30.82,30.74,30.778,6200.0
2023-12-06,30.787,30.795,30.73,30.736,3200.0
2023-12-07,30.825,30.87,30.825,30.83,800.0
2023-12-08,30.82,30.89,30.82,30.89,400.0
2023-12-11,30.93,30.939,30.89,30.939,300.0
2023-12-12,30.91,31.01,30.91,31.0,4400.0
2023-12-13,31.09,31.144,31.09,31.144,3600.0
2023-12-14,31.154,31.171,31.13,31.171,1000.0
2023-12-15,31.14,31.187,31.14,31.187,1600.0
2023-12-18,31.2,31.27,31.18,31.19,398400.0
2023-12-19,31.248,31.248,31.248,31.248,100.0
2023-12-20,31.257,31.257,31.123,31.123,400.0
2023-12-21,31.19,31.21,31.175,31.208,2000.0
2023-12-22,31.212,31.241,31.212,31.241,400.0
2023-12-26,31.33,31.33,31.285,31.285,400.0
2023-12-27,31.32,31.35,31.28,31.324,9700.0
2023-12-28,31.335,31.335,31.29,31.328,7000.0
2023-12-29,31.41,31.44,31.355,31.366,22300.0
2024-01-02,31.3,31.325,31.3,31.325,100.0
2024-01-03,31.26,31.26,31.204,31.204,300.0
2024-01-04,31.18,31.212,31.176,31.176,1200.0
2024-01-05,31.24,31.25,31.18,31.225,900.0
2024-01-08,31.33,31.37,31.32,31.37,1100.0
2024-01-09,31.371,31.371,31.371,31.371,100.0
2024-01-10,31.36,31.426,31.36,31.426,600.0
2024-01-11,31.43,31.443,31.4,31.443,1800.0
2024-01-12,31.485,31.485,31.485,31.485,0.0
2024-01-16,31.47,31.47,31.377,31.427,5400.0
2024-01-17,31.32,31.374,31.32,31.374,700.0
2024-01-18,31.46,31.46,31.46,31.46,300.0
2024-01-19,31.52,31.58,31.52,31.58,600.0
2024-01-22,31.605,31.605,31.605,31.605,300.0
2024-01-23,31.635,31.635,31.635,31.635,200.0
2024-01-24,31.67,31.673,31.64,31.655,900.0
2024-01-25,31.67,31.681,31.67,31.681,700.0
2024-01-26,31.66,31.705,31.66,31.695,700.0
2024-01-29,31.669,31.736,31.669,31.736,600.0
2024-01-30,31.71,31.745,31.7,31.745,1700.0
2024-01-31,31.63,31.65,31.61,31.634,13600.0
2024-02-01,31.64,31.715,31.64,31.715,700.0
2024-02-02,31.75,31.795,31.739,31.795,37200.0
2024-02-05,31.74,31.83,31.74,31.793,4000.0
2024-02-06,31.784,31.812,31.784,31.812,900.0
2024-02-07,31.81,31.865,31.81,31.863,2300.0
2024-02-08,31.83,31.865,31.82,31.865,5700.0
2024-02-09,31.81,31.86,31.81,31.86,7200.0
2024-02-12,31.85,31.885,31.85,31.885,1500.0
2024-02-13,31.77,31.77,31.76,31.767,600.0
2024-02-14,31.8,31.86,31.8,31.86,11600.0
2024-02-15,31.83,31.86,31.83,31.86,300.0
2024-02-16,31.87,31.87,31.85,31.85,600.0
2024-02-20,31.83,31.855,31.83,31.855,100.0
2024-02-21,31.846,31.873,31.838,31.873,1100.0
2024-02-22,31.951,32.018,31.95,31.99,4400.0
2024-02-23,32.001,32.02,32.001,32.02,1200.0
2024-02-26,32.015,32.015,32.015,32.015,0.0
2024-02-27,31.98,32.03,31.98,32.03,400.0
2024-02-28,32.0,32.03,31.98,32.025,3900.0
2024-02-29,32.042,32.049,32.002,32.049,2300.0
2024-03-01,32.056,32.09,32.041,32.09,3900.0
2024-03-04,32.052,32.109,32.052,32.095,1000.0
2024-03-05,32.04,32.04,32.01,32.01,2900.0
2024-03-06,32.05,32.07,32.05,32.07,400.0
2024-03-07,32.105,32.105,32.105,32.105,100.0
2024-03-08,32.12,32.132,32.06,32.09,2800.0
2024-03-11,32.05,32.085,32.05,32.085,14600.0
2024-03-12,32.1,32.155,32.1,32.155,100.0
2024-03-13,32.12,32.17,32.11,32.12,19900.0
2024-03-14,32.1,32.125,32.1,32.125,300.0
2024-03-15,32.1,32.105,32.09,32.105,300.0
2024-03-18,32.13,32.156,32.13,32.152,600.0
2024-03-19,32.15,32.17,32.15,32.17,100.0
2024-03-20,32.213,32.213,32.16,32.21,2500.0
2024-03-21,32.16,32.234,32.16,32.234,9100.0
2024-03-22,32.255,32.255,32.255,32.255,100.0
2024-03-25,32.255,32.3,32.255,32.255,700.0
2024-03-26,32.24,32.268,32.23,32.257,3300.0
2024-03-27,32.28,32.28,32.28,32.28,100.0
2024-03-28,32.3,32.3,32.3,32.3,100.0
2024-04-01,32.27,32.3,32.27,32.29,1300.0
2024-04-02,32.26,32.26,32.26,32.26,100.0
2024-04-03,32.27,32.27,32.242,32.242,300.0
2024-04-04,32.217,32.217,32.217,32.217,100.0
2024-04-05,32.265,32.28,32.236,32.258,3200.0
2024-04-08,32.283,32.283,32.275,32.275,500.0
2024-04-09,32.26,32.285,32.24,32.28,2900.0
2024-04-10,32.29,32.299,32.22,32.269,103800.0
2024-04-11,32.306,32.306,32.306,32.306,100.0
2024-04-12,32.22,32.28,32.21,32.235,2100.0
2024-04-15,32.25,32.25,32.166,32.166,3000.0
2024-04-16,32.23,32.23,32.14,32.184,1000.0
