Date,Open,High,Low,Close,Volume
2021-04-01,25.5,25.55,25.468,25.54,683500.0
2021-04-05,26.78,26.78,25.615,25.699,91500.0
2021-04-06,25.67,25.74,25.66,25.66,15100.0
2021-04-07,25.685,25.729,25.67,25.68,6200.0
2021-04-08,25.74,25.8,25.65,25.721,28500.0
2021-04-09,25.72,25.87,25.72,25.87,36900.0
2021-04-12,25.81,25.86,25.76,25.817,18200.0
2021-04-13,25.86,25.92,25.824,25.86,17100.0
2021-04-14,25.9,25.9,25.8,25.832,19400.0
2021-04-15,25.9,25.951,25.88,25.951,8000.0
2021-04-16,25.94,25.99,25.91,25.99,5500.0
2021-04-19,25.98,25.98,25.88,25.924,11400.0
2021-04-20,25.9,25.9,25.8,25.837,18200.0
2021-04-21,25.93,25.959,25.909,25.951,3800.0
2021-04-22,25.914,26.01,25.83,25.88,13900.0
2021-04-23,25.9,26.01,25.9,25.976,29400.0
2021-04-26,26.0,26.04,26.0,26.012,10300.0
2021-04-27,25.935,26.05,25.92,25.99,4600.0
2021-04-28,26.04,26.05,25.95,25.95,3000.0
2021-04-29,25.97,26.1,25.96,26.002,20000.0
2021-04-30,26.0,26.03,25.935,25.97,12200.0
2021-05-03,26.025,26.04,25.93,25.932,4700.0
2021-05-04,25.94,25.94,25.8,25.92,5300.0
2021-05-05,25.9,25.999,25.9,25.949,12200.0
2021-05-06,25.935,26.014,25.91,26.014,3700.0
2021-05-07,26.01,26.18,26.0,26.18,7800.0
2021-05-10,26.24,26.24,26.043,26.043,12300.0
2021-05-11,25.92,25.94,25.8,25.843,8900.0
2021-05-12,25.87,25.87,25.567,25.567,45700.0
2021-05-13,25.65,25.787,25.65,25.787,3700.0
2021-05-14,25.95,26.041,25.91,25.966,1000.0
2021-05-17,25.94,25.97,25.924,25.924,1400.0
2021-05-18,25.87,25.98,25.85,25.9,6400.0
2021-05-19,25.74,25.78,25.59,25.745,25200.0
2021-05-20,25.94,25.97,25.91,25.951,5600.0
2021-05-21,25.9,25.975,25.9,25.975,1200.0
2021-05-24,26.07,26.17,26.07,26.125,14800.0
2021-05-25,26.1,26.125,26.061,26.061,6400.0
2021-05-26,26.14,26.18,26.1,26.135,4500.0
2021-05-27,26.19,26.19,26.09,26.14,3400.0
2021-05-28,26.138,26.25,26.138,26.195,5600.0
2021-06-01,26.25,26.262,26.185,26.185,11400.0
2021-06-02,26.23,26.23,26.13,26.16,5300.0
2021-06-03,26.17,26.19,26.095,26.095,6500.0
2021-06-04,26.26,26.26,26.14,26.186,1900.0
2021-06-07,26.19,26.27,26.17,26.244,6700.0
2021-06-08,26.26,26.26,26.2,26.235,500.0
2021-06-09,26.2,26.2,26.13,26.139,9900.0
2021-06-10,26.22,26.255,26.12,26.255,3000.0
2021-06-11,26.23,26.37,26.21,26.298,5300.0
2021-06-14,26.22,26.37,26.205,26.32,4600.0
2021-06-15,26.32,26.38,26.32,26.32,11400.0
2021-06-16,26.329,26.35,26.209,26.28,5200.0
2021-06-17,26.265,26.275,26.265,26.275,700.0
2021-06-18,26.082,26.12,26.082,26.12,600.0
2021-06-21,26.28,26.33,26.17,26.255,2800.0
2021-06-22,26.337,26.345,26.337,26.345,3400.0
2021-06-23,26.44,26.45,26.35,26.35,3100.0
2021-06-24,26.31,26.5,26.31,26.415,3000.0
2021-06-25,26.39,26.481,26.35,26.481,11800.0
2021-06-28,26.35,26.52,26.35,26.46,700.0
2021-06-29,26.485,26.485,26.485,26.485,100.0
2021-06-30,26.41,26.46,26.41,26.46,404100.0
2021-07-01,26.44,26.57,26.44,26.57,58900.0
2021-07-02,26.64,26.65,26.585,26.585,7600.0
2021-07-06,26.434,26.57,26.434,26.57,1500.0
2021-07-07,26.477,26.5,26.477,26.5,1800.0
2021-07-08,26.441,26.441,26.441,26.441,100.0
2021-07-09,26.64,26.64,26.55,26.55,800.0
2021-07-12,26.58,26.58,26.58,26.58,100.0
2021-07-13,26.45,26.69,26.45,26.57,7400.0
2021-07-14,26.56,26.56,26.51,26.53,5300.0
2021-07-15,26.49,26.5,26.45,26.47,5000.0
2021-07-16,26.51,26.6,26.4,26.4,6900.0
2021-07-19,26.18,26.23,26.12,26.2,8100.0
2021-07-20,26.31,26.41,26.31,26.39,6200.0
2021-07-21,26.45,26.48,26.43,26.48,6200.0
2021-07-22,26.49,26.52,26.48,26.52,4900.0
2021-07-23,26.55,26.71,26.54,26.6,5400.0
2021-07-26,26.59,26.71,26.54,26.57,3000.0
2021-07-27,26.53,26.55,26.464,26.55,1100.0
2021-07-28,26.55,26.57,26.53,26.56,900.0
2021-07-29,26.61,26.66,26.58,26.58,2700.0
2021-07-30,26.551,26.551,26.551,26.551,100.0
2021-08-02,26.6,26.6,26.56,26.587,1300.0
2021-08-03,26.595,26.613,26.595,26.613,800.0
2021-08-04,26.6,26.647,26.56,26.647,1000.0
2021-08-05,26.64,26.695,26.611,26.695,2000.0
2021-08-06,26.783,26.783,26.783,26.783,1000.0
2021-08-09,26.77,26.77,26.77,26.77,1000.0
2021-08-10,26.73,26.769,26.73,26.769,200.0
2021-08-11,26.77,26.77,26.77,26.77,100.0
2021-08-12,26.775,26.775,26.775,26.775,0.0
2021-08-13,26.78,26.806,26.78,26.806,300.0
2021-08-16,26.77,26.83,26.7,26.71,423700.0
2021-08-17,26.677,26.677,26.677,26.677,100.0
2021-08-18,26.77,26.77,26.55,26.619,2700.0
2021-08-19,26.6,26.6,26.6,26.6,0.0
2021-08-20,26.68,26.718,26.6,26.718,2200.0
2021-08-23,26.723,26.918,26.71,26.8,1700.0
2021-08-24,26.83,26.83,26.68,26.68,3100.0
2021-08-25,26.84,26.84,26.79,26.79,600.0
2021-08-26,26.74,26.74,26.675,26.675,100.0
2021-08-27,26.75,26.77,26.75,26.77,500.0
2021-08-30,26.8,26.841,26.8,26.841,400.0
2021-08-31,26.825,26.825,26.825,26.825,800.0
2021-09-01,26.79,26.845,26.79,26.845,600.0
2021-09-02,26.92,26.92,26.858,26.858,600.0
2021-09-03,26.8,26.868,26.8,26.868,5300.0
2021-09-07,26.85,26.874,26.751,26.82,1500.0
2021-09-08,26.71,26.81,26.71,26.81,1200.0
2021-09-09,26.78,26.78,26.78,26.78,100.0
2021-09-10,26.77,26.77,26.77,26.77,200.0
2021-09-13,26.707,26.707,26.707,26.707,100.0
2021-09-14,26.69,26.69,26.66,26.68,1100.0
2021-09-15,26.75,26.84,26.75,26.84,1500.0
2021-09-16,26.82,26.823,26.74,26.823,2200.0
2021-09-17,26.76,26.76,26.667,26.667,700.0
2021-09-20,26.6,26.6,26.34,26.487,3400.0
2021-09-21,26.557,26.6,26.46,26.53,3500.0
2021-09-22,26.648,26.648,26.648,26.648,0.0
2021-09-23,26.82,26.82,26.82,26.82,100.0
2021-09-24,26.76,26.83,26.76,26.78,2000.0
2021-09-27,26.76,26.77,26.741,26.77,600.0
2021-09-28,26.62,26.62,26.607,26.607,800.0
2021-09-29,26.55,26.588,26.55,26.571,400.0
2021-09-30,26.49,26.62,26.489,26.489,4000.0
2021-10-01,26.495,26.613,26.49,26.613,900.0
2021-10-04,26.37,26.479,26.37,26.479,4600.0
2021-10-05,26.618,26.618,26.618,26.618,400.0
2021-10-06,26.646,26.646,26.646,26.646,100.0
2021-10-07,26.746,26.801,26.73,26.73,1300.0
2021-10-08,26.765,26.83,26.7,26.737,2900.0
2021-10-11,26.69,26.69,26.69,26.69,100.0
2021-10-12,26.67,26.735,26.64,26.64,2200.0
2021-10-13,26.714,26.736,26.714,26.736,500.0
2021-10-14,26.83,26.901,26.82,26.85,1500.0
2021-10-15,26.944,26.944,26.931,26.931,200.0
2021-10-18,26.981,26.981,26.96,26.96,500.0
2021-10-19,27.009,27.009,27.009,27.009,100.0
2021-10-20,27.051,27.051,27.051,27.051,100.0
2021-10-21,27.068,27.068,27.068,27.068,0.0
2021-10-22,27.08,27.08,27.059,27.059,2100.0
2021-10-25,27.04,27.09,27.04,27.09,1900.0
2021-10-26,27.13,27.15,27.08,27.105,1200.0
2021-10-27,27.055,27.055,27.055,27.055,200.0
2021-10-28,27.035,27.105,27.03,27.105,500.0
2021-10-29,27.131,27.131,27.131,27.131,0.0
2021-11-01,27.13,27.13,27.13,27.13,200.0
2021-11-02,27.125,27.21,27.125,27.187,3900.0
2021-11-03,27.19,27.2,27.17,27.2,5900.0
2021-11-04,27.28,27.28,27.22,27.265,1100.0
2021-11-05,27.29,27.29,27.26,27.264,6200.0
2021-11-08,27.265,27.265,27.24,27.24,2100.0
2021-11-09,27.24,27.24,27.216,27.216,700.0
2021-11-10,27.2,27.2,27.185,27.185,300.0
2021-11-11,27.16,27.21,27.16,27.21,300.0
2021-11-12,27.244,27.244,27.244,27.244,100.0
2021-11-15,27.244,27.244,27.244,27.244,0.0
2021-11-16,27.273,27.273,27.273,27.273,0.0
2021-11-17,27.258,27.258,27.258,27.258,100.0
2021-11-18,27.22,27.248,27.22,27.248,8100.0
2021-11-19,27.235,27.235,27.235,27.235,0.0
2021-11-22,27.29,27.29,27.213,27.213,25500.0
2021-11-23,27.185,27.195,27.185,27.195,400.0
2021-11-24,27.225,27.225,27.225,27.225,100.0
2021-11-26,27.09,27.09,26.973,26.973,3500.0
2021-11-29,27.15,27.184,27.15,27.184,100.0
2021-11-30,27.115,27.115,26.969,26.969,9500.0
2021-12-01,26.997,26.997,26.869,26.869,100.0
2021-12-02,26.91,26.97,26.91,26.97,8200.0
