Date,Open,High,Low,Close,Volume
2021-12-20,30.21,30.23,30.19,30.226,5600.0
2021-12-21,30.292,30.55,30.292,30.5,85600.0
2021-12-22,30.5,30.62,30.5,30.593,23300.0
2021-12-23,30.625,30.73,30.625,30.7,33300.0
2021-12-27,30.75,30.82,30.74,30.785,16200.0
2021-12-28,30.84,30.85,30.81,30.83,3800.0
2021-12-29,30.85,30.9,30.81,30.9,22200.0
2021-12-30,30.88,30.88,30.795,30.795,7600.0
2021-12-31,30.82,30.86,30.795,30.795,15700.0
2022-01-03,30.85,30.865,30.833,30.865,1900.0
2022-01-04,30.89,30.94,30.875,30.875,5100.0
2022-01-05,30.899,30.899,30.65,30.65,5900.0
2022-01-06,30.65,30.69,30.585,30.64,8600.0
2022-01-07,30.64,30.66,30.57,30.6,7100.0
2022-01-10,30.54,30.63,30.392,30.63,19100.0
2022-01-11,30.64,30.76,30.61,30.72,17900.0
2022-01-12,30.85,30.859,30.76,30.775,10000.0
2022-01-13,30.84,30.84,30.597,30.597,28500.0
2022-01-14,30.54,30.61,30.495,30.595,18000.0
2022-01-18,30.59,30.59,30.37,30.37,16600.0
2022-01-19,30.46,30.47,30.255,30.255,13300.0
2022-01-20,30.38,30.38,30.09,30.09,32600.0
2022-01-21,30.02,30.1,29.8,29.82,508600.0
2022-01-24,29.57,29.88,29.16,29.837,57700.0
2022-01-25,29.399,29.79,29.399,29.632,23000.0
2022-01-26,29.792,30.08,29.55,29.64,26900.0
2022-01-27,29.85,29.885,29.51,29.564,34600.0
2022-01-28,29.67,29.96,29.459,29.96,12800.0
2022-01-31,29.942,30.24,29.942,30.207,17600.0
2022-02-01,30.27,30.355,30.191,30.355,15600.0
2022-02-02,30.44,30.53,30.344,30.474,36400.0
2022-02-03,30.31,30.32,30.11,30.12,18500.0
2022-02-04,30.13,30.28,30.03,30.21,7200.0
2022-02-07,30.2,30.2,30.12,30.12,18900.0
2022-02-08,30.13,30.289,30.117,30.279,24900.0
2022-02-09,30.414,30.48,30.414,30.48,14600.0
2022-02-10,30.41,30.41,30.156,30.156,32500.0
2022-02-11,30.2,30.21,29.83,29.926,114100.0
2022-02-14,29.82,29.94,29.73,29.838,31000.0
2022-02-15,30.02,30.13,30.02,30.091,10700.0
2022-02-16,30.08,30.22,29.98,30.173,15000.0
2022-02-17,30.049,30.049,29.76,29.8,47200.0
2022-02-18,29.79,29.79,29.63,29.697,20000.0
2022-02-22,29.66,29.66,29.427,29.514,11100.0
2022-02-23,29.69,29.699,29.231,29.231,4500.0
2022-02-24,28.9,29.527,28.9,29.527,4500.0
2022-02-25,29.7,29.872,29.7,29.86,2300.0
2022-02-28,29.71,29.8,29.64,29.8,26200.0
2022-03-01,29.725,29.75,29.499,29.51,107600.0
2022-03-02,29.656,29.9,29.656,29.84,34200.0
2022-03-03,29.86,29.86,29.701,29.701,3700.0
2022-03-04,29.48,29.595,29.48,29.593,3100.0
2022-03-07,29.39,29.39,29.131,29.131,10500.0
2022-03-08,29.022,29.35,28.965,29.04,5300.0
2022-03-09,29.351,29.5,29.351,29.423,3000.0
2022-03-10,29.27,29.4,29.205,29.357,23900.0
2022-03-11,29.342,29.35,29.151,29.151,21200.0
2022-03-14,29.18,29.18,29.0,29.005,3200.0
2022-03-15,29.155,29.415,29.155,29.38,8500.0
2022-03-16,29.7,29.717,29.41,29.717,3300.0
2022-03-17,29.76,29.958,29.76,29.938,8400.0
2022-03-18,29.99,30.135,29.98,30.135,5000.0
2022-03-21,30.09,30.2,30.05,30.15,7800.0
2022-03-22,30.319,30.34,30.24,30.24,296600.0
2022-03-23,30.2,30.24,30.11,30.159,30700.0
2022-03-24,30.23,30.34,30.22,30.339,4200.0
2022-03-25,30.41,30.44,30.34,30.357,1400.0
2022-03-28,30.345,30.445,30.345,30.445,800.0
2022-03-29,30.57,30.69,30.552,30.627,5100.0
2022-03-30,30.61,30.61,30.517,30.517,7400.0
2022-03-31,30.539,30.569,30.38,30.38,9800.0
2022-04-01,30.41,30.41,30.37,30.383,16600.0
2022-04-04,30.51,30.54,30.49,30.511,3500.0
2022-04-05,30.54,30.55,30.335,30.36,14900.0
2022-04-06,30.13,30.278,30.08,30.215,18800.0
2022-04-07,30.231,30.32,30.071,30.31,30800.0
2022-04-08,30.29,30.35,30.22,30.24,5500.0
2022-04-11,30.12,30.12,29.975,29.975,26600.0
2022-04-12,30.17,30.17,29.88,29.921,7100.0
2022-04-13,30.0,30.18,29.98,30.14,3600.0
2022-04-14,30.21,30.21,29.941,29.995,62300.0
2022-04-18,29.968,30.005,29.89,29.901,14700.0
2022-04-19,30.037,30.204,30.037,30.204,2700.0
2022-04-20,30.33,30.33,30.18,30.222,32200.0
2022-04-21,30.37,30.37,29.944,29.95,27400.0
2022-04-22,29.725,29.725,29.526,29.526,10200.0
2022-04-25,29.35,29.615,29.196,29.615,6800.0
2022-04-26,29.37,29.37,29.143,29.143,2800.0
2022-04-27,29.19,29.42,29.14,29.186,17500.0
2022-04-28,29.27,29.6,29.16,29.59,6100.0
2022-04-29,29.39,29.39,28.935,28.935,11300.0
2022-05-02,28.89,29.052,28.75,29.052,28300.0
2022-05-03,29.11,29.22,29.11,29.19,10100.0
2022-05-04,29.14,29.7,29.104,29.683,18800.0
2022-05-05,29.17,29.17,28.888,29.04,43500.0
2022-05-06,28.77,29.08,28.74,29.01,87700.0
2022-05-09,28.7,28.7,28.42,28.44,29900.0
2022-05-10,28.64,28.66,28.355,28.52,11000.0
2022-05-11,28.61,28.66,28.266,28.266,16700.0
2022-05-12,28.16,28.36,27.985,28.228,22800.0
2022-05-13,28.4,28.72,28.4,28.65,8400.0
2022-05-16,28.56,28.725,28.545,28.603,1800.0
2022-05-17,28.798,28.96,28.784,28.96,12400.0
2022-05-18,28.61,28.61,28.22,28.27,11500.0
2022-05-19,28.06,28.36,28.057,28.25,12600.0
2022-05-20,28.27,28.271,27.87,28.196,18400.0
2022-05-23,28.34,28.54,28.295,28.468,11600.0
2022-05-24,28.15,28.4,28.15,28.364,7600.0
2022-05-25,28.385,28.6,28.375,28.538,3500.0
2022-05-26,28.75,28.9,28.75,28.859,5500.0
2022-05-27,29.07,29.186,29.07,29.186,300.0
2022-05-31,28.98,29.235,28.98,29.159,3100.0
2022-06-01,29.12,29.135,28.918,29.05,26200.0
2022-06-02,28.96,29.26,28.96,29.25,59200.0
2022-06-03,29.103,29.103,28.996,29.051,9500.0
2022-06-06,29.25,29.25,29.04,29.106,18600.0
2022-06-07,29.109,29.27,29.072,29.27,2100.0
2022-06-08,29.245,29.3,29.03,29.105,4000.0
2022-06-09,29.1,29.1,28.747,28.747,7600.0
2022-06-10,28.4,28.4,28.3,28.3,11800.0
2022-06-13,27.809,27.85,27.566,27.628,39000.0
2022-06-14,27.65,27.67,27.56,27.615,15000.0
2022-06-15,27.9,28.137,27.74,27.94,6100.0
2022-06-16,27.36,27.405,27.27,27.27,4500.0
2022-06-17,27.48,27.53,27.27,27.44,159400.0
2022-06-21,27.81,27.859,27.773,27.795,31200.0
2022-06-22,27.66,27.969,27.64,27.826,24800.0
2022-06-23,27.85,27.978,27.772,27.978,5100.0
2022-06-24,28.309,28.38,28.257,28.352,5800.0
2022-06-27,28.51,28.51,28.33,28.33,11700.0
2022-06-28,28.425,28.425,28.064,28.064,4300.0
2022-06-29,28.02,28.09,27.97,28.062,9300.0
2022-06-30,27.81,28.03,27.81,27.9,5500.0
2022-07-01,28.0,28.096,27.9,28.096,8500.0
2022-07-05,27.85,28.112,27.814,28.112,5600.0
2022-07-06,28.09,28.245,28.09,28.185,5800.0
2022-07-07,28.352,28.405,28.352,28.405,1100.0
2022-07-08,28.33,28.48,28.263,28.43,3400.0
2022-07-11,28.29,28.33,28.228,28.25,213200.0
2022-07-12,28.23,28.28,28.1,28.115,19900.0
2022-07-13,27.95,28.18,27.93,28.063,37200.0
2022-07-14,27.95,28.05,27.91,28.03,3400.0
2022-07-15,28.17,28.34,28.17,28.29,20000.0
2022-07-18,28.49,28.49,28.19,28.19,4700.0
2022-07-19,28.509,28.58,28.509,28.58,1000.0
2022-07-20,28.71,28.71,28.64,28.663,1100.0
2022-07-21,28.66,28.86,28.6,28.86,30900.0
2022-07-22,28.82,28.82,28.58,28.67,298600.0
2022-07-25,28.718,28.78,28.69,28.73,45500.0
2022-07-26,28.67,28.67,28.501,28.565,24200.0
2022-07-27,28.75,28.99,28.75,28.972,12900.0
2022-07-28,28.93,29.16,28.89,29.106,7900.0
2022-07-29,29.31,29.38,29.158,29.321,19000.0
2022-08-01,29.25,29.435,29.191,29.28,5400.0
2022-08-02,29.12,29.34,29.12,29.2,4900.0
2022-08-03,29.18,29.44,29.18,29.4,3500.0
2022-08-04,29.355,29.41,29.35,29.37,7000.0
2022-08-05,29.33,29.38,29.26,29.345,13000.0
2022-08-08,29.43,29.43,29.312,29.34,5800.0
2022-08-09,29.32,29.32,29.23,29.28,10400.0
2022-08-10,29.474,29.6,29.474,29.57,4500.0
2022-08-11,29.67,29.71,29.585,29.6,8600.0
2022-08-12,29.55,29.85,29.55,29.85,11800.0
2022-08-15,29.77,29.909,29.77,29.89,1300.0
2022-08-16,29.93,29.97,29.92,29.92,17200.0
2022-08-17,29.77,29.877,29.72,29.83,6800.0
2022-08-18,29.78,29.89,29.769,29.84,206800.0
2022-08-19,29.765,29.765,29.62,29.692,283400.0
2022-08-22,29.37,29.425,29.31,29.35,12300.0
2022-08-23,29.36,29.4,29.328,29.35,4000.0
2022-08-24,29.416,29.43,29.334,29.4,9800.0
2022-08-25,29.54,29.55,29.412,29.55,12400.0
2022-08-26,29.52,29.53,29.135,29.135,5000.0
2022-08-29,28.99,29.092,28.99,29.054,2700.0
2022-08-30,29.0,29.005,28.85,28.883,34900.0
2022-08-31,28.98,28.98,28.839,28.85,7200.0
2022-09-01,28.71,28.863,28.654,28.863,4600.0
2022-09-02,29.1,29.1,28.74,28.74,16200.0
2022-09-06,28.77,28.776,28.63,28.725,5400.0
2022-09-07,28.774,29.01,28.774,29.01,5300.0
2022-09-08,28.91,29.06,28.801,29.055,5600.0
2022-09-09,29.21,29.29,29.21,29.268,1600.0
