Date,Open,High,Low,Close,Volume
2021-04-01,25.52,25.64,25.52,25.64,137900.0
2021-04-05,25.8,25.93,25.8,25.918,4500.0
2021-04-06,25.94,25.94,25.882,25.882,300.0
2021-04-07,25.9,25.95,25.9,25.9,2800.0
2021-04-08,25.96,26.03,25.96,25.977,6800.0
2021-04-09,26.03,26.09,26.03,26.09,18100.0
2021-04-12,26.1,26.11,26.07,26.099,4700.0
2021-04-13,26.18,26.18,26.141,26.18,2500.0
2021-04-14,26.205,26.24,26.091,26.091,4800.0
2021-04-15,26.23,26.31,26.23,26.265,900.0
2021-04-16,26.359,26.359,26.29,26.312,900.0
2021-04-19,26.2,26.327,26.183,26.239,9300.0
2021-04-20,26.21,26.21,26.08,26.089,2100.0
2021-04-21,26.16,26.28,26.16,26.276,7100.0
2021-04-22,26.28,26.28,26.123,26.123,18500.0
2021-04-23,26.24,26.35,26.24,26.274,4400.0
2021-04-26,26.3,26.35,26.3,26.302,1200.0
2021-04-27,26.32,26.38,26.29,26.37,4400.0
2021-04-28,26.331,26.41,26.331,26.36,7700.0
2021-04-29,26.355,26.408,26.342,26.408,1300.0
2021-04-30,26.38,26.38,26.29,26.29,2600.0
2021-05-03,26.41,26.41,26.353,26.353,1200.0
2021-05-04,26.23,26.248,26.08,26.248,2200.0
2021-05-05,26.37,26.37,26.284,26.284,400.0
2021-05-06,26.37,26.396,26.37,26.396,400.0
2021-05-07,26.554,26.554,26.554,26.554,100.0
2021-05-10,26.53,26.53,26.427,26.427,4200.0
2021-05-11,26.29,26.29,26.199,26.225,2200.0
2021-05-12,25.85,25.85,25.796,25.796,1600.0
2021-05-13,26.16,26.16,26.117,26.117,600.0
2021-05-14,26.36,26.492,26.36,26.429,2200.0
2021-05-17,26.37,26.37,26.37,26.37,100.0
2021-05-18,26.265,26.265,26.265,26.265,100.0
2021-05-19,26.07,26.186,26.07,26.186,174100.0
2021-05-20,26.43,26.43,26.28,26.399,2300.0
2021-05-21,26.42,26.422,26.38,26.416,3400.0
2021-05-24,26.52,26.595,26.52,26.574,2600.0
2021-05-25,26.61,26.63,26.54,26.564,4800.0
2021-05-26,26.66,26.66,26.625,26.625,900.0
2021-05-27,26.665,26.683,26.61,26.683,300.0
2021-05-28,26.66,26.76,26.66,26.682,10800.0
2021-06-01,26.69,26.69,26.69,26.69,800.0
2021-06-02,26.65,26.734,26.65,26.734,1500.0
2021-06-03,26.65,26.665,26.65,26.665,600.0
2021-06-04,26.83,26.83,26.804,26.804,800.0
2021-06-07,26.71,26.799,26.71,26.799,900.0
2021-06-08,26.85,26.87,26.75,26.801,1200.0
2021-06-09,26.81,26.81,26.776,26.776,100.0
2021-06-10,26.86,26.86,26.86,26.86,100.0
2021-06-11,26.82,26.89,26.82,26.89,1700.0
2021-06-14,26.901,26.901,26.901,26.901,100.0
