Date,Open,High,Low,Close,Volume
2021-07-13,29.76,29.76,29.64,29.64,15500.0
2021-07-14,29.71,29.71,29.652,29.652,300.0
2021-07-15,29.6,29.613,29.6,29.613,10900.0
2021-07-16,29.64,29.66,29.515,29.515,49700.0
2021-07-19,29.41,29.41,29.22,29.33,36000.0
2021-07-20,29.508,29.58,29.44,29.556,26000.0
2021-07-21,29.61,29.65,29.603,29.603,9000.0
2021-07-22,29.67,29.7,29.6,29.64,17200.0
2021-07-23,29.76,29.83,29.748,29.75,9400.0
2021-07-26,29.7,29.82,29.7,29.77,3400.0
2021-07-27,29.69,29.74,29.69,29.706,1300.0
2021-07-28,29.76,29.795,29.67,29.744,5500.0
2021-07-29,29.79,29.79,29.79,29.79,1300.0
2021-07-30,29.8,29.8,29.767,29.767,400.0
2021-08-02,29.81,29.81,29.725,29.725,2100.0
2021-08-03,29.75,29.859,29.732,29.8,19200.0
2021-08-04,29.81,29.82,29.72,29.81,2700.0
2021-08-05,29.85,29.85,29.821,29.821,5400.0
2021-08-06,29.89,29.89,29.86,29.86,600.0
2021-08-09,32.271,32.271,29.835,29.835,8200.0
2021-08-10,29.89,29.91,29.844,29.844,2400.0
2021-08-11,29.87,29.881,29.87,29.881,300.0
2021-08-12,29.911,29.911,29.911,29.911,100.0
2021-08-13,29.932,29.932,29.932,29.932,0.0
2021-08-16,29.9,29.96,29.9,29.96,1400.0
2021-08-17,29.869,29.869,29.869,29.869,800.0
2021-08-18,29.898,29.9,29.742,29.742,1600.0
2021-08-19,29.8,29.8,29.735,29.736,8100.0
2021-08-20,29.87,29.886,29.846,29.846,700.0
2021-08-23,29.96,29.96,29.95,29.95,400.0
2021-08-24,29.99,29.99,29.947,29.947,200.0
2021-08-25,29.99,30.049,29.99,29.99,1000.0
2021-08-26,29.917,29.917,29.917,29.917,0.0
2021-08-27,29.9,30.09,29.9,30.028,500.0
2021-08-30,30.053,30.053,30.053,30.053,600.0
2021-08-31,30.09,30.097,30.039,30.039,1700.0
2021-09-01,30.0,30.05,30.0,30.05,3500.0
2021-09-02,30.13,30.13,29.991,30.07,22400.0
2021-09-03,30.0,30.12,29.96,30.06,14000.0
2021-09-07,29.98,30.058,29.96,30.01,27400.0
2021-09-08,29.92,29.992,29.91,29.992,3600.0
2021-09-09,29.98,29.98,29.941,29.941,600.0
2021-09-10,29.98,29.98,29.85,29.85,2200.0
2021-09-13,29.885,29.885,29.885,29.885,0.0
2021-09-14,29.93,29.93,29.843,29.843,400.0
2021-09-15,29.941,29.941,29.941,29.941,700.0
2021-09-16,29.959,30.01,29.906,29.93,10100.0
2021-09-17,29.86,29.86,29.86,29.86,100.0
2021-09-20,31.0,31.0,29.51,29.611,1000.0
2021-09-21,29.73,29.73,29.649,29.649,500.0
2021-09-22,29.84,29.84,29.8,29.81,2500.0
2021-09-23,29.86,30.02,29.86,29.86,53500.0
2021-09-24,29.96,29.96,29.96,29.96,100.0
2021-09-27,29.86,29.906,29.86,29.906,700.0
2021-09-28,29.63,29.67,29.61,29.659,1000.0
2021-09-29,29.67,29.79,29.63,29.695,1400.0
2021-09-30,29.762,29.762,29.59,29.6,1500.0
2021-10-01,29.52,29.731,29.52,29.731,800.0
2021-10-04,29.47,29.564,29.47,29.564,100.0
2021-10-05,29.705,29.708,29.705,29.708,300.0
2021-10-06,29.51,29.77,29.51,29.747,800.0
2021-10-07,29.82,29.842,29.82,29.842,200.0
2021-10-08,29.8,29.842,29.8,29.842,200.0
2021-10-11,29.82,29.86,29.783,29.783,600.0
2021-10-12,29.68,29.77,29.68,29.77,100.0
2021-10-13,29.66,29.827,29.66,29.827,600.0
2021-10-14,29.87,29.999,29.87,29.999,400.0
2021-10-15,29.97,29.995,29.97,29.995,600.0
2021-10-18,30.082,30.097,30.082,30.097,200.0
2021-10-19,30.03,30.166,30.03,30.166,300.0
2021-10-20,30.174,30.201,30.174,30.201,200.0
2021-10-21,30.1,30.239,30.1,30.239,300.0
2021-10-22,30.13,30.23,30.13,30.23,100.0
