Date,Open,High,Low,Close,Volume
2021-04-01,25.61,25.7,25.45,25.7,26800.0
2021-04-05,25.87,25.99,25.87,25.98,13900.0
2021-04-06,25.944,25.975,25.9,25.9,7700.0
2021-04-07,25.95,25.95,25.88,25.892,1200.0
2021-04-08,26.08,26.08,25.93,26.025,8700.0
2021-04-09,26.039,26.16,26.039,26.137,18500.0
2021-04-12,26.2,26.2,26.06,26.131,6500.0
2021-04-13,26.15,26.25,26.15,26.168,3800.0
2021-04-14,26.26,26.26,26.135,26.18,3300.0
2021-04-15,26.29,26.35,26.28,26.35,6700.0
2021-04-16,26.42,26.42,26.336,26.389,7600.0
2021-04-19,26.34,26.34,26.24,26.242,8200.0
2021-04-20,26.265,26.265,26.11,26.151,5000.0
2021-04-21,26.19,26.36,26.158,26.336,6300.0
2021-04-22,26.33,26.4,26.032,26.23,42400.0
2021-04-23,26.17,26.43,26.17,26.37,24700.0
2021-04-26,26.42,26.44,26.356,26.425,2800.0
2021-04-27,26.47,26.47,26.294,26.38,2500.0
2021-04-28,26.46,26.47,26.42,26.44,3200.0
2021-04-29,26.54,26.57,26.37,26.5,20800.0
2021-04-30,26.44,26.44,26.274,26.436,13000.0
2021-05-03,26.49,26.5,26.459,26.46,4700.0
2021-05-04,26.299,26.33,26.11,26.253,9200.0
2021-05-05,26.41,26.41,26.3,26.365,3100.0
2021-05-06,26.28,26.448,26.28,26.448,4000.0
2021-05-07,26.35,26.67,26.35,26.63,7000.0
2021-05-10,26.57,26.67,26.455,26.455,8000.0
2021-05-11,26.22,26.28,26.16,26.224,3600.0
2021-05-12,26.16,26.16,25.725,25.738,4700.0
2021-05-13,25.98,26.105,25.98,26.097,1500.0
2021-05-14,26.26,26.435,26.26,26.435,1100.0
2021-05-17,26.32,26.34,26.24,26.34,7500.0
2021-05-18,26.29,26.37,26.189,26.189,13400.0
2021-05-19,25.96,26.039,25.86,26.039,4000.0
2021-05-20,26.265,26.38,26.265,26.38,3000.0
2021-05-21,26.354,26.354,26.354,26.354,1700.0
2021-05-24,26.46,26.644,26.46,26.585,5400.0
2021-05-25,26.568,26.59,26.51,26.51,3400.0
2021-05-26,26.57,26.59,26.565,26.565,1100.0
2021-05-27,26.62,26.67,26.62,26.65,9600.0
2021-05-28,26.64,26.7,26.64,26.675,1400.0
