Date,Open,High,Low,Close,Volume
2021-10-01,24.22,24.42,24.049,24.326,50800.0
2021-10-04,24.23,24.23,24.0,24.028,8500.0
2021-10-05,24.34,24.34,24.279,24.279,600.0
2021-10-06,24.165,24.34,24.165,24.328,4500.0
2021-10-07,24.57,24.61,24.443,24.443,27500.0
2021-10-08,24.52,24.535,24.454,24.454,1600.0
2021-10-11,24.53,24.58,24.323,24.323,300.0
2021-10-12,24.3,24.3,24.3,24.3,100.0
2021-10-13,24.273,24.45,24.273,24.392,700.0
2021-10-14,24.605,24.745,24.605,24.686,2800.0
2021-10-15,24.805,24.815,24.805,24.815,200.0
2021-10-18,24.873,24.873,24.873,24.873,100.0
2021-10-19,24.965,25.048,24.962,24.985,4300.0
2021-10-20,25.14,25.14,25.046,25.046,1500.0
2021-10-21,25.07,25.13,25.07,25.124,1000.0
2021-10-22,25.105,25.105,25.105,25.105,100.0
2021-10-25,25.24,25.24,25.187,25.187,300.0
2021-10-26,25.24,25.24,25.23,25.23,200.0
2021-10-27,25.27,25.29,25.17,25.18,25800.0
2021-10-28,25.28,25.31,25.27,25.28,12400.0
2021-10-29,25.294,25.294,25.294,25.294,100.0
2021-11-01,25.298,25.298,25.298,25.298,100.0
2021-11-02,25.38,25.41,25.301,25.361,8100.0
2021-11-03,25.4,25.47,25.39,25.47,1200.0
2021-11-04,25.485,25.491,25.47,25.491,600.0
2021-11-05,25.565,25.565,25.545,25.545,300.0
2021-11-08,25.545,25.545,25.545,25.545,100.0
2021-11-09,25.5,25.5,25.436,25.474,3300.0
2021-11-10,25.4,25.45,25.35,25.41,9300.0
2021-11-11,25.44,25.44,25.405,25.405,300.0
2021-11-12,25.545,25.545,25.545,25.545,0.0
2021-11-15,25.523,25.56,25.506,25.506,1700.0
2021-11-16,25.638,25.638,25.565,25.565,400.0
2021-11-17,25.57,25.59,25.54,25.56,8600.0
2021-11-18,25.49,25.61,25.474,25.59,3300.0
2021-11-19,25.559,25.559,25.49,25.49,500.0
2021-11-22,25.6,25.61,25.452,25.452,2800.0
2021-11-23,25.4,25.472,25.4,25.472,5200.0
2021-11-24,25.558,25.558,25.504,25.504,300.0
2021-11-26,25.35,25.35,25.074,25.074,12000.0
2021-11-29,25.27,25.44,25.255,25.36,14100.0
2021-11-30,25.26,25.33,24.987,24.987,4900.0
2021-12-01,25.27,25.36,24.85,24.85,5800.0
2021-12-02,25.045,25.045,25.006,25.006,500.0
2021-12-03,24.83,24.84,24.801,24.801,900.0
2021-12-06,24.945,25.067,24.945,25.067,200.0
2021-12-07,25.427,25.427,25.427,25.427,0.0
2021-12-08,25.58,25.59,25.446,25.53,4300.0
2021-12-09,25.47,25.475,25.426,25.426,500.0
2021-12-10,25.58,25.58,25.58,25.58,0.0
2021-12-13,25.63,25.63,25.467,25.467,100.0
2021-12-14,25.25,25.29,25.25,25.29,19600.0
2021-12-15,25.255,25.545,25.21,25.545,35600.0
2021-12-16,25.485,25.485,25.39,25.418,500.0
2021-12-17,25.325,25.325,25.251,25.251,700.0
2021-12-20,25.0,25.071,24.886,25.071,4500.0
2021-12-21,25.346,25.346,25.346,25.346,100.0
2021-12-22,25.53,25.58,25.523,25.523,2800.0
2021-12-23,25.69,25.69,25.632,25.655,1800.0
2021-12-27,25.765,25.83,25.765,25.802,700.0
2021-12-28,25.81,25.81,25.81,25.81,600.0
2021-12-29,25.81,25.862,25.81,25.862,300.0
2021-12-30,25.835,25.835,25.835,25.835,100.0
2021-12-31,25.77,25.83,25.77,25.83,200.0
2022-01-03,25.9,25.9,25.9,25.9,100.0
2022-01-04,25.955,25.955,25.875,25.92,7500.0
2022-01-05,25.81,25.81,25.655,25.655,1500.0
2022-01-06,25.57,25.57,25.57,25.57,0.0
2022-01-07,25.565,25.565,25.565,25.565,0.0
2022-01-10,25.38,25.53,25.26,25.53,1100.0
2022-01-11,25.681,25.681,25.681,25.681,0.0
2022-01-12,25.763,25.763,25.763,25.763,0.0
2022-01-13,25.68,25.68,25.53,25.53,2300.0
2022-01-14,25.43,25.58,25.41,25.535,6100.0
2022-01-18,25.31,25.31,25.249,25.249,800.0
2022-01-19,25.26,25.33,25.117,25.117,1000.0
2022-01-20,25.295,25.295,24.947,24.947,400.0
2022-01-21,24.79,24.88,24.556,24.556,7200.0
2022-01-24,24.07,24.606,23.72,24.606,9800.0
2022-01-25,24.25,24.44,24.21,24.351,600.0
2022-01-26,24.73,24.73,24.3,24.354,1200.0
2022-01-27,24.62,24.62,24.284,24.284,1500.0
2022-01-28,24.27,24.689,24.21,24.689,1200.0
2022-01-31,25.085,25.085,25.085,25.085,100.0
2022-02-01,25.265,25.265,25.265,25.265,0.0
2022-02-02,25.29,25.428,25.29,25.428,600.0
2022-02-03,25.25,25.25,24.974,24.974,2100.0
2022-02-04,24.91,25.106,24.89,25.106,300.0
2022-02-07,25.06,25.11,24.98,25.034,2100.0
2022-02-08,25.12,25.206,25.12,25.206,200.0
2022-02-09,25.416,25.416,25.416,25.416,0.0
2022-02-10,25.241,25.32,25.084,25.084,300.0
2022-02-11,25.18,25.18,24.77,24.81,2300.0
2022-02-14,24.55,24.686,24.55,24.686,6500.0
2022-02-15,24.943,25.05,24.943,24.993,700.0
2022-02-16,25.065,25.065,25.065,25.065,0.0
2022-02-17,24.65,24.7,24.65,24.653,1300.0
2022-02-18,24.59,24.59,24.505,24.505,100.0
2022-02-22,24.48,24.48,24.27,24.27,1200.0
2022-02-23,24.4,24.41,23.895,23.895,4900.0
2022-02-24,23.595,24.23,23.595,24.223,400.0
2022-02-25,24.15,24.689,24.15,24.644,3700.0
2022-02-28,24.48,24.58,24.48,24.58,1100.0
