Date,Open,High,Low,Close,Volume
2021-06-22,20.15,20.19,20.138,20.138,5100.0
2021-06-23,20.15,20.153,20.031,20.068,20700.0
2021-06-24,20.18,20.28,20.17,20.185,50900.0
2021-06-25,20.27,20.31,20.157,20.28,13500.0
2021-06-28,20.2,20.2,20.125,20.125,7600.0
2021-06-29,20.17,20.17,20.12,20.124,3500.0
2021-06-30,20.002,20.062,20.002,20.062,3300.0
2021-07-01,20.06,20.06,20.05,20.051,2300.0
2021-07-02,20.065,20.15,20.065,20.1,17000.0
2021-07-06,20.03,20.08,20.023,20.08,6500.0
2021-07-07,20.12,20.14,20.102,20.102,1500.0
2021-07-08,18.68,20.0,18.68,19.931,6700.0
2021-07-09,20.178,20.178,20.13,20.16,1600.0
2021-07-12,20.179,20.24,20.14,20.188,17500.0
2021-07-13,20.22,20.22,20.135,20.135,5700.0
2021-07-14,20.132,20.16,20.132,20.16,600.0
2021-07-15,20.13,20.13,20.03,20.07,36100.0
2021-07-16,19.99,20.1,19.99,20.0,436800.0
2021-07-19,19.76,19.76,19.698,19.7,8800.0
2021-07-20,19.77,19.88,19.77,19.834,4700.0
2021-07-21,20.0,20.05,19.959,19.995,3000.0
2021-07-22,20.05,20.07,20.004,20.07,12100.0
2021-07-23,20.129,20.15,20.125,20.15,2600.0
2021-07-26,20.16,20.16,20.16,20.16,400.0
2021-07-27,20.05,20.12,20.01,20.12,79200.0
2021-07-28,20.102,20.17,20.05,20.17,10000.0
2021-07-29,20.15,20.24,20.15,20.19,2000.0
2021-07-30,20.168,20.189,20.121,20.121,14200.0
2021-08-02,20.27,20.27,20.179,20.179,3800.0
2021-08-03,20.25,20.267,20.24,20.24,2200.0
2021-08-04,20.31,20.31,20.224,20.224,1200.0
2021-08-05,20.32,20.35,20.291,20.34,65400.0
2021-08-06,20.35,20.35,20.26,20.3,19600.0
2021-08-09,20.26,20.3,20.25,20.25,3800.0
2021-08-10,20.29,20.305,20.27,20.27,2200.0
2021-08-11,20.333,20.43,20.333,20.42,59600.0
2021-08-12,20.35,20.41,20.33,20.35,13100.0
2021-08-13,20.41,20.47,20.41,20.425,2300.0
2021-08-16,20.35,20.37,20.35,20.365,600.0
2021-08-17,20.283,20.32,20.24,20.258,6900.0
2021-08-18,20.299,20.35,20.25,20.25,36000.0
2021-08-19,20.139,20.17,20.095,20.095,3800.0
2021-08-20,20.09,20.18,20.084,20.14,5900.0
2021-08-23,20.25,20.33,20.216,20.264,3800.0
2021-08-24,20.36,20.36,20.273,20.297,19900.0
2021-08-25,20.32,20.35,20.21,20.295,17300.0
2021-08-26,20.28,20.29,20.224,20.235,3300.0
2021-08-27,20.3,20.33,20.27,20.325,900.0
2021-08-30,20.37,20.4,20.321,20.321,5600.0
2021-08-31,20.321,20.321,20.319,20.319,700.0
2021-09-01,20.46,20.465,20.423,20.423,1100.0
2021-09-02,20.51,20.52,20.41,20.465,6700.0
2021-09-03,20.52,20.57,20.48,20.54,14800.0
2021-09-07,20.59,20.6,20.482,20.575,25000.0
2021-09-08,20.475,20.475,20.39,20.445,5300.0
2021-09-09,20.48,20.5,20.425,20.425,2400.0
2021-09-10,20.4,20.4,20.4,20.4,100.0
2021-09-13,20.57,20.57,20.465,20.465,1900.0
2021-09-14,20.45,20.462,20.45,20.462,200.0
