Date,Open,High,Low,Close,Volume
2024-12-02,23.96,24.0,23.93,23.97,861300.0
2024-12-03,24.08,24.08,23.94,23.966,320900.0
2024-12-04,23.97,24.02,23.96,24.019,613700.0
2024-12-05,24.02,24.02,24.0,24.01,215900.0
2024-12-06,24.02,24.05,24.002,24.04,228700.0
2024-12-09,24.03,24.04,23.991,24.0,102200.0
2024-12-10,23.992,24.01,23.97,23.98,74200.0
2024-12-11,24.01,24.05,23.99,24.036,123000.0
2024-12-12,24.04,24.04,24.007,24.007,225700.0
2024-12-13,24.04,24.04,23.982,24.0,157600.0
2024-12-16,24.03,24.06,24.005,24.008,103500.0
2024-12-17,24.03,24.03,23.98,24.03,320400.0
2024-12-18,24.04,24.04,23.88,23.88,128600.0
2024-12-19,23.91,23.92,23.85,23.875,202100.0
2024-12-20,23.85,23.97,23.85,23.927,119300.0
2024-12-23,23.94,23.97,23.909,23.965,109300.0
2024-12-24,24.0,24.02,23.96,23.997,91400.0
2024-12-26,24.02,24.03,23.969,24.03,57700.0
2024-12-27,24.0,24.0,23.91,23.98,107400.0
2024-12-30,23.93,23.96,23.87,23.95,171700.0
2024-12-31,23.95,23.95,23.88,23.88,273900.0
2025-01-02,23.92,23.94,23.85,23.895,116900.0
2025-01-03,23.93,23.97,23.899,23.96,45000.0
